block_path,block_type,mask_type,parameter,value,value_class
"four_phase_ideal_digital_iqcot/Series RLC Branch",PMComponent,Series RLC Branch,Capacitance,"1e-6",numeric_literal
"four_phase_ideal_digital_iqcot/Series RLC Branch1",PMComponent,Series RLC Branch,Capacitance,"1e-6",numeric_literal
"four_phase_ideal_digital_iqcot/Series RLC Branch2",PMComponent,Series RLC Branch,Capacitance,"1e-6",numeric_literal
"four_phase_ideal_digital_iqcot/Series RLC Branch3",PMComponent,Series RLC Branch,Capacitance,"1e-6",numeric_literal
"four_phase_ideal_digital_iqcot/Series RLC Branch4",PMComponent,Series RLC Branch,Capacitance,"Cout",variable_or_expression
"four_phase_ideal_digital_iqcot/Series RLC Branch8",PMComponent,Series RLC Branch,Capacitance,"1e-6",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet",SubSystem,Mosfet,Cs,"Cs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet/Diode",SubSystem,Diode,Cs,"0",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet/Ideal Switch",SubSystem,Ideal Switch,Cs,"Csnubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet1",SubSystem,Mosfet,Cs,"Cs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet1/Diode",SubSystem,Diode,Cs,"0",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet1/Ideal Switch",SubSystem,Ideal Switch,Cs,"Csnubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet2",SubSystem,Mosfet,Cs,"Cs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet2/Diode",SubSystem,Diode,Cs,"0",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet2/Ideal Switch",SubSystem,Ideal Switch,Cs,"Csnubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet3",SubSystem,Mosfet,Cs,"Cs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet3/Diode",SubSystem,Diode,Cs,"0",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet3/Ideal Switch",SubSystem,Ideal Switch,Cs,"Csnubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet4",SubSystem,Mosfet,Cs,"Cs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet4/Diode",SubSystem,Diode,Cs,"0",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet4/Ideal Switch",SubSystem,Ideal Switch,Cs,"Csnubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet5",SubSystem,Mosfet,Cs,"Cs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet5/Diode",SubSystem,Diode,Cs,"0",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet5/Ideal Switch",SubSystem,Ideal Switch,Cs,"Csnubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet6",SubSystem,Mosfet,Cs,"Cs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet6/Diode",SubSystem,Diode,Cs,"0",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet6/Ideal Switch",SubSystem,Ideal Switch,Cs,"Csnubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet7",SubSystem,Mosfet,Cs,"Cs_snubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Mosfet7/Diode",SubSystem,Diode,Cs,"0",numeric_literal
"four_phase_ideal_digital_iqcot/Mosfet7/Ideal Switch",SubSystem,Ideal Switch,Cs,"Csnubber",variable_or_expression
"four_phase_ideal_digital_iqcot/Current Measurement/do not
delete
this gain",Gain,,Gain,"1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement1/do not
delete
this gain",Gain,,Gain,"1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement2/do not
delete
this gain",Gain,,Gain,"1",numeric_literal
"four_phase_ideal_digital_iqcot/Current Measurement3/do not
delete
this gain",Gain,,Gain,"1",numeric_literal
"four_phase_ideal_digital_iqcot/Gain",Gain,,Gain,"Vo_ref / Tss",variable_or_expression
"four_phase_ideal_digital_iqcot/Gain11",Gain,,Gain,"205",numeric_literal
"four_phase_ideal_digital_iqcot/Gain12",Gain,,Gain,"-205",numeric_literal
"four_phase_ideal_digital_iqcot/Gain13",Gain,,Gain,"205",numeric_literal
"four_phase_ideal_digital_iqcot/Gain9",Gain,,Gain,"-205",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement1/do not
delete
this gain",Gain,,Gain,"1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement2/do not
delete
this gain",Gain,,Gain,"1",numeric_literal
"four_phase_ideal_digital_iqcot/IL_Measurement3/do not
delete
this gain",Gain,,Gain,"1",numeric_literal
