variant,event_index,time_us,REQ_phase,REQ_accept_phase,phase_idx,REQ_reject_reason,model_phase_order_error_sample,active_HS_phase
R1-T4a,1,0.214000000000063,4,4,3,1,0,0
R1-T4a,2,0.695000000000047,1,1,0,0,0,0
R1-T4a,3,1.1760000000035,2,2,1,1,0,0
R1-T4a,4,1.65700000000348,3,3,2,1,0,0
R1-T4a,5,2.13800000000005,4,4,3,1,0,0
R1-T4a,6,2.61900000000004,1,1,0,1,0,0
R1-T4a,7,3.10000000000349,2,2,1,1,0,0
R1-T4a,8,3.58100000000006,3,3,2,1,0,0
R1-T4a,9,4.06200000000004,4,4,3,1,0,0
R1-T4a,10,4.5430000000035,1,1,0,1,0,0
R1-T4a,11,5.02400000000007,2,2,1,1,0,0
R1-T4a,12,5.50500000000005,3,3,2,0,0,0
R1-T4a,13,5.9860000000035,4,4,3,1,0,0
R1-T4a,14,6.46700000000349,1,1,0,1,0,0
R1-T4a,15,6.94800000000006,2,2,1,1,0,0
R1-T4a,16,7.42900000000004,3,3,2,1,0,0
R1-T4a,17,7.91000000000349,4,4,3,1,0,0
R1-T4a,18,8.39100000000006,1,1,0,1,0,0
R1-T4a,19,8.87200000000005,2,2,1,1,0,0
R1-T4a,20,9.3530000000035,3,3,2,1,0,0
R1-T4a,21,9.83400000000348,4,4,3,1,0,0
R1-T4a,22,10.3150000000001,1,1,0,0,0,0
R1-T4a,23,10.796,2,2,1,1,0,0
R1-T4a,24,11.2770000000035,3,3,2,1,0,0
R1-T4a,25,11.7580000000001,4,4,3,1,0,0
R1-T4a,26,12.239,1,1,0,1,0,0
R1-T4a,27,12.7200000000035,2,2,1,1,0,0
R1-T4a,28,13.2010000000001,3,3,2,1,0,0
R1-T4a,29,13.6820000000001,4,4,3,1,0,0
R1-T4a,30,14.1630000000035,1,1,0,1,0,0
R1-T4a,31,14.6440000000035,2,2,1,1,0,0
R1-T4a,32,15.1250000000001,3,3,2,0,0,0
R1-T4a,33,15.606,4,4,3,1,0,0
R1-T4a,34,16.0870000000035,1,1,0,1,0,0
R1-T4a,35,16.5680000000001,2,2,1,1,0,0
R1-T4a,36,17.049,3,3,2,1,0,0
R1-T4a,37,17.5300000000035,4,4,3,1,0,0
R1-T4a,38,18.0110000000035,1,1,0,1,0,0
R1-T4a,39,18.4920000000001,2,2,1,1,0,0
R1-T4a,40,18.9730000000035,3,3,2,1,0,0
R1-T4a,41,19.4540000000035,4,4,3,1,0,0
R1-T4a,42,19.9350000000001,1,1,0,0,0,0
R1-T4a,43,20.416,2,2,1,1,0,0
R1-T4a,44,20.8970000000035,3,3,2,1,0,0
R1-T4a,45,21.3780000000001,4,4,3,1,0,0
R1-T4a,46,21.859,1,1,0,1,0,0
R1-T4a,47,22.3400000000035,2,2,1,1,0,0
R1-T4a,48,22.8210000000035,3,3,2,1,0,0
R1-T4a,49,23.3020000000001,4,4,3,1,0,0
R1-T4a,50,23.783,1,1,0,1,0,0
R1-T4a,51,24.2640000000035,2,2,1,1,0,0
R1-T4a,52,24.7450000000001,3,3,2,0,0,0
R1-T4a,53,25.226,4,4,3,1,0,0
R1-T4a,54,25.7070000000035,1,1,0,1,0,0
R1-T4a,55,26.1880000000001,2,2,1,1,0,0
R1-T4a,56,26.6690000000001,3,3,2,1,0,0
R1-T4a,57,27.1500000000035,4,4,3,1,0,0
R1-T4a,58,27.6310000000035,1,1,0,1,0,0
R1-T4a,59,28.1120000000001,2,2,1,1,0,0
R1-T4a,60,28.593,3,3,2,1,0,0
R1-T4a,61,29.0740000000035,4,4,3,1,0,0
R1-T4a,62,29.5550000000001,1,1,0,0,0,0
R1-T4a,63,30.036,2,2,1,1,0,0
R1-T4a,64,30.5170000000035,3,3,2,1,0,0
R1-T4a,65,30.9980000000035,4,4,3,1,0,0
R1-T4a,66,31.4790000000001,1,1,0,1,0,0
R1-T4a,67,31.96,2,2,1,0,0,0
R1-T4a,68,32.4410000000035,3,3,2,1,0,0
R1-T4a,69,32.9220000000001,4,4,3,1,0,0
R1-T4a,70,33.403,1,1,0,1,0,0
R1-T4a,71,33.8840000000035,2,2,1,1,0,0
R1-T4a,72,34.3650000000001,3,3,2,0,0,0
R1-T4a,73,34.8460000000001,4,4,3,1,0,0
R1-T4a,74,35.3270000000035,1,1,0,1,0,0
R1-T4a,75,35.8080000000035,2,2,1,1,0,0
R1-T4a,76,36.2890000000001,3,3,2,1,0,0
R1-T4a,77,36.77,4,4,3,0,0,0
R1-T4a,78,37.2510000000035,1,1,0,1,0,0
R1-T4a,79,37.7320000000001,2,2,1,1,0,0
R1-T4a,80,38.2130000000001,3,3,2,1,0,0
R1-T4a,81,38.694000000007,4,4,3,1,0,0
R1-T4a,82,39.175000000007,1,1,0,1,0,0
R1-T4a,83,39.6560000000069,2,2,1,1,0,0
R1-T4a,84,40.1370000000001,3,3,2,1,0,0
R1-T4a,85,40.6180000000001,4,4,3,1,0,0
R1-T4a,86,41.099000000007,1,1,0,1,0,0
R1-T4a,87,41.580000000007,2,2,1,1,0,0
R1-T4a,88,42.061000000007,3,3,2,1,0,0
R1-T4a,89,42.542000000007,4,4,3,1,0,0
R1-T4a,90,43.0230000000069,1,1,0,1,0,0
R1-T4a,91,43.5040000000001,2,2,1,1,0,0
R1-T4a,92,43.9850000000001,3,3,2,0,0,0
R1-T4a,93,44.466000000007,4,4,3,1,0,0
R1-T4a,94,44.947000000007,1,1,0,1,0,0
