variant,signal,available,sample_count,finite,note
R1-T4a,Vout,1,270001,1,logged
R1-T4a,Iload,1,541742,1,logged
R1-T4a,IL1,1,270001,1,logged
R1-T4a,IL2,1,270001,1,logged
R1-T4a,IL3,1,270001,1,logged
R1-T4a,IL4,1,270001,1,logged
R1-T4a,IL_sense1,1,270001,1,logged
R1-T4a,IL_sense2,1,270001,1,logged
R1-T4a,IL_sense3,1,270001,1,logged
R1-T4a,IL_sense4,1,270001,1,logged
R1-T4a,QH1,1,541742,1,logged
R1-T4a,QH2,1,541742,1,logged
R1-T4a,QH3,1,541742,1,logged
R1-T4a,QH4,1,541742,1,logged
R1-T4a,QL1,1,541742,1,logged
R1-T4a,QL2,1,541742,1,logged
R1-T4a,QL3,1,541742,1,logged
R1-T4a,QL4,1,541742,1,logged
R1-T4a,REQ1,1,541742,1,logged
R1-T4a,REQ2,1,541742,1,logged
R1-T4a,REQ3,1,541742,1,logged
R1-T4a,REQ4,1,541742,1,logged
R1-T4a,REQ_accept1,1,541742,1,logged
R1-T4a,REQ_accept2,1,541742,1,logged
R1-T4a,REQ_accept3,1,541742,1,logged
R1-T4a,REQ_accept4,1,541742,1,logged
R1-T4a,REQ_reject_reason,1,541742,1,logged
R1-T4a,phase_idx,1,541742,1,logged
R1-T4a,active_HS_phase,1,541742,1,logged
R1-T4a,Ton_cmd1,1,541742,1,logged
R1-T4a,Ton_cmd2,1,541742,1,logged
R1-T4a,Ton_cmd3,1,541742,1,logged
R1-T4a,Ton_cmd4,1,541742,1,logged
R1-T4a,Ton_actual1,1,13501,1,logged
R1-T4a,Ton_actual2,1,13501,1,logged
R1-T4a,Ton_actual3,1,13501,1,logged
R1-T4a,Ton_actual4,1,13501,1,logged
R1-T4a,Ton_trunc_i,1,2166968,1,logged
R1-T4a,Ton_saved_i,1,2166968,1,logged
R1-T4a,Lambda_i,1,13501,1,logged
R1-T4a,area_int_i,1,13501,1,logged
R1-T4a,a_O_state,1,1,1,logged
R1-T4a,severe_drop_detected,1,13501,1,logged
R1-T4a,pulse_inhibit_state,1,541742,1,logged
R1-T4a,area_hold_state,1,13501,1,logged
R1-T4a,area_hold_count,1,13501,1,logged
R1-T4a,area_reset_count,1,13501,1,logged
R1-T4a,area_bleed_count,1,13501,1,logged
R1-T4a,reentry_state,1,13501,1,logged
R1-T4a,fallback_state,1,1,1,logged
R1-T4a,fallback_count,1,1,1,logged
R1-T4a,fallback_reason,1,1,1,logged
R1-T4a,current_limit_hit,1,13501,1,logged
R1-T4a,phase_order_error,1,13501,1,logged
R1-T4a,burst_pulse_count_after_reentry,1,1,1,logged
R1-T4a,controlled_reentry_active,1,108001,1,logged
R1-T4a,burst_limiter_state,1,108001,1,logged
R1-T4a,area_int_reentry_clamp,1,108001,1,logged
R1-T4a,burst_limiter_clamp_count,1,108001,1,logged
R1-T4a,burst_limiter_release_count,1,108001,1,logged
R1-T4a,burst_limiter_fallback_reason,1,108001,1,logged
R1-T4a,recovery_Ton_ramp_usage,1,1,1,logged
R1-T4b,Vout,1,270001,1,logged
R1-T4b,Iload,1,541742,1,logged
R1-T4b,IL1,1,270001,1,logged
R1-T4b,IL2,1,270001,1,logged
R1-T4b,IL3,1,270001,1,logged
R1-T4b,IL4,1,270001,1,logged
R1-T4b,IL_sense1,1,270001,1,logged
R1-T4b,IL_sense2,1,270001,1,logged
R1-T4b,IL_sense3,1,270001,1,logged
R1-T4b,IL_sense4,1,270001,1,logged
R1-T4b,QH1,1,541742,1,logged
R1-T4b,QH2,1,541742,1,logged
R1-T4b,QH3,1,541742,1,logged
R1-T4b,QH4,1,541742,1,logged
R1-T4b,QL1,1,541742,1,logged
R1-T4b,QL2,1,541742,1,logged
R1-T4b,QL3,1,541742,1,logged
R1-T4b,QL4,1,541742,1,logged
R1-T4b,REQ1,1,541742,1,logged
R1-T4b,REQ2,1,541742,1,logged
R1-T4b,REQ3,1,541742,1,logged
R1-T4b,REQ4,1,541742,1,logged
R1-T4b,REQ_accept1,1,541742,1,logged
R1-T4b,REQ_accept2,1,541742,1,logged
R1-T4b,REQ_accept3,1,541742,1,logged
R1-T4b,REQ_accept4,1,541742,1,logged
R1-T4b,REQ_reject_reason,1,541742,1,logged
R1-T4b,phase_idx,1,541742,1,logged
R1-T4b,active_HS_phase,1,541742,1,logged
R1-T4b,Ton_cmd1,1,541742,1,logged
R1-T4b,Ton_cmd2,1,541742,1,logged
R1-T4b,Ton_cmd3,1,541742,1,logged
R1-T4b,Ton_cmd4,1,541742,1,logged
R1-T4b,Ton_actual1,1,13501,1,logged
R1-T4b,Ton_actual2,1,13501,1,logged
R1-T4b,Ton_actual3,1,13501,1,logged
R1-T4b,Ton_actual4,1,13501,1,logged
R1-T4b,Ton_trunc_i,1,2166968,1,logged
R1-T4b,Ton_saved_i,1,2166968,1,logged
R1-T4b,Lambda_i,1,13501,1,logged
R1-T4b,area_int_i,1,13501,1,logged
R1-T4b,a_O_state,1,1,1,logged
R1-T4b,severe_drop_detected,1,13501,1,logged
R1-T4b,pulse_inhibit_state,1,541742,1,logged
R1-T4b,area_hold_state,1,13501,1,logged
R1-T4b,area_hold_count,1,13501,1,logged
R1-T4b,area_reset_count,1,13501,1,logged
R1-T4b,area_bleed_count,1,13501,1,logged
R1-T4b,reentry_state,1,13501,1,logged
R1-T4b,fallback_state,1,1,1,logged
R1-T4b,fallback_count,1,1,1,logged
R1-T4b,fallback_reason,1,1,1,logged
R1-T4b,current_limit_hit,1,13501,1,logged
R1-T4b,phase_order_error,1,13501,1,logged
R1-T4b,burst_pulse_count_after_reentry,1,1,1,logged
R1-T4b,controlled_reentry_active,1,108001,1,logged
R1-T4b,burst_limiter_state,1,108001,1,logged
R1-T4b,area_int_reentry_clamp,1,108001,1,logged
R1-T4b,burst_limiter_clamp_count,1,108001,1,logged
R1-T4b,burst_limiter_release_count,1,108001,1,logged
R1-T4b,burst_limiter_fallback_reason,1,108001,1,logged
R1-T4b,recovery_Ton_ramp_usage,1,1,1,logged
R1-T4c,Vout,1,270001,1,logged
R1-T4c,Iload,1,541742,1,logged
R1-T4c,IL1,1,270001,1,logged
R1-T4c,IL2,1,270001,1,logged
R1-T4c,IL3,1,270001,1,logged
R1-T4c,IL4,1,270001,1,logged
R1-T4c,IL_sense1,1,270001,1,logged
R1-T4c,IL_sense2,1,270001,1,logged
R1-T4c,IL_sense3,1,270001,1,logged
R1-T4c,IL_sense4,1,270001,1,logged
R1-T4c,QH1,1,541742,1,logged
R1-T4c,QH2,1,541742,1,logged
R1-T4c,QH3,1,541742,1,logged
R1-T4c,QH4,1,541742,1,logged
R1-T4c,QL1,1,541742,1,logged
R1-T4c,QL2,1,541742,1,logged
R1-T4c,QL3,1,541742,1,logged
R1-T4c,QL4,1,541742,1,logged
R1-T4c,REQ1,1,541742,1,logged
R1-T4c,REQ2,1,541742,1,logged
R1-T4c,REQ3,1,541742,1,logged
R1-T4c,REQ4,1,541742,1,logged
R1-T4c,REQ_accept1,1,541742,1,logged
R1-T4c,REQ_accept2,1,541742,1,logged
R1-T4c,REQ_accept3,1,541742,1,logged
R1-T4c,REQ_accept4,1,541742,1,logged
R1-T4c,REQ_reject_reason,1,541742,1,logged
R1-T4c,phase_idx,1,541742,1,logged
R1-T4c,active_HS_phase,1,541742,1,logged
R1-T4c,Ton_cmd1,1,108001,1,logged
R1-T4c,Ton_cmd2,1,108001,1,logged
R1-T4c,Ton_cmd3,1,108001,1,logged
R1-T4c,Ton_cmd4,1,108001,1,logged
R1-T4c,Ton_actual1,1,13501,1,logged
R1-T4c,Ton_actual2,1,13501,1,logged
R1-T4c,Ton_actual3,1,13501,1,logged
R1-T4c,Ton_actual4,1,13501,1,logged
R1-T4c,Ton_trunc_i,1,2166968,1,logged
R1-T4c,Ton_saved_i,1,2166968,1,logged
R1-T4c,Lambda_i,1,13501,1,logged
R1-T4c,area_int_i,1,13501,1,logged
