variant,event_index,time_us,REQ_phase,REQ_accept_phase
R2-E1,1,2.32000000000005,3,3
R2-E1,2,2.8010000000035,4,4
R2-E1,3,3.28200000000348,1,1
R2-E1,4,3.76300000000005,2,2
R2-E1,5,4.24400000000351,3,3
R2-E1,6,4.72500000000349,4,4
R2-E1,7,5.20600000000006,1,1
R2-E1,8,5.68700000000004,2,2
R2-E1,9,6.1680000000035,3,3
R2-E1,10,6.64900000000006,4,4
R2-E1,11,7.13000000000005,1,1
R2-E1,12,7.6110000000035,2,2
R2-E1,13,8.09200000000349,3,3
R2-E1,14,8.57300000000006,4,4
R2-E1,15,9.05400000000004,1,1
R2-E1,16,9.53500000000349,2,2
R2-E1,17,10.0160000000001,3,3
R2-E1,18,10.497,4,4
R2-E1,19,10.9780000000035,1,1
R2-E1,20,11.4590000000001,2,2
R2-E1,21,11.9400000000001,3,3
R2-E1,22,12.4210000000035,4,4
R2-E1,23,12.9020000000035,1,1
R2-E1,24,14.16,2,2
R2-E1,25,14.7600000000001,3,3
R2-E1,26,15.4800000000001,4,4
R2-E1,27,16.0000000000001,1,1
R2-E1,28,16.6,2,2
R2-E1,29,17.3600000000001,3,3
R2-E1,30,17.841,4,4
R2-E1,31,18.44,1,1
R2-E1,32,18.9210000000035,2,2
R2-E1,33,19.7600000000001,3,3
R2-E1,34,20.2410000000001,4,4
R2-E1,35,20.76,1,1
R2-E1,36,21.28,2,2
R2-E1,37,22.0800000000001,3,3
R2-E1,38,22.561,4,4
R2-E1,39,23.16,1,1
R2-E1,40,23.6410000000035,2,2
R2-E1,41,24.4000000000001,3,3
R2-E1,42,24.8810000000035,4,4
R2-E1,43,25.56,1,1
R2-E1,44,26.0410000000035,2,2
R2-E1,45,26.64,3,3
R2-E1,46,27.28,4,4
R2-E1,47,27.8400000000001,1,1
R2-E1,48,28.321,2,2
R2-E1,49,29.16,3,3
R2-E1,50,29.6410000000001,4,4
R2-E1,51,30.122,1,1
R2-E1,52,30.6800000000001,2,2
R2-E1,53,31.44,3,3
R2-E1,54,31.9210000000035,4,4
R2-E1,55,32.6,1,1
R2-E1,56,33.0810000000035,2,2
R2-E1,57,33.68,3,3
R2-E1,58,34.28,4,4
R2-E1,59,34.92,1,1
R2-E1,60,35.4010000000001,2,2
R2-E1,61,36.1200000000001,3,3
R2-E1,62,36.601,4,4
R2-E1,63,37.2800000000001,1,1
R2-E1,64,37.7610000000035,2,2
R2-E1,65,38.44,3,3
R2-E1,66,38.921000000007,4,4
R2-E1,67,39.6800000000001,1,1
R2-E1,68,40.161000000007,2,2
R2-E1,69,40.6800000000001,3,3
R2-E1,70,41.36,4,4
R2-E1,71,41.88,1,1
R2-E1,72,42.48,2,2
