variant,signal,available,sample_count,finite,note
R3-E1,Vout,1,270001,1,logged
R3-E1,Iload,1,541742,1,logged
R3-E1,IL1,1,270001,1,logged
R3-E1,IL2,1,270001,1,logged
R3-E1,IL3,1,270001,1,logged
R3-E1,IL4,1,270001,1,logged
R3-E1,IL_sense1,1,270001,1,logged
R3-E1,IL_sense2,1,270001,1,logged
R3-E1,IL_sense3,1,270001,1,logged
R3-E1,IL_sense4,1,270001,1,logged
R3-E1,REQ1,1,541742,1,logged
R3-E1,REQ2,1,541742,1,logged
R3-E1,REQ3,1,541742,1,logged
R3-E1,REQ4,1,541742,1,logged
R3-E1,REQ_accept1,1,541742,1,logged
R3-E1,REQ_accept2,1,541742,1,logged
R3-E1,REQ_accept3,1,541742,1,logged
R3-E1,REQ_accept4,1,541742,1,logged
R3-E1,REQ_defer1,1,108001,1,logged
R3-E1,REQ_defer2,1,108001,1,logged
R3-E1,REQ_defer3,1,108001,1,logged
R3-E1,REQ_defer4,1,108001,1,logged
R3-E1,REQ_reject_reason,1,541742,1,logged
R3-E1,QH1,1,541742,1,logged
R3-E1,QH2,1,541742,1,logged
R3-E1,QH3,1,541742,1,logged
R3-E1,QH4,1,541742,1,logged
R3-E1,QL1,1,541742,1,logged
R3-E1,QL2,1,541742,1,logged
R3-E1,QL3,1,541742,1,logged
R3-E1,QL4,1,541742,1,logged
R3-E1,phase_idx,1,541742,1,logged
R3-E1,active_HS_phase,1,541742,1,logged
R3-E1,Ton_nom,1,1,1,logged
R3-E1,Ton_cmd1,1,108001,1,logged
R3-E1,Ton_cmd2,1,108001,1,logged
R3-E1,Ton_cmd3,1,108001,1,logged
R3-E1,Ton_cmd4,1,108001,1,logged
R3-E1,Ton_actual1,1,13501,1,logged
R3-E1,Ton_actual2,1,13501,1,logged
R3-E1,Ton_actual3,1,13501,1,logged
R3-E1,Ton_actual4,1,13501,1,logged
R3-E1,Ton_requested_ns,1,108001,1,logged
R3-E1,Ton_allocated_ns,1,108001,1,logged
R3-E1,Ton_budget_remaining_ns,1,108001,1,logged
R3-E1,Ton_allocation_reason,1,108001,1,logged
R3-E1,Ton_trunc_i,1,2166968,1,logged
R3-E1,Ton_saved_i,1,2166968,1,logged
R3-E1,area_int_i,1,13501,1,logged
R3-E1,area_int_queue_coupling_state,1,108001,1,logged
R3-E1,area_int_restore_state,1,108001,1,logged
R3-E1,a_O_state,1,1,1,logged
R3-E1,severe_drop_detected,1,13501,1,logged
R3-E1,pulse_inhibit_state,1,541742,1,logged
R3-E1,area_hold_state,1,13501,1,logged
R3-E1,reentry_state,1,13501,1,logged
R3-E1,controlled_reentry_active,1,108001,1,logged
R3-E1,event_queue_state,1,108001,1,logged
R3-E1,energy_allocation_state,1,108001,1,logged
R3-E1,fallback_state,1,1,1,logged
R3-E1,pending_REQ_queue,1,108001,1,logged
R3-E1,queue_depth,1,108001,1,logged
R3-E1,queue_phase_id,1,108001,1,logged
R3-E1,queue_age_us,1,108001,1,logged
R3-E1,current_limit_hit,1,13501,1,logged
R3-E1,phase_order_error,1,13501,1,logged
R3-E1,burst_pulse_count_after_reentry,1,108001,1,logged
R3-E1,actual_inter_pulse_spacing,1,108001,1,logged
R3-E2,Vout,1,270001,1,logged
R3-E2,Iload,1,541742,1,logged
R3-E2,IL1,1,270001,1,logged
R3-E2,IL2,1,270001,1,logged
R3-E2,IL3,1,270001,1,logged
R3-E2,IL4,1,270001,1,logged
R3-E2,IL_sense1,1,270001,1,logged
R3-E2,IL_sense2,1,270001,1,logged
R3-E2,IL_sense3,1,270001,1,logged
R3-E2,IL_sense4,1,270001,1,logged
R3-E2,REQ1,1,541742,1,logged
R3-E2,REQ2,1,541742,1,logged
R3-E2,REQ3,1,541742,1,logged
R3-E2,REQ4,1,541742,1,logged
R3-E2,REQ_accept1,1,541742,1,logged
R3-E2,REQ_accept2,1,541742,1,logged
R3-E2,REQ_accept3,1,541742,1,logged
R3-E2,REQ_accept4,1,541742,1,logged
R3-E2,REQ_defer1,1,108001,1,logged
R3-E2,REQ_defer2,1,108001,1,logged
R3-E2,REQ_defer3,1,108001,1,logged
R3-E2,REQ_defer4,1,108001,1,logged
R3-E2,REQ_reject_reason,1,541742,1,logged
R3-E2,QH1,1,541742,1,logged
