variant,event_index,time_us,REQ_phase,REQ_accept_phase,phase_idx,REQ_reject_reason,phase_order_error,active_HS_phase
A5-C0,1,2.24000000000003,3,3,2,0,0,0
A5-C0,2,2.84000000000005,4,4,3,0,0,0
A5-C0,3,3.32200000000005,1,1,0,0,0,0
A5-C0,4,3.80400000000005,2,2,1,0,0,0
A5-C0,5,4.40000000000005,3,3,2,0,1,0
A5-C0,6,5.28000000000003,4,4,3,0,0,0
A5-C0,7,5.7620000000035,1,1,0,0,0,0
A5-C0,8,6.2440000000035,2,2,1,0,0,0
A5-C0,9,6.7260000000035,3,3,2,0,0,0
A5-C0,10,7.56000000000004,4,4,3,0,1,0
A5-C0,11,8.04200000000004,1,1,0,0,0,0
A5-C0,12,8.52400000000004,2,2,1,0,0,0
A5-C0,13,9.00600000000004,3,3,2,0,0,0
A5-C0,14,9.96000000000005,4,4,3,0,1,0
A5-C0,15,10.442,1,1,0,0,0,0
A5-C0,16,10.924,2,2,1,0,0,0
A5-C0,17,11.406,3,3,2,0,0,0
A5-C0,18,12.28,4,4,3,0,1,0
A5-C0,19,12.762,1,1,0,0,0,0
A5-C0,20,13.244,2,2,1,0,0,0
A5-C0,21,13.84,3,3,2,0,1,0
A5-C0,22,14.6400000000001,4,4,3,0,0,0
A5-C0,23,15.1220000000001,1,1,0,0,0,0
A5-C0,24,15.6040000000001,2,2,1,0,0,0
A5-C0,25,16.24,3,3,2,0,1,0
A5-C0,26,16.92,4,4,3,0,0,0
A5-C0,27,17.52,1,1,0,0,0,0
A5-C0,28,18.0020000000035,2,2,1,0,0,0
A5-C0,29,18.56,3,3,2,0,1,0
A5-C0,30,19.3600000000001,4,4,3,0,0,0
A5-C0,31,19.8420000000001,1,1,0,0,0,0
A5-C0,32,20.3240000000001,2,2,1,0,0,0
A5-C0,33,20.96,3,3,2,0,1,0
A5-C0,34,21.64,4,4,3,0,0,0
A5-C0,35,22.24,1,1,0,0,0,0
A5-C0,36,22.7220000000035,2,2,1,0,0,0
A5-C0,37,23.3200000000001,3,3,2,0,1,0
A5-C0,38,24,4,4,3,0,0,0
A5-C0,39,24.6000000000001,1,1,0,0,0,0
A5-C0,40,25.0820000000001,2,2,1,0,0,0
A5-C0,41,25.68,3,3,2,0,1,0
A5-C0,42,26.3600000000001,4,4,3,0,0,0
A5-C0,43,26.96,1,1,0,0,0,0
A5-C0,44,27.4420000000035,2,2,1,0,0,0
A5-C0,45,28.0400000000001,3,3,2,0,1,0
A5-C0,46,28.72,4,4,3,0,0,0
A5-C0,47,29.3200000000001,1,1,0,0,0,0
A5-C0,48,29.802,2,2,1,0,0,0
A5-C0,49,30.4400000000001,3,3,2,0,1,0
A5-C0,50,31.04,4,4,3,0,0,0
A5-C0,51,31.7200000000001,1,1,0,0,0,0
A5-C0,52,32.2020000000001,2,2,1,0,0,0
A5-C0,53,32.6840000000001,3,3,2,0,0,0
A5-C0,54,33.52,4,4,3,0,1,0
A5-C0,55,34.002,1,1,0,0,0,0
A5-C0,56,34.5600000000001,2,2,1,0,1,0
A5-C0,57,35.08,3,3,2,0,0,0
A5-C0,58,35.84,4,4,3,0,0,0
A5-C0,59,36.36,1,1,0,0,0,0
A5-C0,60,36.9600000000001,2,2,1,0,0,0
A5-C0,61,37.442,3,3,2,0,0,0
A5-C0,62,38.2000000000001,4,4,3,0,1,0
A5-C0,63,38.72,1,1,0,0,0,0
A5-C0,64,39.32,2,2,1,0,0,0
A5-C0,65,39.802000000007,3,3,2,0,0,0
A5-C0,66,40.5200000000001,4,4,3,0,1,0
A5-C0,67,41.1200000000001,1,1,0,0,0,0
A5-C0,68,41.64,2,2,1,0,0,0
A5-C0,69,42.24,3,3,2,0,0,0
A5-C0,70,42.8000000000001,4,4,3,0,0,0
A5-C0,71,43.6000000000001,1,1,0,0,0,0
A5-C0,72,44.0820000000001,2,2,1,0,0,0
A5-C0,73,44.5640000000001,3,3,2,0,0,0
A5-C0,74,45.1200000000001,4,4,3,0,1,0
A5-C0,75,45.9200000000001,1,1,0,0,0,0
A5-C0,76,46.4020000000001,2,2,1,0,0,0
A5-C0,77,46.8840000000001,3,3,2,0,0,0
A5-C0,78,47.5600000000001,4,4,3,0,1,0
A5-C0,79,48.2000000000001,1,1,0,0,0,0
A5-C0,80,48.72,2,2,1,0,0,0
A5-C0,81,49.3200000000001,3,3,2,0,0,0
A5-C0,82,49.8800000000001,4,4,3,0,0,0
A5-C0,83,50.6,1,1,0,0,0,0
A5-C0,84,51.082000000007,2,2,1,0,0,0
A5-C0,85,51.68,3,3,2,0,1,0
A5-C0,86,52.2400000000001,4,4,3,0,0,0
A5-C0,87,53.0000000000001,1,1,0,0,0,0
A5-C0,88,53.4820000000001,2,2,1,0,0,0
A5-C0,89,53.9640000000001,3,3,2,0,0,0
A5-C0,90,54.6800000000001,4,4,3,0,1,0
A5-C0,91,55.24,1,1,0,0,0,0
A5-C0,92,55.92,2,2,1,0,0,0
A5-C0,93,56.4020000000069,3,3,2,0,0,0
A5-C0,94,56.92,4,4,3,0,1,0
A5-C0,95,57.72,1,1,0,0,0,0
A5-C0,96,58.202000000007,2,2,1,0,0,0
A5-C0,97,58.7200000000001,3,3,2,0,1,0
A5-C0,98,59.3600000000001,4,4,3,0,0,0
A5-C0,99,60,1,1,0,0,0,0
A5-C0,100,60.6000000000001,2,2,1,0,0,0
A5-C0,101,61.082000000007,3,3,2,0,0,0
A5-C0,102,61.72,4,4,3,0,1,0
A5-C0,103,62.36,1,1,0,0,0,0
A5-C0,104,62.96,2,2,1,0,0,0
A5-C0,105,63.442000000007,3,3,2,0,0,0
A5-C0,106,64.1200000000001,4,4,3,0,1,0
A5-C0,107,64.68,1,1,0,0,0,0
A5-C0,108,65.3600000000001,2,2,1,0,0,0
A5-C0,109,65.8420000000001,3,3,2,0,0,0
A5-C0,110,66.4000000000001,4,4,3,0,1,0
A5-C0,111,67.12,1,1,0,0,0,0
A5-C0,112,67.602000000007,2,2,1,0,0,0
A5-C0,113,68.2800000000001,3,3,2,0,1,0
A5-C0,114,68.7620000000001,4,4,3,0,0,0
A5-C0,115,69.44,1,1,0,0,1,0
A5-C0,116,70.04,2,2,1,0,0,0
A5-C0,117,70.522000000007,3,3,2,0,0,0
A5-C0,118,71.2,4,4,3,0,1,0
A5-C0,119,71.76,1,1,0,0,0,0
A5-C0,120,72.44,2,2,1,0,0,0
A5-C0,121,72.9220000000069,3,3,2,0,0,0
A5-C0,122,73.5200000000001,4,4,3,0,1,0
A5-C0,123,74.1600000000001,1,1,0,0,0,0
A5-C0,124,74.76,2,2,1,0,0,0
A5-C0,125,75.2800000000001,3,3,2,0,0,0
A5-C0,126,75.8800000000001,4,4,3,0,0,0
A5-C0,127,76.5200000000001,1,1,0,0,0,0
A5-C0,128,77.1200000000001,2,2,1,0,0,0
A5-C0,129,77.64,3,3,2,0,0,0
A5-C0,130,78.28,4,4,3,0,0,0
A5-C0,131,78.84,1,1,0,0,0,0
A5-C0,132,79.52,2,2,1,0,0,0
A5-C0,133,80.002000000007,3,3,2,0,0,0
A5-C0,134,80.6,4,4,3,0,1,0
A5-C0,135,81.24,1,1,0,0,0,0
A5-C0,136,81.84,2,2,1,0,0,0
A5-C0,137,82.4,3,3,2,0,0,0
A5-C0,138,82.92,4,4,3,0,0,0
A5-C0,139,83.6400000000001,1,1,0,0,0,0
A5-C0,140,84.16,2,2,1,0,0,0
