variant,signal,available,sample_count,finite,note
A5-C0,Vout,1,270001,1,logged
A5-C0,Iload,1,276314,1,logged
A5-C0,IL1,1,270001,1,logged
A5-C0,IL2,1,270001,1,logged
A5-C0,IL3,1,270001,1,logged
A5-C0,IL4,1,270001,1,logged
A5-C0,IL_sense1,1,270001,1,logged
A5-C0,IL_sense2,1,270001,1,logged
A5-C0,IL_sense3,1,270001,1,logged
A5-C0,IL_sense4,1,270001,1,logged
A5-C0,QH1,1,276314,1,logged
A5-C0,QH2,1,276314,1,logged
A5-C0,QH3,1,276314,1,logged
A5-C0,QH4,1,276314,1,logged
A5-C0,QL1,1,276314,1,logged
A5-C0,QL2,1,276314,1,logged
A5-C0,QL3,1,276314,1,logged
A5-C0,QL4,1,276314,1,logged
A5-C0,REQ1,1,276314,1,logged
A5-C0,REQ2,1,276314,1,logged
A5-C0,REQ3,1,276314,1,logged
A5-C0,REQ4,1,276314,1,logged
A5-C0,REQ_accept1,1,276314,1,logged
A5-C0,REQ_accept2,1,276314,1,logged
A5-C0,REQ_accept3,1,276314,1,logged
A5-C0,REQ_accept4,1,276314,1,logged
A5-C0,REQ_reject_reason,1,276314,1,logged
A5-C0,phase_idx,1,276314,1,logged
A5-C0,active_HS_phase,1,276314,1,logged
A5-C0,Ton_cmd1,1,276314,1,logged
A5-C0,Ton_cmd2,1,276314,1,logged
A5-C0,Ton_cmd3,1,276314,1,logged
A5-C0,Ton_cmd4,1,276314,1,logged
A5-C0,Ton_actual1,1,13501,1,logged
A5-C0,Ton_actual2,1,13501,1,logged
A5-C0,Ton_actual3,1,13501,1,logged
A5-C0,Ton_actual4,1,13501,1,logged
A5-C0,Ton_trunc_i,1,4,1,logged
A5-C0,Ton_saved_i,1,4,1,logged
A5-C0,Lambda_i,1,13501,1,logged
A5-C0,area_int_i,1,13501,1,logged
A5-C0,a_O_state,1,1,1,logged
A5-C0,severe_drop_detected,1,13501,1,logged
A5-C0,pulse_inhibit_state,1,1,1,logged
A5-C0,area_hold_state,1,1,1,logged
A5-C0,reentry_state,1,1,1,logged
A5-C0,fallback_state,1,1,1,logged
A5-C0,current_limit_hit,1,13501,1,logged
A5-C0,phase_order_error,1,13501,1,logged
A5-C0,burst_pulse_count_after_reentry,1,1,1,logged
A5-C4,Vout,1,270001,1,logged
A5-C4,Iload,1,276314,1,logged
A5-C4,IL1,1,270001,1,logged
A5-C4,IL2,1,270001,1,logged
A5-C4,IL3,1,270001,1,logged
A5-C4,IL4,1,270001,1,logged
A5-C4,IL_sense1,1,270001,1,logged
A5-C4,IL_sense2,1,270001,1,logged
A5-C4,IL_sense3,1,270001,1,logged
A5-C4,IL_sense4,1,270001,1,logged
A5-C4,QH1,1,276314,1,logged
A5-C4,QH2,1,276314,1,logged
A5-C4,QH3,1,276314,1,logged
A5-C4,QH4,1,276314,1,logged
A5-C4,QL1,1,276314,1,logged
A5-C4,QL2,1,276314,1,logged
A5-C4,QL3,1,276314,1,logged
A5-C4,QL4,1,276314,1,logged
A5-C4,REQ1,1,276314,1,logged
A5-C4,REQ2,1,276314,1,logged
A5-C4,REQ3,1,276314,1,logged
A5-C4,REQ4,1,276314,1,logged
A5-C4,REQ_accept1,1,276314,1,logged
A5-C4,REQ_accept2,1,276314,1,logged
A5-C4,REQ_accept3,1,276314,1,logged
A5-C4,REQ_accept4,1,276314,1,logged
A5-C4,REQ_reject_reason,1,276314,1,logged
A5-C4,phase_idx,1,276314,1,logged
A5-C4,active_HS_phase,1,276314,1,logged
A5-C4,Ton_cmd1,1,276314,1,logged
A5-C4,Ton_cmd2,1,276314,1,logged
A5-C4,Ton_cmd3,1,276314,1,logged
A5-C4,Ton_cmd4,1,276314,1,logged
A5-C4,Ton_actual1,1,13501,1,logged
A5-C4,Ton_actual2,1,13501,1,logged
A5-C4,Ton_actual3,1,13501,1,logged
A5-C4,Ton_actual4,1,13501,1,logged
A5-C4,Ton_trunc_i,1,1105256,1,logged
A5-C4,Ton_saved_i,1,1105256,1,logged
A5-C4,Lambda_i,1,13501,1,logged
A5-C4,area_int_i,1,13501,1,logged
A5-C4,a_O_state,1,1,1,logged
A5-C4,severe_drop_detected,1,13501,1,logged
A5-C4,pulse_inhibit_state,1,276314,1,logged
A5-C4,area_hold_state,1,1,1,logged
A5-C4,reentry_state,1,1,1,logged
A5-C4,fallback_state,1,1,1,logged
A5-C4,current_limit_hit,1,13501,1,logged
A5-C4,phase_order_error,1,13501,1,logged
A5-C4,burst_pulse_count_after_reentry,1,1,1,logged
