"variant","event_index","time_us","REQ_phase","REQ_accept_phase","phase_idx","REQ_reject_reason","model_phase_order_error_sample","active_HS_phase"
"A5-T1","1","2.24000000000003","3","3","2","0","0","0"
"A5-T1","2","2.84000000000005","4","4","3","0","0","0"
"A5-T1","3","3.32200000000005","1","1","0","0","0","0"
"A5-T1","4","3.80400000000005","2","2","1","0","0","0"
"A5-T1","5","4.40000000000005","3","3","2","0","1","0"
"A5-T1","6","5.28000000000003","4","4","3","0","0","0"
"A5-T1","7","5.7620000000035","1","1","0","0","0","0"
"A5-T1","8","6.2440000000035","2","2","1","0","0","0"
"A5-T1","9","6.7260000000035","3","3","2","0","0","0"
"A5-T1","10","7.56000000000004","4","4","3","0","1","0"
"A5-T1","11","8.04200000000004","1","1","0","0","0","0"
"A5-T1","12","8.52400000000004","2","2","1","0","0","0"
"A5-T1","13","9.00600000000004","3","3","2","0","0","0"
"A5-T1","14","9.96000000000005","4","4","3","0","1","0"
"A5-T1","15","10.442","1","1","0","0","0","0"
"A5-T1","16","10.924","2","2","1","0","0","0"
"A5-T1","17","11.406","3","3","2","0","0","0"
"A5-T1","18","12.28","4","4","3","0","1","0"
"A5-T1","19","12.762","1","1","0","0","0","0"
"A5-T1","20","13.244","2","2","1","0","0","0"
"A5-T1","21","13.84","3","3","2","0","1","0"
"A5-T1","22","14.6400000000001","4","4","3","0","0","0"
"A5-T1","23","15.1220000000001","1","1","0","0","0","0"
"A5-T1","24","15.6040000000001","2","2","1","0","0","0"
"A5-T1","25","16.24","3","3","2","0","1","0"
"A5-T1","26","16.92","4","4","3","0","0","0"
"A5-T1","27","17.52","1","1","0","0","0","0"
"A5-T1","28","18.0020000000035","2","2","1","0","0","0"
"A5-T1","29","18.56","3","3","2","0","1","0"
"A5-T1","30","19.3600000000001","4","4","3","0","0","0"
"A5-T1","31","19.8420000000001","1","1","0","0","0","0"
"A5-T1","32","20.3240000000001","2","2","1","0","0","0"
"A5-T1","33","20.96","3","3","2","0","1","0"
"A5-T1","34","21.64","4","4","3","0","0","0"
"A5-T1","35","22.24","1","1","0","0","0","0"
"A5-T1","36","22.7220000000035","2","2","1","0","0","0"
"A5-T1","37","23.3200000000001","3","3","2","0","1","0"
"A5-T1","38","24","4","4","3","0","0","0"
"A5-T1","39","24.6000000000001","1","1","0","0","0","0"
"A5-T1","40","25.0820000000001","2","2","1","0","0","0"
"A5-T1","41","25.68","3","3","2","0","1","0"
"A5-T1","42","26.3600000000001","4","4","3","0","0","0"
"A5-T1","43","26.96","1","1","0","0","0","0"
"A5-T1","44","27.4420000000035","2","2","1","0","0","0"
"A5-T1","45","28.0400000000001","3","3","2","0","1","0"
"A5-T1","46","28.72","4","4","3","0","0","0"
"A5-T1","47","29.3200000000001","1","1","0","0","0","0"
"A5-T1","48","29.802","2","2","1","0","0","0"
"A5-T1","49","30.4400000000001","3","3","2","0","1","0"
"A5-T1","50","31.04","4","4","3","0","0","0"
"A5-T1","51","31.7200000000001","1","1","0","0","0","0"
"A5-T1","52","32.2020000000001","2","2","1","0","0","0"
"A5-T1","53","32.6840000000001","3","3","2","0","0","0"
"A5-T1","54","33.52","4","4","3","0","1","0"
"A5-T1","55","34.002","1","1","0","0","0","0"
"A5-T1","56","34.5600000000001","2","2","1","0","1","0"
"A5-T1","57","35.08","3","3","2","0","0","0"
"A5-T1","58","35.84","4","4","3","0","0","0"
"A5-T1","59","36.36","1","1","0","0","0","0"
"A5-T1","60","36.9600000000001","2","2","1","0","0","0"
"A5-T1","61","37.442","3","3","2","0","0","0"
"A5-T1","62","38.2000000000001","4","4","3","0","1","0"
"A5-T1","63","38.72","1","1","0","0","0","0"
"A5-T1","64","39.32","2","2","1","0","0","0"
"A5-T1","65","39.802000000007","3","3","2","0","0","0"
"A5-T1","66","40.5200000000001","4","4","3","0","1","0"
"A5-T1","67","41.1200000000001","1","1","0","0","0","0"
"A5-T1","68","41.64","2","2","1","0","0","0"
"A5-T1","69","42.24","3","3","2","0","0","0"
"A5-T1","70","42.8000000000001","4","4","3","0","0","0"
"A5-T1","71","43.6000000000001","1","1","0","0","0","0"
"A5-T1","72","44.0820000000001","2","2","1","0","0","0"
"A5-T1","73","44.5640000000001","3","3","2","0","0","0"
"A5-T1","74","45.1200000000001","4","4","3","0","1","0"
"A5-T1","75","45.9200000000001","1","1","0","0","0","0"
"A5-T1","76","46.4020000000001","2","2","1","0","0","0"
"A5-T1","77","46.8840000000001","3","3","2","0","0","0"
"A5-T1","78","47.5600000000001","4","4","3","0","1","0"
"A5-T1","79","48.2000000000001","1","1","0","0","0","0"
"A5-T1","80","48.72","2","2","1","0","0","0"
"A5-T1","81","49.3200000000001","3","3","2","0","0","0"
"A5-T1","82","49.8800000000001","4","4","3","0","0","0"
"A5-T1","83","50.6","1","1","0","0","0","0"
"A5-T1","84","51.082000000007","2","2","1","0","0","0"
"A5-T1","85","51.68","3","3","2","0","1","0"
"A5-T1","86","52.2400000000001","4","4","3","0","0","0"
"A5-T1","87","53.0000000000001","1","1","0","0","0","0"
"A5-T1","88","53.4820000000001","2","2","1","0","0","0"
"A5-T1","89","53.9640000000001","3","3","2","0","0","0"
"A5-T1","90","54.6800000000001","4","4","3","0","1","0"
"A5-T1","91","55.24","1","1","0","0","0","0"
"A5-T1","92","55.92","2","2","1","0","0","0"
"A5-T1","93","56.4020000000069","3","3","2","0","0","0"
"A5-T1","94","56.92","4","4","3","0","1","0"
"A5-T1","95","57.72","1","1","0","0","0","0"
"A5-T1","96","58.202000000007","2","2","1","0","0","0"
"A5-T1","97","58.7200000000001","3","3","2","0","1","0"
"A5-T1","98","59.3600000000001","4","4","3","0","0","0"
"A5-T1","99","60","1","1","0","0","0","0"
"A5-T1","100","60.6000000000001","2","2","1","0","0","0"
"A5-T1","101","61.082000000007","3","3","2","0","0","0"
"A5-T1","102","61.72","4","4","3","0","1","0"
"A5-T1","103","62.36","1","1","0","0","0","0"
"A5-T1","104","62.96","2","2","1","0","0","0"
"A5-T1","105","63.442000000007","3","3","2","0","0","0"
"A5-T1","106","64.1200000000001","4","4","3","0","1","0"
"A5-T1","107","64.68","1","1","0","0","0","0"
"A5-T1","108","65.3600000000001","2","2","1","0","0","0"
"A5-T1","109","65.8420000000001","3","3","2","0","0","0"
"A5-T1","110","66.4000000000001","4","4","3","0","1","0"
"A5-T1","111","67.12","1","1","0","0","0","0"
"A5-T1","112","67.602000000007","2","2","1","0","0","0"
"A5-T1","113","68.2800000000001","3","3","2","0","1","0"
"A5-T1","114","68.7620000000001","4","4","3","0","0","0"
"A5-T1","115","69.44","1","1","0","0","1","0"
"A5-T1","116","70.04","2","2","1","0","0","0"
"A5-T1","117","70.522000000007","3","3","2","0","0","0"
"A5-T1","118","71.2","4","4","3","0","1","0"
"A5-T1","119","71.76","1","1","0","0","0","0"
"A5-T1","120","72.44","2","2","1","0","0","0"
"A5-T1","121","72.9220000000069","3","3","2","0","0","0"
"A5-T1","122","73.5200000000001","4","4","3","0","1","0"
"A5-T1","123","74.1600000000001","1","1","0","0","0","0"
"A5-T1","124","74.76","2","2","1","0","0","0"
"A5-T1","125","75.2800000000001","3","3","2","0","0","0"
"A5-T1","126","75.8800000000001","4","4","3","0","0","0"
"A5-T1","127","76.5200000000001","1","1","0","0","0","0"
"A5-T1","128","77.1200000000001","2","2","1","0","0","0"
"A5-T1","129","77.64","3","3","2","0","0","0"
"A5-T1","130","78.28","4","4","3","0","0","0"
"A5-T1","131","78.84","1","1","0","0","0","0"
"A5-T1","132","79.52","2","2","1","0","0","0"
"A5-T1","133","80.002000000007","3","3","2","0","0","0"
"A5-T1","134","80.6","4","4","3","0","1","0"
"A5-T1","135","81.24","1","1","0","0","0","0"
"A5-T1","136","81.84","2","2","1","0","0","0"
"A5-T1","137","82.4","3","3","2","0","0","0"
"A5-T1","138","82.92","4","4","3","0","0","0"
"A5-T1","139","83.6400000000001","1","1","0","0","0","0"
"A5-T1","140","84.16","2","2","1","0","0","0"
"A5-T1","141","84.8","3","3","2","0","0","0"
"A5-T1","142","85.2820000000069","4","4","3","0","0","0"
"A5-T1","143","86","1","1","0","0","1","0"
"A5-T1","144","86.5200000000001","2","2","1","0","0","0"
"A5-T1","145","87.1600000000001","3","3","2","0","0","0"
"A5-T1","146","87.6420000000001","4","4","3","0","0","0"
"A5-T1","147","88.36","1","1","0","0","1","0"
