"variant","signal","available","sample_count","finite","note"
"A5-T1","Vout","1","270001","1","logged"
"A5-T1","Iload","1","276314","1","logged"
"A5-T1","IL1","1","270001","1","logged"
"A5-T1","IL2","1","270001","1","logged"
"A5-T1","IL3","1","270001","1","logged"
"A5-T1","IL4","1","270001","1","logged"
"A5-T1","IL_sense1","1","270001","1","logged"
"A5-T1","IL_sense2","1","270001","1","logged"
"A5-T1","IL_sense3","1","270001","1","logged"
"A5-T1","IL_sense4","1","270001","1","logged"
"A5-T1","QH1","1","276314","1","logged"
"A5-T1","QH2","1","276314","1","logged"
"A5-T1","QH3","1","276314","1","logged"
"A5-T1","QH4","1","276314","1","logged"
"A5-T1","QL1","1","276314","1","logged"
"A5-T1","QL2","1","276314","1","logged"
"A5-T1","QL3","1","276314","1","logged"
"A5-T1","QL4","1","276314","1","logged"
"A5-T1","REQ1","1","276314","1","logged"
"A5-T1","REQ2","1","276314","1","logged"
"A5-T1","REQ3","1","276314","1","logged"
"A5-T1","REQ4","1","276314","1","logged"
"A5-T1","REQ_accept1","1","276314","1","logged"
"A5-T1","REQ_accept2","1","276314","1","logged"
"A5-T1","REQ_accept3","1","276314","1","logged"
"A5-T1","REQ_accept4","1","276314","1","logged"
"A5-T1","REQ_reject_reason","1","276314","1","logged"
"A5-T1","phase_idx","1","276314","1","logged"
"A5-T1","active_HS_phase","1","276314","1","logged"
"A5-T1","Ton_cmd1","1","276314","1","logged"
"A5-T1","Ton_cmd2","1","276314","1","logged"
"A5-T1","Ton_cmd3","1","276314","1","logged"
"A5-T1","Ton_cmd4","1","276314","1","logged"
"A5-T1","Ton_actual1","1","13501","1","logged"
"A5-T1","Ton_actual2","1","13501","1","logged"
"A5-T1","Ton_actual3","1","13501","1","logged"
"A5-T1","Ton_actual4","1","13501","1","logged"
"A5-T1","Ton_trunc_i","1","1105256","1","logged"
"A5-T1","Ton_saved_i","1","1105256","1","logged"
"A5-T1","Lambda_i","1","13501","1","logged"
"A5-T1","area_int_i","1","13501","1","logged"
"A5-T1","a_O_state","1","1","1","logged"
"A5-T1","severe_drop_detected","1","13501","1","logged"
"A5-T1","pulse_inhibit_state","1","1","1","logged"
"A5-T1","area_hold_state","1","13501","1","logged"
"A5-T1","area_hold_count","1","13501","1","logged"
"A5-T1","area_reset_count","1","13501","1","logged"
"A5-T1","area_bleed_count","1","13501","1","logged"
"A5-T1","reentry_state","1","13501","1","logged"
"A5-T1","fallback_state","1","1","1","logged"
"A5-T1","fallback_count","1","1","1","logged"
"A5-T1","fallback_reason","1","1","1","logged"
"A5-T1","current_limit_hit","1","13501","1","logged"
"A5-T1","phase_order_error","1","13501","1","logged"
"A5-T1","burst_pulse_count_after_reentry","1","1","1","logged"
"A5-T2","Vout","1","270001","1","logged"
"A5-T2","Iload","1","276314","1","logged"
"A5-T2","IL1","1","270001","1","logged"
"A5-T2","IL2","1","270001","1","logged"
"A5-T2","IL3","1","270001","1","logged"
"A5-T2","IL4","1","270001","1","logged"
"A5-T2","IL_sense1","1","270001","1","logged"
"A5-T2","IL_sense2","1","270001","1","logged"
"A5-T2","IL_sense3","1","270001","1","logged"
"A5-T2","IL_sense4","1","270001","1","logged"
"A5-T2","QH1","1","276314","1","logged"
"A5-T2","QH2","1","276314","1","logged"
"A5-T2","QH3","1","276314","1","logged"
"A5-T2","QH4","1","276314","1","logged"
"A5-T2","QL1","1","276314","1","logged"
"A5-T2","QL2","1","276314","1","logged"
"A5-T2","QL3","1","276314","1","logged"
"A5-T2","QL4","1","276314","1","logged"
"A5-T2","REQ1","1","276314","1","logged"
"A5-T2","REQ2","1","276314","1","logged"
"A5-T2","REQ3","1","276314","1","logged"
"A5-T2","REQ4","1","276314","1","logged"
"A5-T2","REQ_accept1","1","276314","1","logged"
"A5-T2","REQ_accept2","1","276314","1","logged"
"A5-T2","REQ_accept3","1","276314","1","logged"
"A5-T2","REQ_accept4","1","276314","1","logged"
"A5-T2","REQ_reject_reason","1","276314","1","logged"
"A5-T2","phase_idx","1","276314","1","logged"
"A5-T2","active_HS_phase","1","276314","1","logged"
"A5-T2","Ton_cmd1","1","276314","1","logged"
"A5-T2","Ton_cmd2","1","276314","1","logged"
"A5-T2","Ton_cmd3","1","276314","1","logged"
"A5-T2","Ton_cmd4","1","276314","1","logged"
"A5-T2","Ton_actual1","1","13501","1","logged"
"A5-T2","Ton_actual2","1","13501","1","logged"
"A5-T2","Ton_actual3","1","13501","1","logged"
"A5-T2","Ton_actual4","1","13501","1","logged"
"A5-T2","Ton_trunc_i","1","1105256","1","logged"
"A5-T2","Ton_saved_i","1","1105256","1","logged"
"A5-T2","Lambda_i","1","13501","1","logged"
"A5-T2","area_int_i","1","13501","1","logged"
"A5-T2","a_O_state","1","1","1","logged"
"A5-T2","severe_drop_detected","1","13501","1","logged"
"A5-T2","pulse_inhibit_state","1","276314","1","logged"
"A5-T2","area_hold_state","1","13501","1","logged"
"A5-T2","area_hold_count","1","13501","1","logged"
"A5-T2","area_reset_count","1","13501","1","logged"
"A5-T2","area_bleed_count","1","13501","1","logged"
"A5-T2","reentry_state","1","13501","1","logged"
"A5-T2","fallback_state","1","1","1","logged"
"A5-T2","fallback_count","1","1","1","logged"
"A5-T2","fallback_reason","1","1","1","logged"
"A5-T2","current_limit_hit","1","13501","1","logged"
"A5-T2","phase_order_error","1","13501","1","logged"
"A5-T2","burst_pulse_count_after_reentry","1","1","1","logged"
"A5-T3","Vout","1","270001","1","logged"
"A5-T3","Iload","1","276314","1","logged"
"A5-T3","IL1","1","270001","1","logged"
"A5-T3","IL2","1","270001","1","logged"
"A5-T3","IL3","1","270001","1","logged"
"A5-T3","IL4","1","270001","1","logged"
"A5-T3","IL_sense1","1","270001","1","logged"
"A5-T3","IL_sense2","1","270001","1","logged"
"A5-T3","IL_sense3","1","270001","1","logged"
"A5-T3","IL_sense4","1","270001","1","logged"
"A5-T3","QH1","1","276314","1","logged"
"A5-T3","QH2","1","276314","1","logged"
"A5-T3","QH3","1","276314","1","logged"
"A5-T3","QH4","1","276314","1","logged"
"A5-T3","QL1","1","276314","1","logged"
"A5-T3","QL2","1","276314","1","logged"
"A5-T3","QL3","1","276314","1","logged"
"A5-T3","QL4","1","276314","1","logged"
"A5-T3","REQ1","1","276314","1","logged"
"A5-T3","REQ2","1","276314","1","logged"
"A5-T3","REQ3","1","276314","1","logged"
"A5-T3","REQ4","1","276314","1","logged"
"A5-T3","REQ_accept1","1","276314","1","logged"
"A5-T3","REQ_accept2","1","276314","1","logged"
"A5-T3","REQ_accept3","1","276314","1","logged"
"A5-T3","REQ_accept4","1","276314","1","logged"
"A5-T3","REQ_reject_reason","1","276314","1","logged"
"A5-T3","phase_idx","1","276314","1","logged"
"A5-T3","active_HS_phase","1","276314","1","logged"
"A5-T3","Ton_cmd1","1","276314","1","logged"
"A5-T3","Ton_cmd2","1","276314","1","logged"
"A5-T3","Ton_cmd3","1","276314","1","logged"
"A5-T3","Ton_cmd4","1","276314","1","logged"
"A5-T3","Ton_actual1","1","13501","1","logged"
"A5-T3","Ton_actual2","1","13501","1","logged"
"A5-T3","Ton_actual3","1","13501","1","logged"
"A5-T3","Ton_actual4","1","13501","1","logged"
"A5-T3","Ton_trunc_i","1","1105256","1","logged"
"A5-T3","Ton_saved_i","1","1105256","1","logged"
"A5-T3","Lambda_i","1","13501","1","logged"
"A5-T3","area_int_i","1","13501","1","logged"
"A5-T3","a_O_state","1","1","1","logged"
"A5-T3","severe_drop_detected","1","13501","1","logged"
"A5-T3","pulse_inhibit_state","1","276314","1","logged"
"A5-T3","area_hold_state","1","13501","1","logged"
"A5-T3","area_hold_count","1","13501","1","logged"
"A5-T3","area_reset_count","1","13501","1","logged"
"A5-T3","area_bleed_count","1","13501","1","logged"
"A5-T3","reentry_state","1","13501","1","logged"
"A5-T3","fallback_state","1","1","1","logged"
"A5-T3","fallback_count","1","1","1","logged"
"A5-T3","fallback_reason","1","1","1","logged"
"A5-T3","current_limit_hit","1","13501","1","logged"
"A5-T3","phase_order_error","1","13501","1","logged"
"A5-T3","burst_pulse_count_after_reentry","1","1","1","logged"
"A5-T4","Vout","1","270001","1","logged"
"A5-T4","Iload","1","276314","1","logged"
"A5-T4","IL1","1","270001","1","logged"
"A5-T4","IL2","1","270001","1","logged"
"A5-T4","IL3","1","270001","1","logged"
"A5-T4","IL4","1","270001","1","logged"
"A5-T4","IL_sense1","1","270001","1","logged"
"A5-T4","IL_sense2","1","270001","1","logged"
"A5-T4","IL_sense3","1","270001","1","logged"
"A5-T4","IL_sense4","1","270001","1","logged"
"A5-T4","QH1","1","276314","1","logged"
"A5-T4","QH2","1","276314","1","logged"
"A5-T4","QH3","1","276314","1","logged"
"A5-T4","QH4","1","276314","1","logged"
"A5-T4","QL1","1","276314","1","logged"
"A5-T4","QL2","1","276314","1","logged"
"A5-T4","QL3","1","276314","1","logged"
"A5-T4","QL4","1","276314","1","logged"
"A5-T4","REQ1","1","276314","1","logged"
"A5-T4","REQ2","1","276314","1","logged"
"A5-T4","REQ3","1","276314","1","logged"
"A5-T4","REQ4","1","276314","1","logged"
"A5-T4","REQ_accept1","1","276314","1","logged"
"A5-T4","REQ_accept2","1","276314","1","logged"
"A5-T4","REQ_accept3","1","276314","1","logged"
"A5-T4","REQ_accept4","1","276314","1","logged"
"A5-T4","REQ_reject_reason","1","276314","1","logged"
