variant,event_index,time_after_step_us,REQ_accept_phase,expected_phase,phase_order_error_event,phase_idx_sample,REQ_reject_reason_sample,phase_order_error_sample
R1-U1,1,5.42101086242752e-14,3,NaN,0,2,0,0
R1-U1,2,0.160000000000026,4,4,0,3,0,0
R1-U1,3,0.320000000000051,1,1,0,0,0,0
R1-U1,4,0.480000000000023,2,2,0,1,0,0
R1-U1,5,0.640000000000048,3,3,0,2,0,0
R1-U1,6,0.800000000000019,4,4,0,3,0,0
R1-U1,7,0.960000000000045,1,1,0,0,0,0
R1-U1,8,1.12000000000002,2,2,0,1,0,0
R1-U1,9,1.28000000000004,3,3,0,2,0,0
R1-U1,10,1.44000000000007,4,4,0,3,0,0
R1-U1,11,1.60000000000004,1,1,0,0,0,0
R1-U1,12,1.76000000000006,2,2,0,1,0,0
R1-U1,13,1.92000000000004,3,3,0,2,0,0
R1-U1,14,2.08000000000006,4,4,0,3,0,0
R1-U1,15,2.24000000000003,1,1,0,0,0,0
R1-U1,16,2.40000000000006,2,2,0,1,0,0
R1-U1,17,2.56000000000003,3,3,0,2,0,0
R1-U1,18,2.72000000000006,4,4,0,3,0,0
R1-U1,19,2.88000000000003,1,1,0,0,0,0
R1-U1,20,3.3620000000035,2,2,0,1,0,0
R1-U1,21,3.8440000000035,3,3,0,2,0,0
R1-U1,22,4.3260000000035,4,4,0,3,0,0
R1-U1,23,4.80800000000349,1,1,0,0,0,0
R1-U1,24,5.2900000000035,2,2,0,1,0,0
R1-U1,25,5.7720000000035,3,3,0,2,0,0
R1-U1,26,6.25400000000349,4,4,0,3,0,0
R1-U1,27,6.73600000000349,1,1,0,0,0,0
R1-U1,28,7.21800000000349,2,2,0,1,0,0
R1-U1,29,7.70000000000349,3,3,0,2,0,0
R1-U1,30,8.18200000000349,4,4,0,3,0,0
R1-U1,31,8.66400000000349,1,1,0,0,0,0
R1-U1,32,9.14600000000349,2,2,0,1,0,0
R1-U1,33,9.62800000000349,3,3,0,2,0,0
R1-U1,34,10.1100000000035,4,4,0,3,0,0
R1-U1,35,10.5920000000035,1,1,0,0,0,0
R1-U1,36,11.0740000000035,2,2,0,1,0,0
R1-U1,37,11.5560000000035,3,3,0,2,0,0
R1-U1,38,12.0380000000035,4,4,0,3,0,0
R1-U1,39,12.5200000000035,1,1,0,0,0,0
R1-U1,40,13.0020000000035,2,2,0,1,0,0
R1-U1,41,13.4840000000035,3,3,0,2,0,0
R1-U1,42,13.9660000000035,4,4,0,3,0,0
R1-U1,43,14.4480000000035,1,1,0,0,0,0
R1-U1,44,14.9300000000035,2,2,0,1,0,0
R1-U1,45,15.4120000000035,3,3,0,2,0,0
R1-U1,46,15.8940000000035,4,4,0,3,0,0
R1-U1,47,16.3760000000035,1,1,0,0,0,0
R1-U1,48,16.8580000000035,2,2,0,1,0,0
R1-U1,49,17.3400000000035,3,3,0,2,0,0
R1-U1,50,17.8220000000035,4,4,0,3,0,0
R1-U1,51,18.3040000000035,1,1,0,0,0,0
R1-U1,52,18.7860000000035,2,2,0,1,0,0
R1-U1,53,19.2680000000035,3,3,0,2,0,0
R1-U1,54,19.7500000000035,4,4,0,3,0,0
R1-U1,55,20.2320000000035,1,1,0,0,0,0
R1-U1,56,20.7140000000035,2,2,0,1,0,0
R1-U1,57,21.1960000000035,3,3,0,2,0,0
R1-U1,58,21.6780000000035,4,4,0,3,0,0
R1-U1,59,22.1600000000035,1,1,0,0,0,0
R1-U1,60,22.6420000000035,2,2,0,1,0,0
R1-U1,61,23.1240000000035,3,3,0,2,0,0
R1-U1,62,23.6060000000035,4,4,0,3,0,0
R1-U1,63,24.0880000000035,1,1,0,0,0,0
R1-U1,64,24.5700000000035,2,2,0,1,0,0
R1-U1,65,25.0520000000035,3,3,0,2,0,0
R1-U1,66,25.5340000000035,4,4,0,3,0,0
R1-U1,67,26.0160000000035,1,1,0,0,0,0
R1-U1,68,26.4980000000035,2,2,0,1,0,0
R1-U1,69,26.9800000000035,3,3,0,2,0,0
R1-U1,70,27.4620000000035,4,4,0,3,0,0
R1-U1,71,27.9440000000035,1,1,0,0,0,0
R1-U1,72,28.4260000000035,2,2,0,1,0,0
R1-U1,73,28.9080000000035,3,3,0,2,0,0
R1-U1,74,29.3900000000035,4,4,0,3,0,0
R1-U1,75,29.8720000000001,1,1,0,0,0,0
R1-U1,76,30.3540000000001,2,2,0,1,0,0
R1-U1,77,30.8360000000001,3,3,0,2,0,0
R1-U1,78,31.3180000000001,4,4,0,3,0,0
R1-U1,79,31.8000000000001,1,1,0,0,0,0
R1-U1,80,32.2820000000001,2,2,0,1,0,0
R1-U1,81,32.7640000000001,3,3,0,2,0,0
R1-U1,82,33.2460000000001,4,4,0,3,0,0
R1-U1,83,33.7280000000001,1,1,0,0,0,0
R1-U1,84,34.2100000000001,2,2,0,1,0,0
R1-U1,85,34.6920000000001,3,3,0,2,0,0
R1-U1,86,35.1740000000001,4,4,0,3,0,0
R1-U1,87,35.6560000000001,1,1,0,0,0,0
R1-U1,88,36.1380000000001,2,2,0,1,0,0
R1-U1,89,36.6200000000001,3,3,0,2,0,0
R1-U1,90,37.1020000000001,4,4,0,3,0,0
R1-U1,91,37.5840000000001,1,1,0,0,0,0
R1-U1,92,38.0660000000001,2,2,0,1,0,0
R1-U1,93,38.548000000007,3,3,0,2,0,0
R1-U1,94,39.030000000007,4,4,0,3,0,0
R1-U1,95,39.5120000000069,1,1,0,0,0,0
R1-U1,96,39.9940000000069,2,2,0,1,0,0
R1-U1,97,40.4760000000069,3,3,0,2,0,0
R1-U1,98,40.9580000000069,4,4,0,3,0,0
R1-U1,99,41.4400000000069,1,1,0,0,0,0
R1-U1,100,41.9220000000069,2,2,0,1,0,0
R1-U1,101,42.4040000000069,3,3,0,2,0,0
R1-U1,102,42.8860000000069,4,4,0,3,0,0
R1-U1,103,43.368000000007,1,1,0,0,0,0
R1-U1,104,43.850000000007,2,2,0,1,0,0
R1-U1,105,44.3320000000069,3,3,0,2,0,0
R1-U1,106,44.8140000000069,4,4,0,3,0,0
R1-U1,107,45.2960000000069,1,1,0,0,0,0
R1-U1,108,45.7780000000069,2,2,0,1,0,0
R1-U1,109,46.2600000000069,3,3,0,2,0,0
R1-U1,110,46.7420000000069,4,4,0,3,0,0
R1-U1,111,47.2240000000069,1,1,0,0,0,0
R1-U1,112,47.7060000000069,2,2,0,1,0,0
R1-U1,113,48.1880000000069,3,3,0,2,0,0
R1-U1,114,48.6700000000069,4,4,0,3,0,0
R1-U1,115,49.1520000000069,1,1,0,0,0,0
R1-U1,116,49.6340000000069,2,2,0,1,0,0
R1-U1,117,50.1160000000069,3,3,0,2,0,0
R1-U1,118,50.5980000000069,4,4,0,3,0,0
R1-U1,119,51.0800000000069,1,1,0,0,0,0
R1-U1,120,51.5620000000069,2,2,0,1,0,0
R1-U1,121,52.0440000000069,3,3,0,2,0,0
R1-U1,122,52.5260000000069,4,4,0,3,0,0
R1-U1,123,53.0080000000069,1,1,0,0,0,0
R1-U1,124,53.4900000000069,2,2,0,1,0,0
R1-U1,125,53.9720000000069,3,3,0,2,0,0
R1-U1,126,54.4540000000069,4,4,0,3,0,0
R1-U1,127,54.9360000000069,1,1,0,0,0,0
R1-U1,128,55.4180000000069,2,2,0,1,0,0
R1-U1,129,55.9000000000069,3,3,0,2,0,0
R1-U1,130,56.3820000000069,4,4,0,3,0,0
R1-U1,131,56.8640000000069,1,1,0,0,0,0
R1-U1,132,57.3460000000069,2,2,0,1,0,0
R1-U1,133,57.8280000000069,3,3,0,2,0,0
R1-U1,134,58.3100000000069,4,4,0,3,0,0
R1-U1,135,58.7920000000069,1,1,0,0,0,0
R1-U1,136,59.2740000000069,2,2,0,1,0,0
R1-U1,137,59.7560000000069,3,3,0,2,0,0
R1-U1,138,60.2380000000069,4,4,0,3,0,0
R1-U1,139,60.7200000000069,1,1,0,0,0,0
R1-U1,140,61.2020000000069,2,2,0,1,0,0
R1-U1,141,61.6840000000069,3,3,0,2,0,0
R1-U1,142,62.1660000000069,4,4,0,3,0,0
R1-U1,143,62.6480000000069,1,1,0,0,0,0
R1-U1,144,63.1300000000069,2,2,0,1,0,0
R1-U1,145,63.6120000000069,3,3,0,2,0,0
R1-U1,146,64.0940000000069,4,4,0,3,0,0
R1-U1,147,64.5760000000069,1,1,0,0,0,0
R1-U1,148,65.0580000000069,2,2,0,1,0,0
R1-U1,149,65.5400000000069,3,3,0,2,0,0
R1-U1,150,66.0220000000069,4,4,0,3,0,0
R1-U1,151,66.5040000000069,1,1,0,0,0,0
R1-U1,152,66.9860000000069,2,2,0,1,0,0
R1-U1,153,67.4680000000069,3,3,0,2,0,0
R1-U1,154,67.9500000000069,4,4,0,3,0,0
R1-U1,155,68.4320000000069,1,1,0,0,0,0
R1-U1,156,68.9140000000069,2,2,0,1,0,0
R1-U1,157,69.3960000000069,3,3,0,2,0,0
R1-U1,158,69.8780000000069,4,4,0,3,0,0
R1-U1,159,70.3600000000069,1,1,0,0,0,0
R1-U1,160,70.8420000000069,2,2,0,1,0,0
R1-U1,161,71.3240000000069,3,3,0,2,0,0
R1-U1,162,71.8060000000069,4,4,0,3,0,0
R1-U1,163,72.2880000000069,1,1,0,0,0,0
R1-U1,164,72.7700000000069,2,2,0,1,0,0
R1-U1,165,73.2520000000069,3,3,0,2,0,0
R1-U1,166,73.7340000000069,4,4,0,3,0,0
R1-U1,167,74.2160000000069,1,1,0,0,0,0
R1-U1,168,74.6980000000069,2,2,0,1,0,0
R1-U1,169,75.1800000000069,3,3,0,2,0,0
R1-U1,170,75.6620000000069,4,4,0,3,0,0
R1-U1,171,76.1440000000069,1,1,0,0,0,0
R1-U1,172,76.6260000000069,2,2,0,1,0,0
R1-U1,173,77.1080000000069,3,3,0,2,0,0
R1-U1,174,77.5900000000069,4,4,0,3,0,0
R1-U1,175,78.0720000000069,1,1,0,0,0,0
R1-U1,176,78.5540000000069,2,2,0,1,0,0
R1-U1,177,79.0360000000069,3,3,0,2,0,0
R1-U1,178,79.5180000000069,4,4,0,3,0,0
R1-U1,179,80.0000000000069,1,1,0,0,0,0
R1-U1,180,80.4820000000069,2,2,0,1,0,0
R1-U1,181,80.9640000000069,3,3,0,2,0,0
R1-U1,182,81.4460000000069,4,4,0,3,0,0
R1-U1,183,81.9280000000069,1,1,0,0,0,0
R1-U1,184,82.4100000000069,2,2,0,1,0,0
R1-U1,185,82.8920000000069,3,3,0,2,0,0
R1-U1,186,83.3740000000069,4,4,0,3,0,0
R1-U1,187,83.8560000000001,1,1,0,0,0,0
R1-U1,188,84.3380000000001,2,2,0,1,0,0
R1-U1,189,84.8200000000001,3,3,0,2,0,0
R1-U1,190,85.3020000000001,4,4,0,3,0,0
R1-U1,191,85.7840000000001,1,1,0,0,0,0
R1-U1,192,86.2660000000001,2,2,0,1,0,0
R1-U1,193,86.7480000000001,3,3,0,2,0,0
R1-U1,194,87.2300000000001,4,4,0,3,0,0
R1-U1,195,87.7120000000001,1,1,0,0,0,0
R1-U1,196,88.1940000000001,2,2,0,1,0,0
R1-U1,197,88.6760000000001,3,3,0,2,0,0
R1-U1,198,89.1580000000001,4,4,0,3,0,0
R1-U1,199,89.6400000000001,1,1,0,0,0,0
R1-U2,1,5.42101086242752e-14,3,NaN,0,2,0,0
R1-U2,2,0.160000000000026,4,4,0,3,0,0
R1-U2,3,0.320000000000051,1,1,0,0,0,0
R1-U2,4,0.480000000000023,2,2,0,1,0,0
R1-U2,5,0.640000000000048,3,3,0,2,0,0
R1-U2,6,0.800000000000019,4,4,0,3,0,0
R1-U2,7,0.960000000000045,1,1,0,0,0,0
R1-U2,8,1.12000000000002,2,2,0,1,0,0
R1-U2,9,1.28000000000004,3,3,0,2,0,0
R1-U2,10,1.44000000000007,4,4,0,3,0,0
R1-U2,11,1.60000000000004,1,1,0,0,0,0
R1-U2,12,1.76000000000006,2,2,0,1,0,0
R1-U2,13,1.92000000000004,3,3,0,2,0,0
R1-U2,14,2.08000000000006,4,4,0,3,0,0
R1-U2,15,2.24000000000003,1,1,0,0,0,0
R1-U2,16,2.40000000000006,2,2,0,1,0,0
R1-U2,17,2.56000000000003,3,3,0,2,0,0
R1-U2,18,2.72000000000006,4,4,0,3,0,0
R1-U2,19,2.88000000000003,1,1,0,0,0,0
R1-U2,20,3.3620000000035,2,2,0,1,0,0
R1-U2,21,3.8440000000035,3,3,0,2,0,0
R1-U2,22,4.3260000000035,4,4,0,3,0,0
R1-U2,23,4.80800000000349,1,1,0,0,0,0
R1-U2,24,5.2900000000035,2,2,0,1,0,0
R1-U2,25,5.7720000000035,3,3,0,2,0,0
