variant,signal,available,source
R1-U1,Vout,1,logsout
R1-U1,Iload,1,logsout
R1-U1,IL1,1,logsout
R1-U1,IL2,1,logsout
R1-U1,IL3,1,logsout
R1-U1,IL4,1,logsout
R1-U1,IL_sense1,1,logsout
R1-U1,IL_sense2,1,logsout
R1-U1,IL_sense3,1,logsout
R1-U1,IL_sense4,1,logsout
R1-U1,REQ1,1,logsout
R1-U1,REQ2,1,logsout
R1-U1,REQ3,1,logsout
R1-U1,REQ4,1,logsout
R1-U1,REQ_accept1,1,logsout
R1-U1,REQ_accept2,1,logsout
R1-U1,REQ_accept3,1,logsout
R1-U1,REQ_accept4,1,logsout
R1-U1,REQ_reject_reason,1,logsout
R1-U1,QH1,1,logsout
R1-U1,QH2,1,logsout
R1-U1,QH3,1,logsout
R1-U1,QH4,1,logsout
R1-U1,QL1,1,logsout
R1-U1,QL2,1,logsout
R1-U1,QL3,1,logsout
R1-U1,QL4,1,logsout
R1-U1,phase_idx,1,logsout
R1-U1,phase_order_error,1,logsout
R1-U1,Ton_nom,1,derived_from_Ton_cmd1_4
R1-U1,Ton_cmd1,1,logsout
R1-U1,Ton_cmd2,1,logsout
R1-U1,Ton_cmd3,1,logsout
R1-U1,Ton_cmd4,1,logsout
R1-U1,Ton_actual1,1,logsout
R1-U1,Ton_actual2,1,logsout
R1-U1,Ton_actual3,1,logsout
R1-U1,Ton_actual4,1,logsout
R1-U1,Ton_boost_state,1,logsout
R1-U1,Ton_boost_gain,1,logsout
R1-U1,Ton_boost_window,1,logsout
R1-U1,Ton_boost_decay_state,1,logsout
R1-U1,fallback_to_nominal_state,1,logsout
R1-U1,fast_req_state,1,logsout
R1-U1,fast_req_count,1,fast_request_count_or_active_edges
R1-U1,fast_req_reject_reason,1,logsout
R1-U1,current_limit_hit,1,logsout
R1-U1,phase_current_peak,1,R1_diagnostic
R1-U1,current_rise_target_state,1,logsout
R1-U1,late_recovery_guard_state,1,logsout
R1-U1,Vout_error,1,logsout
R1-U1,Vout_error_slope,1,logsout
R1-U1,settling_band_state,1,logsout
R1-U2,Vout,1,logsout
R1-U2,Iload,1,logsout
R1-U2,IL1,1,logsout
R1-U2,IL2,1,logsout
R1-U2,IL3,1,logsout
R1-U2,IL4,1,logsout
R1-U2,IL_sense1,1,logsout
R1-U2,IL_sense2,1,logsout
R1-U2,IL_sense3,1,logsout
R1-U2,IL_sense4,1,logsout
R1-U2,REQ1,1,logsout
R1-U2,REQ2,1,logsout
R1-U2,REQ3,1,logsout
R1-U2,REQ4,1,logsout
R1-U2,REQ_accept1,1,logsout
R1-U2,REQ_accept2,1,logsout
R1-U2,REQ_accept3,1,logsout
R1-U2,REQ_accept4,1,logsout
R1-U2,REQ_reject_reason,1,logsout
R1-U2,QH1,1,logsout
R1-U2,QH2,1,logsout
R1-U2,QH3,1,logsout
R1-U2,QH4,1,logsout
R1-U2,QL1,1,logsout
R1-U2,QL2,1,logsout
R1-U2,QL3,1,logsout
R1-U2,QL4,1,logsout
R1-U2,phase_idx,1,logsout
R1-U2,phase_order_error,1,logsout
R1-U2,Ton_nom,1,derived_from_Ton_cmd1_4
R1-U2,Ton_cmd1,1,logsout
R1-U2,Ton_cmd2,1,logsout
R1-U2,Ton_cmd3,1,logsout
R1-U2,Ton_cmd4,1,logsout
R1-U2,Ton_actual1,1,logsout
R1-U2,Ton_actual2,1,logsout
R1-U2,Ton_actual3,1,logsout
R1-U2,Ton_actual4,1,logsout
R1-U2,Ton_boost_state,1,logsout
R1-U2,Ton_boost_gain,1,logsout
R1-U2,Ton_boost_window,1,logsout
R1-U2,Ton_boost_decay_state,1,logsout
R1-U2,fallback_to_nominal_state,1,logsout
R1-U2,fast_req_state,1,logsout
R1-U2,fast_req_count,1,fast_request_count_or_active_edges
R1-U2,fast_req_reject_reason,1,logsout
R1-U2,current_limit_hit,1,logsout
R1-U2,phase_current_peak,1,R1_diagnostic
R1-U2,current_rise_target_state,1,logsout
R1-U2,late_recovery_guard_state,1,logsout
R1-U2,Vout_error,1,logsout
R1-U2,Vout_error_slope,1,logsout
R1-U2,settling_band_state,1,logsout
R1-U3,Vout,1,logsout
R1-U3,Iload,1,logsout
R1-U3,IL1,1,logsout
R1-U3,IL2,1,logsout
R1-U3,IL3,1,logsout
R1-U3,IL4,1,logsout
R1-U3,IL_sense1,1,logsout
R1-U3,IL_sense2,1,logsout
R1-U3,IL_sense3,1,logsout
R1-U3,IL_sense4,1,logsout
R1-U3,REQ1,1,logsout
R1-U3,REQ2,1,logsout
R1-U3,REQ3,1,logsout
R1-U3,REQ4,1,logsout
R1-U3,REQ_accept1,1,logsout
R1-U3,REQ_accept2,1,logsout
R1-U3,REQ_accept3,1,logsout
R1-U3,REQ_accept4,1,logsout
R1-U3,REQ_reject_reason,1,logsout
R1-U3,QH1,1,logsout
R1-U3,QH2,1,logsout
R1-U3,QH3,1,logsout
R1-U3,QH4,1,logsout
R1-U3,QL1,1,logsout
R1-U3,QL2,1,logsout
R1-U3,QL3,1,logsout
R1-U3,QL4,1,logsout
R1-U3,phase_idx,1,logsout
R1-U3,phase_order_error,1,logsout
R1-U3,Ton_nom,1,derived_from_Ton_cmd1_4
R1-U3,Ton_cmd1,1,logsout
R1-U3,Ton_cmd2,1,logsout
R1-U3,Ton_cmd3,1,logsout
R1-U3,Ton_cmd4,1,logsout
R1-U3,Ton_actual1,1,logsout
R1-U3,Ton_actual2,1,logsout
R1-U3,Ton_actual3,1,logsout
R1-U3,Ton_actual4,1,logsout
R1-U3,Ton_boost_state,1,logsout
R1-U3,Ton_boost_gain,1,logsout
R1-U3,Ton_boost_window,1,logsout
R1-U3,Ton_boost_decay_state,1,logsout
R1-U3,fallback_to_nominal_state,1,logsout
R1-U3,fast_req_state,1,logsout
R1-U3,fast_req_count,1,fast_request_count_or_active_edges
R1-U3,fast_req_reject_reason,1,logsout
R1-U3,current_limit_hit,1,logsout
R1-U3,phase_current_peak,1,R1_diagnostic
R1-U3,current_rise_target_state,1,logsout
R1-U3,late_recovery_guard_state,1,logsout
R1-U3,Vout_error,1,logsout
R1-U3,Vout_error_slope,1,logsout
R1-U3,settling_band_state,1,logsout
R1-U4,Vout,1,logsout
R1-U4,Iload,1,logsout
R1-U4,IL1,1,logsout
R1-U4,IL2,1,logsout
R1-U4,IL3,1,logsout
R1-U4,IL4,1,logsout
R1-U4,IL_sense1,1,logsout
R1-U4,IL_sense2,1,logsout
R1-U4,IL_sense3,1,logsout
R1-U4,IL_sense4,1,logsout
R1-U4,REQ1,1,logsout
R1-U4,REQ2,1,logsout
R1-U4,REQ3,1,logsout
R1-U4,REQ4,1,logsout
R1-U4,REQ_accept1,1,logsout
R1-U4,REQ_accept2,1,logsout
R1-U4,REQ_accept3,1,logsout
R1-U4,REQ_accept4,1,logsout
R1-U4,REQ_reject_reason,1,logsout
R1-U4,QH1,1,logsout
R1-U4,QH2,1,logsout
R1-U4,QH3,1,logsout
R1-U4,QH4,1,logsout
R1-U4,QL1,1,logsout
R1-U4,QL2,1,logsout
R1-U4,QL3,1,logsout
R1-U4,QL4,1,logsout
R1-U4,phase_idx,1,logsout
R1-U4,phase_order_error,1,logsout
R1-U4,Ton_nom,1,derived_from_Ton_cmd1_4
R1-U4,Ton_cmd1,1,logsout
R1-U4,Ton_cmd2,1,logsout
R1-U4,Ton_cmd3,1,logsout
R1-U4,Ton_cmd4,1,logsout
R1-U4,Ton_actual1,1,logsout
R1-U4,Ton_actual2,1,logsout
R1-U4,Ton_actual3,1,logsout
R1-U4,Ton_actual4,1,logsout
R1-U4,Ton_boost_state,1,logsout
R1-U4,Ton_boost_gain,1,logsout
R1-U4,Ton_boost_window,1,logsout
R1-U4,Ton_boost_decay_state,1,logsout
R1-U4,fallback_to_nominal_state,1,logsout
R1-U4,fast_req_state,1,logsout
R1-U4,fast_req_count,1,fast_request_count_or_active_edges
R1-U4,fast_req_reject_reason,1,logsout
R1-U4,current_limit_hit,1,logsout
R1-U4,phase_current_peak,1,R1_diagnostic
R1-U4,current_rise_target_state,1,logsout
R1-U4,late_recovery_guard_state,1,logsout
R1-U4,Vout_error,1,logsout
R1-U4,Vout_error_slope,1,logsout
R1-U4,settling_band_state,1,logsout
