time_after_eval_start_us,phase
0.416000000003514,3
0.898000000003514,4
1.49200000000349,1
1.97400000000349,2
2.45600000000349,3
2.93800000000349,4
3.42000000000349,1
3.90200000000349,2
4.38400000000349,3
4.86600000000349,4
5.4520000000035,1
5.9340000000035,2
6.4160000000035,3
6.8980000000035,4
7.41200000000351,1
7.89400000000351,2
8.45200000000352,3
8.93400000000352,4
9.41600000000352,1
9.89800000000352,2
10.4120000000035,3
10.8940000000035,4
11.4120000000035,1
11.8940000000035,2
12.4120000000035,3
12.8940000000035,4
13.4120000000035,1
13.8940000000035,2
14.4120000000035,3
14.8940000000035,4
15.3760000000035,1
15.8580000000035,2
16.4520000000035,3
16.9340000000035,4
17.4160000000035,1
17.8980000000035,2
18.3800000000035,3
18.8620000000035,4
19.3440000000035,1
19.8260000000035,2
20.4120000000035,3
20.8940000000035,4
21.3760000000035,1
21.8580000000035,2
22.3720000000035,3
22.8540000000035,4
23.4120000000035,1
23.8940000000035,2
24.3760000000035,3
24.8580000000035,4
25.3720000000001,1
25.8540000000001,2
26.4120000000035,3
26.8940000000035,4
27.3760000000035,1
27.8580000000035,2
28.3720000000035,3
28.8540000000035,4
29.3720000000035,1
29.8540000000035,2
30.4120000000035,3
30.8940000000035,4
31.3760000000035,1
31.8580000000035,2
32.3400000000035,3
32.8220000000035,4
33.3720000000035,1
33.8540000000035,2
34.3720000000035,3
34.8540000000035,4
35.3360000000001,1
35.8180000000001,2
36.4520000000035,3
36.9340000000035,4
37.4160000000035,1
37.8980000000035,2
38.3800000000001,3
38.8620000000001,4
39.3440000000001,1
39.8260000000001,2
40.332000000007,3
40.814000000007,4
41.4120000000069,1
41.8940000000069,2
42.3760000000069,3
42.8580000000069,4
43.3400000000069,1
43.8220000000069,2
44.4520000000001,3
44.9340000000001,4
45.4160000000001,1
45.8980000000001,2
46.3800000000001,3
46.8620000000001,4
47.3720000000001,1
47.8540000000001,2
48.492000000007,3
48.974000000007,4
49.456000000007,1
49.938000000007,2
50.420000000007,3
50.902000000007,4
51.384000000007,1
51.866000000007,2
52.348000000007,3
52.830000000007,4
53.3720000000069,1
53.8540000000069,2
54.4520000000001,3
54.9340000000001,4
55.4160000000001,1
55.8980000000001,2
56.3800000000001,3
56.8620000000001,4
57.492000000007,1
57.974000000007,2
58.456000000007,3
58.938000000007,4
59.420000000007,1
59.902000000007,2
60.384000000007,3
60.866000000007,4
61.4120000000001,1
61.8940000000001,2
62.492000000007,3
62.974000000007,4
63.456000000007,1
63.938000000007,2
64.420000000007,3
64.902000000007,4
65.384000000007,1
65.866000000007,2
66.3720000000001,3
66.8540000000001,4
67.532000000007,1
68.014000000007,2
68.496000000007,3
68.978000000007,4
69.460000000007,1
69.942000000007,2
70.424000000007,3
70.906000000007,4
71.388000000007,1
71.870000000007,2
72.352000000007,3
72.834000000007,4
73.372,1
73.854,2
74.5320000000001,3
75.0140000000001,4
75.4960000000001,1
75.9780000000001,2
76.4600000000001,3
76.9420000000001,4
77.4240000000001,1
77.9060000000001,2
78.3880000000001,3
78.8700000000001,4
79.5320000000069,1
80.0140000000069,2
80.4960000000069,3
80.9780000000069,4
81.4600000000069,1
81.9420000000069,2
82.4240000000069,3
82.9060000000069,4
83.4920000000069,1
83.9740000000069,2
84.4560000000069,3
84.938000000007,4
85.4520000000001,1
85.9340000000001,2
86.572000000007,3
87.054000000007,4
87.536000000007,1
88.018000000007,2
88.500000000007,3
88.982000000007,4
89.464000000007,1
89.946000000007,2
90.428000000007,3
90.910000000007,4
91.392000000007,1
91.874000000007,2
92.492000000007,3
92.974000000007,4
93.456000000007,1
93.938000000007,2
94.4520000000001,3
94.9340000000001,4
95.4920000000001,1
95.9740000000001,2
96.4560000000001,3
96.9380000000001,4
97.5720000000001,1
98.0540000000001,2
98.5360000000001,3
99.0180000000001,4
99.5000000000001,1
99.9820000000001,2
100.464,3
100.946,4
101.612,1
102.094,2
102.576,3
103.058,4
103.54,1
104.022,2
104.504,3
104.986,4
105.612,1
106.094,2
106.576,3
107.058,4
107.54,1
108.022,2
108.692,3
109.174,4
109.656,1
110.138,2
110.62,3
111.102,4
111.584,1
112.066,2
112.612000000007,3
113.094000000007,4
113.652000000007,1
114.134000000007,2
114.616000000007,3
115.098000000007,4
115.612,1
116.094,2
116.692,3
117.174,4
117.656,1
118.138,2
118.62,3
119.102,4
119.692000000007,1
120.174000000007,2
120.656000000007,3
121.138000000007,4
121.652,1
122.134,2
122.732,3
123.214,4
123.696,1
124.178,2
124.66,3
125.142,4
125.732000000007,1
126.214000000007,2
126.696000000007,3
127.178000000007,4
127.692000000007,1
128.174000000007,2
128.732000000007,3
129.214000000007,4
129.696000000007,1
130.178000000007,2
130.660000000007,3
131.142000000007,4
131.692,1
132.174,2
132.772,3
133.254,4
133.736,1
134.218,2
134.7,3
135.182,4
135.732,1
136.214,2
136.772,3
137.254,4
137.736,1
138.218,2
138.772000000007,3
139.254000000007,4
139.736000000007,1
140.218000000007,2
140.772,3
141.254,4
141.772,1
142.254,2
142.812,3
143.294,4
143.776,1
144.258,2
144.812000000007,3
145.294000000007,4
145.776000000007,1
146.258000000007,2
146.812,3
147.294,4
147.812,1
148.294,2
148.812000000007,3
