time_after_eval_start_us,phase
0.214000000000063,3
0.732000000003502,4
1.2140000000035,1
1.73200000000353,2
2.21400000000353,3
2.7320000000035,4
3.2140000000035,1
3.6960000000035,2
4.21200000000349,3
4.73200000000349,4
5.21400000000349,1
5.69600000000349,2
6.21200000000348,3
6.69400000000348,4
7.21200000000351,1
7.69400000000351,2
8.21200000000006,3
8.73200000000007,4
9.21400000000006,1
9.69600000000006,2
10.2120000000035,3
10.6940000000035,4
11.2120000000035,1
11.6940000000035,2
12.2120000000035,3
12.7320000000035,4
13.2140000000035,1
13.6960000000035,2
14.1780000000035,3
14.6920000000035,4
15.2120000000035,1
15.6940000000035,2
16.1760000000035,3
16.6920000000035,4
17.2120000000001,1
17.6940000000001,2
18.2120000000035,3
18.6940000000035,4
19.1760000000035,1
19.6920000000035,2
20.2120000000035,3
20.6940000000035,4
21.1760000000035,1
21.6920000000035,2
22.1740000000035,3
22.6560000000035,4
23.1720000000001,1
23.7320000000035,2
24.2140000000035,3
24.6960000000035,4
25.1780000000035,1
25.6600000000035,2
26.1420000000035,3
26.6240000000035,4
27.1720000000035,1
27.6920000000035,2
28.1740000000035,3
28.6560000000035,4
29.1380000000035,1
29.6920000000035,2
30.1740000000035,3
30.6560000000035,4
31.1380000000035,1
31.6520000000001,2
32.1720000000035,3
32.6540000000035,4
33.1360000000035,1
33.6520000000035,2
34.1720000000001,3
34.6540000000001,4
35.1360000000001,1
35.6920000000035,2
36.1740000000035,3
36.6560000000035,4
37.1380000000035,1
37.6200000000035,2
38.1720000000035,3
38.6540000000001,4
39.1360000000001,1
39.692000000007,2
40.174000000007,3
40.656000000007,4
41.138000000007,1
41.620000000007,2
42.1320000000001,3
42.6920000000069,4
43.1740000000069,1
43.6560000000069,2
44.1380000000069,3
44.6200000000069,4
45.132000000007,1
45.6520000000001,2
46.172000000007,3
46.654000000007,4
47.136000000007,1
47.618000000007,2
48.1720000000001,3
48.6540000000001,4
49.1360000000001,1
49.6520000000001,2
50.172000000007,3
50.654000000007,4
51.136000000007,1
51.652000000007,2
52.1720000000001,3
52.692000000007,4
53.174000000007,1
53.656000000007,2
54.138000000007,3
54.6520000000001,4
55.172000000007,1
55.654000000007,2
56.136000000007,3
56.652000000007,4
57.134000000007,1
57.616000000007,2
58.1720000000069,3
58.6540000000069,4
59.1360000000069,1
59.6180000000069,2
60.1320000000001,3
60.6920000000069,4
61.1740000000069,1
61.6560000000069,2
62.1380000000069,3
62.6200000000069,4
63.1020000000069,1
63.6120000000069,2
64.172000000007,3
64.654000000007,4
65.136000000007,1
65.618000000007,2
66.100000000007,3
66.6520000000001,4
67.1340000000001,1
67.6160000000001,2
68.132,3
68.6920000000001,4
69.1740000000001,1
69.6560000000001,2
70.1380000000001,3
70.652,4
71.2120000000001,1
71.6940000000001,2
72.1760000000001,3
72.6580000000001,4
73.172000000007,1
73.654000000007,2
74.1720000000001,3
74.7320000000001,4
75.2140000000001,1
75.6960000000001,2
76.1780000000001,3
76.6920000000001,4
77.2120000000069,1
77.6940000000069,2
78.1760000000069,3
78.6920000000069,4
79.252000000007,1
79.734000000007,2
80.216000000007,3
80.698000000007,4
81.180000000007,1
81.662000000007,2
82.144000000007,3
82.6920000000001,4
83.212,1
83.694,2
84.176,3
84.692000000007,4
85.2520000000001,1
85.7340000000001,2
86.2160000000001,3
86.6980000000001,4
87.212000000007,1
87.694000000007,2
88.2120000000001,3
88.7320000000069,4
89.2140000000069,1
89.6960000000069,2
90.2120000000069,3
90.7320000000001,4
91.2140000000001,1
91.7320000000001,2
92.2140000000001,3
92.7720000000001,4
93.2540000000001,1
93.7360000000001,2
94.2180000000001,3
94.772000000007,4
95.254000000007,1
95.736000000007,2
96.218000000007,3
96.7320000000001,4
97.292000000007,1
97.774000000007,2
98.2560000000069,3
98.7380000000069,4
99.2200000000069,1
99.7020000000069,2
100.212000000007,3
100.772,4
101.254,1
101.736,2
102.218,3
102.772000000007,4
103.254000000007,1
103.736000000007,2
104.252,3
104.772,4
105.292000000007,1
105.774000000007,2
106.256000000007,3
106.738000000007,4
107.252,1
107.734,2
108.252,3
108.772000000007,4
109.254000000007,1
109.772,2
110.254,3
110.812,4
111.294,1
111.776,2
112.258,3
112.812000000007,4
113.294000000007,1
113.776000000007,2
114.258000000007,3
114.772,4
115.292000000007,1
115.774000000007,2
116.256000000007,3
116.812,4
117.294,1
117.776,2
118.292,3
118.812000000007,4
119.294000000007,1
119.776000000007,2
120.258000000007,3
120.812,4
121.332000000007,1
121.814000000007,2
122.296000000007,3
122.778000000007,4
123.292000000007,1
123.774000000007,2
124.256000000007,3
124.772,4
125.372000000007,1
125.854000000007,2
126.336000000007,3
126.818000000007,4
