time_after_eval_start_us,phase
0.0520000000035293,3
0.534000000003529,4
1.01600000000353,1
1.49800000000353,2
1.98000000000353,3
2.49200000000351,4
3.01200000000351,1
3.49400000000351,2
4.01200000000348,3
4.49400000000348,4
4.97600000000348,1
5.49200000000353,2
6.01200000000006,3
6.49400000000006,4
7.0120000000035,1
7.4940000000035,2
7.9760000000035,3
8.53200000000353,4
9.01400000000353,1
9.49600000000353,2
9.97800000000353,3
10.4600000000035,4
10.9720000000035,1
11.4920000000035,2
11.9740000000035,3
12.4920000000035,4
12.9740000000035,1
13.4560000000035,2
13.9720000000035,3
14.4920000000001,4
14.9740000000001,1
15.4920000000035,2
15.9740000000035,3
16.4560000000035,4
17.0120000000035,1
17.4940000000035,2
17.9760000000035,3
18.4580000000035,4
18.9400000000035,1
19.4520000000035,2
19.9720000000035,3
20.4540000000035,4
20.9720000000035,1
21.4540000000035,2
21.9360000000035,3
22.4520000000035,4
22.9720000000001,1
23.4540000000001,2
23.9720000000035,3
24.4540000000035,4
24.9360000000035,1
25.4920000000035,2
25.9740000000035,3
26.4560000000035,4
26.9380000000035,1
27.4200000000035,2
27.9320000000035,3
28.4520000000035,4
28.9340000000035,1
29.4520000000035,2
29.9340000000035,3
30.4160000000001,4
30.9720000000035,1
31.4540000000035,2
31.9360000000035,3
32.4180000000035,4
32.9320000000035,1
33.4140000000035,2
33.9320000000035,3
34.4140000000035,4
34.9320000000035,1
35.4140000000035,2
35.9320000000035,3
36.4140000000035,4
36.9320000000035,1
37.4140000000035,2
37.9320000000035,3
38.4140000000001,4
38.9320000000001,1
39.4140000000001,2
39.932000000007,3
40.414000000007,4
40.932000000007,1
41.414000000007,2
41.9320000000001,3
42.4140000000001,4
42.9720000000001,1
43.4540000000001,2
43.9360000000001,3
44.4180000000001,4
44.9720000000069,1
45.4540000000069,2
45.9360000000069,3
46.4180000000069,4
46.9320000000001,1
47.4920000000069,2
47.9740000000069,3
48.4560000000069,4
48.9380000000069,1
49.4200000000069,2
49.9020000000069,3
50.4120000000069,4
50.972,1
51.454,2
51.936,3
52.418,4
52.9720000000001,1
53.492000000007,2
53.974000000007,3
54.456000000007,4
54.938000000007,1
55.4520000000069,2
55.9340000000069,3
56.4160000000069,4
56.9320000000001,1
57.5320000000069,2
58.0140000000069,3
58.4960000000069,4
58.9780000000069,1
59.4600000000069,2
59.9420000000069,3
60.4240000000069,4
60.9060000000069,1
61.3880000000069,2
61.8700000000069,3
62.4120000000001,4
63.0120000000001,1
63.4940000000001,2
63.9760000000001,3
64.4580000000001,4
64.9400000000001,1
65.452000000007,2
65.934000000007,3
66.452,4
67.0120000000001,1
