time_after_eval_start_us,phase
0.198000000003497,2
0.680000000003497,3
1.1620000000035,4
1.6440000000035,1
2.1260000000035,2
2.6080000000035,3
3.0900000000035,4
3.5720000000035,1
4.0540000000035,2
4.5360000000035,3
5.01800000000349,4
5.50000000000349,1
5.98200000000349,2
6.46400000000349,3
6.94600000000349,4
7.42800000000349,1
7.91000000000349,2
8.39200000000349,3
8.87400000000349,4
9.35600000000349,1
9.83800000000349,2
10.3200000000035,3
10.8020000000035,4
11.2840000000035,1
11.7660000000035,2
12.2480000000035,3
12.7300000000035,4
13.2120000000035,1
13.6940000000035,2
14.1760000000035,3
14.6580000000035,4
15.1400000000035,1
15.6220000000035,2
16.1040000000035,3
16.5860000000035,4
17.0680000000035,1
17.5500000000035,2
18.0320000000035,3
18.5140000000035,4
18.9960000000035,1
19.4780000000035,2
19.9600000000035,3
20.4420000000035,4
20.9240000000035,1
21.4060000000035,2
21.8880000000035,3
22.3700000000035,4
22.8520000000035,1
23.3340000000035,2
23.8160000000035,3
24.2980000000035,4
24.7800000000035,1
25.2620000000035,2
25.7440000000035,3
26.2260000000035,4
26.7080000000035,1
27.1900000000035,2
27.6720000000035,3
28.1540000000035,4
28.6360000000035,1
29.1180000000001,2
29.6000000000001,3
30.0820000000001,4
30.5640000000001,1
31.0460000000001,2
31.5280000000001,3
32.0100000000001,4
32.4920000000001,1
32.9740000000001,2
33.4560000000001,3
33.9380000000001,4
34.4200000000001,1
34.9020000000001,2
35.3840000000001,3
35.8660000000001,4
36.3480000000001,1
36.8300000000001,2
37.3120000000001,3
37.7940000000001,4
38.2760000000001,1
38.7580000000001,2
39.2400000000001,3
39.7220000000001,4
40.2040000000001,1
40.6860000000001,2
41.1680000000001,3
41.6500000000001,4
42.1320000000001,1
42.6140000000001,2
43.0960000000001,3
43.5780000000001,4
44.0600000000001,1
44.5420000000001,2
45.0240000000001,3
45.5060000000001,4
45.9880000000001,1
46.4700000000001,2
46.9520000000001,3
47.4340000000001,4
47.9160000000001,1
48.3980000000001,2
48.8800000000001,3
49.3620000000001,4
49.8440000000001,1
50.3260000000001,2
50.8080000000001,3
51.2900000000001,4
51.7720000000001,1
52.2540000000001,2
52.7360000000001,3
53.2180000000001,4
53.7000000000001,1
54.1820000000001,2
54.6640000000001,3
55.1460000000001,4
55.6280000000001,1
56.1100000000001,2
56.5920000000001,3
57.0740000000001,4
57.5560000000001,1
58.0380000000001,2
58.5200000000001,3
59.0020000000001,4
59.4840000000001,1
59.9660000000001,2
60.4480000000001,3
60.9300000000001,4
61.4120000000001,1
61.8940000000001,2
62.3760000000001,3
62.8580000000001,4
63.3400000000001,1
63.8220000000001,2
64.3040000000001,3
64.7860000000001,4
65.2680000000001,1
65.7500000000001,2
66.2320000000001,3
66.7140000000001,4
67.1960000000001,1
67.6780000000001,2
68.1600000000001,3
68.6420000000001,4
69.1240000000001,1
69.6060000000001,2
70.0880000000001,3
70.5700000000001,4
71.052,1
71.534,2
72.016,3
72.498,4
72.98,1
73.462,2
73.944,3
74.426,4
74.908,1
75.39,2
75.872,3
76.354,4
76.8360000000001,1
77.3180000000001,2
77.8000000000001,3
78.2820000000001,4
78.7640000000001,1
79.2460000000001,2
79.7280000000001,3
80.2100000000001,4
80.692,1
81.174,2
81.656,3
82.138,4
82.62,1
83.102,2
83.584,3
84.066,4
84.548,1
85.03,2
85.512,3
85.994,4
86.476,1
86.958,2
87.44,3
87.922,4
88.404,1
88.886,2
89.368,3
89.85,4
90.332,1
90.814,2
91.296,3
91.778,4
92.26,1
92.742,2
93.224,3
93.706000000007,4
94.188000000007,1
94.670000000007,2
95.152000000007,3
95.634000000007,4
96.116000000007,1
96.598000000007,2
97.080000000007,3
97.562000000007,4
98.044000000007,1
98.526000000007,2
99.008000000007,3
99.490000000007,4
99.972000000007,1
100.454000000007,2
100.936000000007,3
101.418000000007,4
101.900000000007,1
102.382000000007,2
102.864000000007,3
103.346000000007,4
103.828000000007,1
104.310000000007,2
104.792000000007,3
105.274000000007,4
105.756000000007,1
106.238000000007,2
106.720000000007,3
107.202000000007,4
107.684000000007,1
108.166000000007,2
108.648000000007,3
109.130000000007,4
109.612000000007,1
110.094000000007,2
110.576000000007,3
111.058000000007,4
111.540000000007,1
112.022000000007,2
112.504000000007,3
112.986000000007,4
113.468000000007,1
113.950000000007,2
114.432000000007,3
114.914000000007,4
115.396000000007,1
115.878000000007,2
116.360000000007,3
116.842000000007,4
117.324000000007,1
117.806000000007,2
118.288000000007,3
118.770000000007,4
119.252000000007,1
119.734000000007,2
120.216000000007,3
120.698000000007,4
121.180000000007,1
121.662000000007,2
122.144000000007,3
122.626000000007,4
123.108000000007,1
123.590000000007,2
124.072000000007,3
124.554000000007,4
125.036000000007,1
125.518000000007,2
126.000000000007,3
126.482000000007,4
126.964000000007,1
127.446000000007,2
127.928000000007,3
128.410000000007,4
128.892000000007,1
129.374000000007,2
129.856000000007,3
130.338000000007,4
130.820000000007,1
131.302000000007,2
131.784000000007,3
132.266000000007,4
132.748000000007,1
133.230000000007,2
133.712000000007,3
134.194000000007,4
134.676000000007,1
135.158000000007,2
135.640000000007,3
136.122000000007,4
136.604000000007,1
137.086000000007,2
137.568000000007,3
138.050000000007,4
138.532000000007,1
139.014000000007,2
139.496000000007,3
139.978000000007,4
140.460000000007,1
140.942000000007,2
141.424000000007,3
141.906000000007,4
142.388000000007,1
142.870000000007,2
143.352000000007,3
143.834000000007,4
144.316000000007,1
144.798000000007,2
145.280000000007,3
145.762000000007,4
146.244000000007,1
146.726000000007,2
147.208000000007,3
147.690000000007,4
148.172000000007,1
148.654000000007,2
149.136000000007,3
149.618000000007,4
150.100000000007,1
150.582000000007,2
151.064000000007,3
151.546000000007,4
152.028000000007,1
152.510000000007,2
152.992000000007,3
153.474000000007,4
153.956000000007,1
154.438000000007,2
154.920000000007,3
155.402000000007,4
155.884000000007,1
156.366000000007,2
156.848000000007,3
157.330000000007,4
157.812000000007,1
158.294000000007,2
158.776000000007,3
159.258000000007,4
159.740000000007,1
160.222000000007,2
160.704000000007,3
161.186000000007,4
161.668000000007,1
162.150000000007,2
162.632000000007,3
163.114000000007,4
163.596000000007,1
164.078000000007,2
164.560000000007,3
165.042000000007,4
165.524000000007,1
166.006000000007,2
166.488000000007,3
166.970000000007,4
167.452000000007,1
167.934000000007,2
168.416000000007,3
168.898000000007,4
169.380000000007,1
169.862000000007,2
