event_index,time_s,time_after_step_us,logical_slot,physical_phase,active_phase_set,REQ_in,REQ_accept,REQ_reject_reason,phase_idx_before,phase_idx_after,window
1,0.000450186,0.186000000000055,2,3,1010,1,1,0,0,1,pre_add
2,0.000450668,0.668000000000055,1,1,1010,1,1,0,1,2,pre_add
3,0.00045115,1.15000000000005,4,4,1111,1,1,0,2,3,during_add
4,0.000451632,1.63200000000005,1,1,1111,1,1,0,3,0,during_add
5,0.000452114,2.11400000000005,2,2,1111,1,1,0,0,1,during_add
6,0.000452596,2.59600000000005,3,3,1111,1,1,0,1,2,during_add
7,0.000453078,3.07800000000005,4,4,1111,1,1,0,2,3,post_add
8,0.00045356,3.56000000000005,1,1,1111,1,1,0,3,0,post_add
9,0.000454042,4.04200000000005,2,2,1111,1,1,0,0,1,post_add
10,0.000454524,4.52400000000005,3,3,1111,1,1,0,1,2,post_add
11,0.000455006,5.00600000000005,4,4,1111,1,1,0,2,3,post_add
12,0.000455488,5.48800000000005,1,1,1111,1,1,0,3,0,post_add
13,0.00045597,5.97000000000005,2,2,1111,1,1,0,0,1,post_add
14,0.000456452,6.45200000000005,3,3,1111,1,1,0,1,2,post_add
15,0.000456934,6.93400000000005,4,4,1111,1,1,0,2,3,post_add
16,0.000457416,7.41600000000005,1,1,1111,1,1,0,3,0,post_add
17,0.000457898,7.89800000000005,2,2,1111,1,1,0,0,1,post_add
18,0.00045838,8.38000000000005,3,3,1111,1,1,0,1,2,post_add
19,0.000458862,8.86200000000005,4,4,1111,1,1,0,2,3,post_add
20,0.000459344,9.34400000000005,1,1,1111,1,1,0,3,0,post_add
21,0.000459826,9.82600000000005,2,2,1111,1,1,0,0,1,post_add
22,0.000460308,10.3080000000001,3,3,1111,1,1,0,1,2,post_add
23,0.00046079,10.7900000000001,4,4,1111,1,1,0,2,3,post_add
24,0.000461272,11.272,1,1,1111,1,1,0,3,0,post_add
25,0.000461754,11.7540000000001,2,2,1111,1,1,0,0,1,post_add
