time_after_step_us,Vout,Iload,N_active,IL1,QH1,REQ_accept1,IL2,QH2,REQ_accept2,IL3,QH3,REQ_accept3,IL4,QH4,REQ_accept4,phase_add_request,phase_add_accept,phase_add_reject,new_phase_ramp_state,order_relock_state,a_S_enable_after_add,a_S_mode,post_add_Ton_recovery_active
-450,0.998197245192011,20,2,3.5911443204724e-08,0,0,3.59114432046961e-08,0,0,3.59114432046817e-08,0,0,3.59114432046403e-08,0,0,0,0,0,0,0,0,0,0
-449.99,0.998169763573482,20,2,0.000100036276715348,0,0,0.000100036276717768,0,0,0.000100036276715753,0,0,0.000100036276717068,0,0,0,0,0,0,0,0,0,0
-449.97,0.9980800501491,20,2,-0.0946717493330563,0,0,-0.0946717493330574,0,0,-0.0946717493330558,0,0,-0.0946717493330548,0,0,0,0,0,0,0,0,0,0
-449.948,0.997978175314837,20,2,-0.204274073535372,0,0,-0.204274073535374,0,0,-0.204274073535372,0,0,-0.204274073535373,0,0,0,0,0,0,0,0,0,0
-449.928,0.997884454623311,20,2,-0.303787756935496,0,0,-0.303787756935499,0,0,-0.303787756935497,0,0,-0.3037877569355,0,0,0,0,0,0,0,0,0,0
-449.906,0.99778014553828,20,2,-0.4131155674348,0,0,-0.413115567434806,0,0,-0.413115567434803,0,0,-0.41311556743481,0,0,0,0,0,0,0,0,0,0
-449.886,0.997684214758479,20,2,-0.512379748918514,0,0,-0.512379748918523,0,0,-0.512379748918518,0,0,-0.512379748918531,0,0,0,0,0,0,0,0,0,0
-449.864,0.997577477729192,20,2,-0.621433169168651,0,0,-0.621433169168664,0,0,-0.621433169168658,0,0,-0.621433169168678,0,0,0,0,0,0,0,0,0,0
-449.844,0.99747934259284,20,2,-0.720447961438736,0,0,-0.720447961438754,0,0,-0.720447961438746,0,0,-0.720447961438774,0,0,0,0,0,0,0,0,0,0
-449.822,0.997370183922568,20,2,-0.829227115931196,0,0,-0.829227115931219,0,0,-0.829227115931209,0,0,-0.829227115931247,0,0,0,0,0,0,0,0,0,0
-449.802,0.997269850158428,20,2,-0.927992632632351,0,0,-0.92799263263238,0,0,-0.927992632632368,0,0,-0.927992632632414,0,0,0,0,0,0,0,0,0,0
-449.78,0.997158276147178,20,2,-1.0364976468932,0,0,-1.03649764689323,0,0,-1.03649764689322,0,0,-1.03649764689328,0,0,0,0,0,0,0,0,0,0
-449.76,0.997055749481037,20,2,-1.13501400260924,0,0,-1.13501400260929,0,0,-1.13501400260927,0,0,-1.13501400260934,0,0,0,0,0,0,0,0,0,0
-449.738,0.996941766425526,20,2,-1.24324500319604,0,0,-1.24324500319609,0,0,-1.24324500319607,0,0,-1.24324500319615,0,0,0,0,0,0,0,0,0,0
-449.718,0.996837052580171,20,2,-1.34151231344712,0,0,-1.34151231344718,0,0,-1.34151231344716,0,0,-1.34151231344726,0,0,0,0,0,0,0,0,0,0
-449.696,0.996720666773807,20,2,-1.44946942794586,0,0,-1.44946942794593,0,0,-1.44946942794591,0,0,-1.44946942794602,0,0,0,0,0,0,0,0,0,0
-449.676,0.996613771469005,20,2,-1.54748780918568,0,0,-1.54748780918577,0,0,-1.54748780918574,0,0,-1.54748780918587,0,0,0,0,0,0,0,0,0,0
-449.654,0.99649498920186,20,2,-1.65517116620772,0,0,-1.65517116620781,0,0,-1.65517116620778,0,0,-1.65517116620793,0,0,0,0,0,0,0,0,0,0
-449.634,0.996385918154336,20,2,-1.75294073582072,0,0,-1.75294073582082,0,0,-1.75294073582079,0,0,-1.75294073582096,0,0,0,0,0,0,0,0,0,0
-449.612,0.996264745713129,20,2,-1.86035046499969,0,0,-1.8603504649998,0,0,-1.86035046499976,0,0,-1.86035046499995,0,0,0,0,0,0,0,0,0,0
-449.592,0.996153504636549,20,2,-1.95787134129826,0,0,-1.95787134129839,0,0,-1.95787134129835,0,0,-1.95787134129856,0,0,0,0,0,0,0,0,0,0
-449.57,0.996029948304619,20,2,-2.06500757328703,0,0,-2.06500757328717,0,0,-2.06500757328712,0,0,-2.06500757328736,0,0,0,0,0,0,0,0,0,0
-449.55,0.995916542909566,20,2,-2.16227987550875,0,0,-2.16227987550891,0,0,-2.16227987550886,0,0,-2.16227987550912,0,0,0,0,0,0,0,0,0,0
-449.528,0.99579060896685,20,2,-2.26914274197634,0,0,-2.26914274197651,0,0,-2.26914274197645,0,0,-2.26914274197674,0,0,0,0,0,0,0,0,0,0
-449.51,0.995725314681412,20,2,-1.92923367097569,0,0,-2.35646994962812,0,0,-2.35646994962806,0,0,-2.35646994962837,0,0,0,0,0,0,0,0,0,0
-449.49,0.995719810643717,20,2,-0.824543095397218,1,0,-2.45339648219164,0,0,-2.45339648219157,0,0,-2.4533964821919,0,0,0,0,0,0,0,0,0,0
-449.47,0.995716212711508,20,2,0.276183264220849,1,0,-2.5502159898987,0,0,-2.55021598989863,0,0,-2.55021598989899,0,0,0,0,0,0,0,0,0,0
-449.448,0.995714733223735,20,2,1.48558855431792,1,0,-2.65659452184077,0,0,-2.65659452184069,0,0,-2.65659452184109,0,0,0,0,0,0,0,0,0,0
-449.428,0.995715643886183,20,2,2.58377877946458,1,0,-2.75319061952922,0,0,-2.75319061952913,0,0,-2.75319061952955,0,0,0,0,0,0,0,0,0,0
-449.406,0.995719123825354,20,2,3.79039335740504,1,0,-2.85932391087889,0,0,-2.8593239108788,0,0,-2.85932391087925,0,0,0,0,0,0,0,0,0,0
-449.386,0.995724537678181,20,2,4.8860490272302,1,0,-2.95569779278362,0,0,-2.95569779278352,0,0,-2.95569779278401,0,0,0,0,0,0,0,0,0,0
-449.364,0.995732965210299,20,2,6.08987829308309,1,0,-3.06158744842884,0,0,-3.06158744842874,0,0,-3.06158744842926,0,0,0,0,0,0,0,0,0,0
-449.344,0.995742871497221,20,2,7.18300431220245,1,0,-3.15774057072586,0,0,-3.15774057072575,0,0,-3.1577405707263,0,0,0,0,0,0,0,0,0,0
-449.322,0.995756234792469,20,2,8.3840536560589,1,0,-3.26338818936973,0,0,-3.26338818936961,0,0,-3.2633881893702,0,0,0,0,0,0,0,0,0,0
-449.308,0.995702560453071,20,2,8.44784646793311,0,0,-3.33055043851126,0,0,-3.33055043851113,0,0,-3.33055043851175,0,0,0,0,0,0,0,0,0,0
-449.288,0.995606800705076,20,2,8.33696460821425,0,0,-3.42639956087351,0,0,-3.42639956087337,0,0,-3.42639956087403,0,0,0,0,0,0,0,0,0,0
-449.266,0.995500461325526,20,2,8.21744732153609,0,0,-3.53170079399558,0,0,-3.53170079399544,0,0,-3.53170079399613,0,0,0,0,0,0,0,0,0,0
-449.246,0.99540268967313,20,2,8.10893075338002,0,0,-3.62730848265494,0,0,-3.62730848265479,0,0,-3.62730848265553,0,0,0,0,0,0,0,0,0,0
-449.224,0.99529393301434,20,2,7.98971154432157,0,0,-3.73234419143621,0,0,-3.73234419143605,0,0,-3.73234419143683,0,0,0,0,0,0,0,0,0,0
-449.204,0.995193966693141,20,2,7.88146587375921,0,0,-3.82771054251178,0,0,-3.82771054251161,0,0,-3.82771054251243,0,0,0,0,0,0,0,0,0,0
-449.182,0.995082799041396,20,2,7.76254456155788,0,0,-3.9324808332224,0,0,-3.93248083322223,0,0,-3.93248083322309,0,0,0,0,0,0,0,0,0,0
-449.162,0.994980643764713,20,2,7.65456962384947,0,0,-4.02760594381152,0,0,-4.02760594381134,0,0,-4.02760594381225,0,0,0,0,0,0,0,0,0,0
-449.14,0.994867071403025,20,2,7.53594602684112,0,0,-4.13211092379474,0,0,-4.13211092379454,0,0,-4.1321109237955,0,0,0,0,0,0,0,0,0,0
-449.12,0.994762732881192,20,2,7.42824165642859,0,0,-4.22699489196884,0,0,-4.22699489196863,0,0,-4.22699489196964,0,0,0,0,0,0,0,0,0,0
-449.098,0.994646762089278,20,2,7.30991559205029,0,0,-4.33123466963775,0,0,-4.33123466963753,0,0,-4.33123466963859,0,0,0,0,0,0,0,0,0,0
-449.078,0.994540246029623,20,2,7.20248162255975,0,0,-4.42587759443947,0,0,-4.42587759443924,0,0,-4.42587759444034,0,0,0,0,0,0,0,0,0,0
-449.056,0.994421883083881,20,2,7.08445290735256,0,0,-4.52985227927392,0,0,-4.52985227927369,0,0,-4.52985227927484,0,0,0,0,0,0,0,0,0,0
-449.038,0.99432411045046,20,2,6.98799975647512,0,0,-4.61481922442636,0,0,-4.61481922442612,0,1,-4.61481922442732,0,0,0,0,0,0,0,0,0,0
-449.018,0.994309423944863,20,2,6.8809483055579,0,0,-4.70912152307099,0,0,-3.6681600980826,1,0,-4.70912152307198,0,0,0,0,0,0,0,0,0,0
-448.998,0.994311126142602,20,2,6.77401384900885,0,0,-4.80332066827673,0,0,-2.56416653540483,1,0,-4.80332066827776,0,0,0,0,0,0,0,0,0,0
-448.976,0.994315477634971,20,2,6.65652127653665,0,0,-4.90682044685246,0,0,-1.35117448540366,1,0,-4.90682044685354,0,0,0,0,0,0,0,0,0,0
-448.956,0.994321684595657,20,2,6.54983250179584,0,0,-5.00080307303994,0,0,-0.249726744343429,1,0,-5.00080307304106,0,0,0,0,0,0,0,0,0,0
-448.934,0.994330990721571,20,2,6.4326096381693,0,0,-5.10406521970705,0,0,0.960464169546448,1,0,-5.10406521970821,0,0,0,0,0,0,0,0,0,0
-448.914,0.99434169154933,20,2,6.32616503425215,0,0,-5.19783277104343,0,0,2.05936952278238,1,0,-5.19783277104464,0,0,0,0,0,0,0,0,0,0
-448.892,0.994355929588799,20,2,6.2092096401458,0,0,-5.30085938247673,0,0,3.26676870407345,1,0,-5.30085938247799,0,0,0,0,0,0,0,0,0,0
-448.872,0.994371113458504,20,2,6.10300770354495,0,0,-5.39441329587857,0,0,4.36313580050056,1,0,-5.39441329587987,0,0,0,0,0,0,0,0,0,0
-448.85,0.994390276927275,20,2,5.98631841846317,0,0,-5.49720569402392,0,0,5.56774560509375,1,0,-5.49720569402528,0,0,0,0,0,0,0,0,0,0
-448.836,0.994395283879046,20,2,5.91213420516005,0,0,-5.56255515317252,0,0,6.23891965327605,0,0,-5.56255515317391,0,0,0,0,0,0,0,0,0,0
-448.816,0.994306950534997,20,2,5.80626003104989,0,0,-5.65581994090138,0,0,6.13644529434968,0,0,-5.65581994090283,0,0,0,0,0,0,0,0,0,0
-448.796,0.994217208898586,20,2,5.70051081008699,0,0,-5.74897349908077,0,0,6.03033339584334,0,0,-5.74897349908226,0,0,0,0,0,0,0,0,0,0
-448.774,0.994117276236045,20,2,5.58433124580671,0,0,-5.85131370692035,0,0,5.91375534636263,0,0,-5.85131370692191,0,0,0,0,0,0,0,0,0,0
-448.754,0.994025323528148,20,2,5.47884486034588,0,0,-5.94423327265087,0,0,5.80790711942425,0,0,-5.94423327265248,0,0,0,0,0,0,0,0,0,0
-448.732,0.993922961829137,20,2,5.36295433674301,0,0,-6.0463161308483,0,0,5.69161902923278,0,0,-6.04631613084997,0,0,0,0,0,0,0,0,0,0
-448.712,0.993828803762071,20,2,5.25773064407041,0,0,-6.13900178083895,0,0,5.58603432922117,0,0,-6.13900178084067,0,0,0,0,0,0,0,0,0,0
-448.69,0.993724019308546,20,2,5.14212900368151,0,0,-6.240827374336,0,0,5.47003603873785,0,0,-6.24082737433778,0,0,0,0,0,0,0,0,0,0
-448.67,0.993627661591726,20,2,5.0371678602144,0,0,-6.33327918631665,0,0,5.36471472014736,0,0,-6.33327918631849,0,0,0,0,0,0,0,0,0,0
-448.648,0.993520460662442,20,2,4.92185494462162,0,0,-6.43484760117648,0,0,5.24900606884159,0,0,-6.43484760117838,0,0,0,0,0,0,0,0,0,0
-448.626,0.993411996464865,20,2,4.80669320228379,0,0,-6.53628133813953,0,0,5.13344906891093,0,0,-6.53628133814149,0,0,0,0,0,0,0,0,0,0
-448.606,0.993312297872847,20,2,4.70213185574499,0,0,-6.62837697729882,0,0,5.02852881169932,0,0,-6.62837697730084,0,0,0,0,0,0,0,0,0,0
-448.584,0.993201426760925,20,2,4.58725859497605,0,0,-6.72955366891739,0,0,4.9132612045089,0,0,-6.72955366891947,0,0,0,0,0,0,0,0,0,0
-448.564,0.993099542915595,20,2,4.48295943142101,0,0,-6.82141567076191,0,0,4.80860395766331,0,0,-6.82141567076405,0,0,0,0,0,0,0,0,0,0
-448.544,0.992994844980015,20,2,4.35922635367675,0,0,-6.91316612586235,0,0,4.70407225596165,0,0,-6.91316612586454,0,0,0,0,0,0,0,0,0,0
-448.526,0.992994040619005,20,2,5.28295070717523,1,0,-6.99565025717444,0,0,4.61009693235747,0,0,-6.99565025717669,0,0,0,0,0,0,0,0,0,0
-448.504,0.993002236284918,20,2,6.48660019824959,1,0,-7.09635434078097,0,0,4.49536334249846,0,0,-7.09635434078328,0,0,0,0,0,0,0,0,0,0
-448.484,0.993011935196448,20,2,7.57956299635224,1,0,-7.18779872649261,0,0,4.39117947449482,0,0,-7.18779872649498,0,0,0,0,0,0,0,0,0,0
-448.462,0.993025074127438,20,2,8.78043302807892,1,0,-7.28827269009616,0,0,4.27670813738861,0,0,-7.2882726900986,0,0,0,0,0,0,0,0,0,0
-448.442,0.993039261532321,20,2,9.87087149041975,1,0,-7.3795085886048,0,0,4.17276193470584,0,0,-7.37950858860731,0,0,0,0,0,0,0,0,0,0
-448.42,0.993057331884693,20,2,11.0689674402949,1,0,-7.47975399881399,0,0,4.0585512101458,0,0,-7.47975399881656,0,0,0,0,0,0,0,0,0,0
-448.4,0.993075997017875,20,2,12.1568864509934,1,0,-7.57078283153548,0,0,3.95484118453642,0,0,-7.57078283153812,0,0,0,0,0,0,0,0,0,0
-448.378,0.993098986952218,20,2,13.3522136865894,1,0,-7.67080124886035,0,0,3.84088943858085,0,0,-7.67080124886306,0,0,0,0,0,0,0,0,0,0
-448.358,0.993122119052565,20,2,14.4376181207534,1,0,-7.76162443167321,0,0,3.73741410748585,0,0,-7.76162443167599,0,0,0,0,0,0,0,0,0,0
-448.344,0.993073473997119,20,2,14.4685599796845,0,0,-7.82514027270877,0,0,3.66505004792052,0,0,-7.82514027271159,0,0,0,0,0,0,0,0,0,0
-448.324,0.992988362310198,20,2,14.3498380081096,0,0,-7.91578582597095,0,0,3.56177580987266,0,0,-7.91578582597385,0,0,0,0,0,0,0,0,0,0
-448.302,0.992893872597271,20,2,14.2233432879586,0,0,-8.01537098438394,0,0,3.44831501557314,0,0,-8.01537098438691,0,0,0,0,0,0,0,0,0,0
-448.282,0.992806863558641,20,2,14.1084897840638,0,0,-8.1057893699135,0,0,3.34529686963695,0,0,-8.10578936991653,0,0,0,0,0,0,0,0,0,0
-448.26,0.992709934981625,20,2,13.9823067430318,0,0,-8.20512467617273,0,0,3.23211770787391,0,0,-8.20512467617585,0,0,0,0,0,0,0,0,0,0
-448.24,0.992620711648237,20,2,13.8677364895288,0,0,-8.29531595305544,0,0,3.12935552875713,0,0,-8.29531595305863,0,0,0,0,0,0,0,0,0,0
-448.218,0.99252135048605,20,2,13.7418649200266,0,0,-8.39440147274177,0,0,3.01645786120652,0,0,-8.39440147274504,0,0,0,0,0,0,0,0,0,0
-448.198,0.992429918564585,20,2,13.6275777278167,0,0,-8.4843657011267,0,0,2.91395152270612,0,0,-8.48436570113003,0,0,0,0,0,0,0,0,0,0
-448.176,0.992328131092998,20,2,13.5020174214169,0,0,-8.58320150098635,0,0,2.80133521004605,0,0,-8.58320150098977,0,0,0,0,0,0,0,0,0,0
-448.156,0.992234496287265,20,2,13.3880131006405,0,0,-8.67293874208043,0,0,2.6990845850532,0,0,-8.67293874208392,0,0,0,0,0,0,0,0,0,0
-448.134,0.992130288778878,20,2,13.2627638480801,0,0,-8.77152489002165,0,0,2.5867494869669,0,0,-8.77152489002522,0,0,0,0,0,0,0,0,0,0
-448.114,0.992034456789792,20,2,13.1490422081192,0,0,-8.86103520608682,0,0,2.48475444746969,0,0,-8.86103520609047,0,0,0,0,0,0,0,0,0,0
-448.092,0.991927835514015,20,2,13.0241037993024,0,0,-8.95937177117665,0,0,2.37270042264845,0,0,-8.95937177118038,0,0,0,0,0,0,0,0,0,0
-448.074,0.991839661278645,20,2,12.9220025128069,0,0,-9.0397317406407,0,0,2.28112932552048,0,1,-9.0397317406445,0,0,0,0,0,0,0,0,0,0
-448.054,0.991766595719483,20,2,12.8086847301326,0,0,-9.12891776056263,0,0,2.46622464148103,1,0,-9.12891776056651,0,0,0,0,0,0,0,0,0,0
-448.034,0.991776945223449,20,2,12.695492921968,0,0,-9.21800409215683,0,0,3.56373088494827,1,0,-9.21800409216079,0,0,0,0,0,0,0,0,0,0
-448.012,0.991790800549051,20,2,12.571124203133,0,0,-9.31588726552104,0,0,4.76959286237485,1,0,-9.31588726552508,0,0,0,0,0,0,0,0,0,0
-447.992,0.991805639895559,20,2,12.458190689321,0,0,-9.40477068733909,0,0,5.86456415022587,1,0,-9.40477068734321,0,0,0,0,0,0,0,0,0,0
-447.97,0.991824428123083,20,2,12.3341052486415,0,0,-9.50243143555203,0,0,7.06764037729018,1,0,-9.50243143555624,0,0,0,0,0,0,0,0,0,0
-447.948,0.991845795523471,20,2,12.2101675182826,0,0,-9.59997629300532,0,0,8.26925955519695,1,0,-9.59997629300961,0,0,0,0,0,0,0,0,0,0
-447.928,0.991867455823507,20,2,12.0976246440714,0,0,-9.68855322616475,0,0,9.36037748875348,1,0,-9.68855322616912,0,0,0,0,0,0,0,0,0,0
-447.906,0.991893738075684,20,2,11.9739676245049,0,0,-9.78587801289572,0,0,10.5592191320325,1,0,-9.78587801290018,0,0,0,0,0,0,0,0,0,0
-447.886,0.991919861040523,20,2,11.8616791790086,0,0,-9.87425558130554,0,0,11.6478144802633,1,0,-9.87425558131008,0,0,0,0,0,0,0,0,0,0
-447.87,0.991924391505901,20,2,11.7719357663443,0,0,-9.94488920610316,0,0,12.3195343314889,0,0,-9.94488920610777,0,0,0,0,0,0,0,0,0,0
