event_index,time_s,time_after_step_us,logical_slot,physical_phase,active_phase_set,REQ_in,REQ_accept,REQ_reject_reason,phase_idx_before,phase_idx_after,shed_state,window
1,0.00045104,1.04000000000006,3,3,1111,1,1,0,1,2,0,pre_shed
2,0.000451522,1.52200000000006,4,4,1111,1,1,0,2,3,0,pre_shed
3,0.000452004,2.00400000000006,1,1,1111,1,1,0,3,0,0,pre_shed
4,0.00045268,2.68000000000002,2,2,1111,1,1,0,0,1,0,pre_shed
5,0.000453162000000003,3.16200000000349,3,3,1111,1,1,0,1,2,0,pre_shed
6,0.00045376,3.76000000000006,4,4,1111,1,1,0,2,3,0,pre_shed
7,0.000454242,4.24200000000006,1,1,1111,1,1,0,3,0,0,pre_shed
8,0.000454724,4.72400000000006,2,2,1111,1,1,0,0,1,0,pre_shed
9,0.00045536,5.36000000000004,3,3,1111,1,1,0,1,2,0,pre_shed
10,0.000455842,5.84200000000004,4,4,1111,1,1,0,2,3,0,pre_shed
11,0.00045636,6.36000000000001,1,1,1111,1,1,0,3,0,0,pre_shed
12,0.00045692,6.92000000000005,2,2,1111,1,1,0,0,1,0,pre_shed
13,0.00045744,7.44000000000005,3,3,1111,1,1,0,1,2,0,pre_shed
14,0.00045796,7.96000000000005,4,4,1111,1,1,0,2,3,0,pre_shed
15,0.00045848,8.48000000000005,1,1,1111,1,1,0,3,0,0,pre_shed
16,0.000459,9.00000000000006,2,2,1111,1,1,0,0,1,0,pre_shed
17,0.00045956,9.56000000000004,3,3,1111,1,1,0,1,2,0,pre_shed
18,0.00046012,10.12,4,4,1111,1,1,0,2,3,0,pre_shed
19,0.000460602000000003,10.6020000000035,1,1,1111,1,1,0,3,0,0,pre_shed
20,0.00046112,11.12,2,2,1111,1,1,0,0,1,0,pre_shed
21,0.00046168,11.68,3,3,1111,1,1,0,1,2,0,pre_shed
22,0.0004622,12.2,4,4,1111,1,1,0,2,3,0,pre_shed
23,0.00046272,12.72,1,1,1111,1,1,0,3,0,0,pre_shed
24,0.00046324,13.24,2,2,1111,1,1,0,0,1,0,pre_shed
25,0.00046376,13.76,3,3,1111,1,1,0,1,2,0,pre_shed
26,0.00046436,14.36,4,4,1111,1,1,0,2,3,0,pre_shed
27,0.000464842,14.842,1,1,1111,1,1,0,3,0,0,pre_shed
28,0.000465324,15.324,2,2,1111,1,1,0,0,1,0,pre_shed
29,0.00046588,15.88,3,3,1111,1,1,0,1,2,0,pre_shed
30,0.00046644,16.4400000000001,4,4,1111,1,1,0,2,3,0,pre_shed
