event_index,time_s,time_after_step_us,logical_slot,physical_phase,active_phase_set,REQ_in,REQ_accept,REQ_reject_reason,phase_idx_before,phase_idx_after,shed_state,window
1,0.00045104,1.04000000000006,1,1,1010,1,1,0,1,2,5,post_shed
2,0.000451522,1.52200000000006,2,3,1010,1,1,0,2,3,5,post_shed
3,0.000452004,2.00400000000006,1,1,1010,1,1,0,3,0,5,post_shed
4,0.0004536,3.60000000000003,2,3,1010,1,1,0,0,1,5,post_shed
5,0.000454082000000003,4.0820000000035,1,1,1010,1,1,0,1,2,5,post_shed
6,0.000454564000000003,4.5640000000035,2,3,1010,1,1,0,2,3,5,post_shed
7,0.000455046000000003,5.0460000000035,1,1,1010,1,1,0,3,0,5,post_shed
8,0.0004558,5.80000000000003,2,3,1010,1,1,0,0,1,5,post_shed
9,0.000456282000000003,6.2820000000035,1,1,1010,1,1,0,1,2,5,post_shed
10,0.000456764000000003,6.7640000000035,2,3,1010,1,1,0,2,3,5,post_shed
11,0.000457246000000003,7.2460000000035,1,1,1010,1,1,0,3,0,5,post_shed
12,0.00045784,7.84000000000006,2,3,1010,1,1,0,0,1,5,post_shed
13,0.000458322,8.32200000000006,1,1,1010,1,1,0,1,2,5,post_shed
14,0.000458804,8.80400000000006,2,3,1010,1,1,0,2,3,5,post_shed
15,0.000459286,9.28600000000006,1,1,1010,1,1,0,3,0,5,post_shed
16,0.000459768,9.76800000000006,2,3,1010,1,1,0,0,1,5,post_shed
17,0.00046025,10.2500000000001,1,1,1010,1,1,0,1,2,5,post_shed
18,0.000460732,10.7320000000001,2,3,1010,1,1,0,2,3,5,post_shed
19,0.000461214,11.2140000000001,1,1,1010,1,1,0,3,0,5,post_shed
20,0.000461696,11.6960000000001,2,3,1010,1,1,0,0,1,5,post_shed
21,0.000462178,12.1780000000001,1,1,1010,1,1,0,1,2,5,post_shed
22,0.00046266,12.6600000000001,2,3,1010,1,1,0,2,3,5,post_shed
23,0.000463142,13.1420000000001,1,1,1010,1,1,0,3,0,5,post_shed
24,0.000463624,13.6240000000001,2,3,1010,1,1,0,0,1,5,post_shed
25,0.000464106,14.1060000000001,1,1,1010,1,1,0,1,2,5,post_shed
26,0.000464588,14.5880000000001,2,3,1010,1,1,0,2,3,5,post_shed
27,0.00046507,15.0700000000001,1,1,1010,1,1,0,3,0,5,post_shed
28,0.000465552,15.5520000000001,2,3,1010,1,1,0,0,1,5,post_shed
29,0.000466034,16.0340000000001,1,1,1010,1,1,0,1,2,5,post_shed
30,0.000466516,16.5160000000001,2,3,1010,1,1,0,2,3,5,post_shed
31,0.000466998,16.9980000000001,1,1,1010,1,1,0,3,0,5,post_shed
32,0.00046748,17.4800000000001,2,3,1010,1,1,0,0,1,5,post_shed
33,0.000467962,17.9620000000001,1,1,1010,1,1,0,1,2,5,post_shed
34,0.000468444,18.4440000000001,2,3,1010,1,1,0,2,3,5,post_shed
35,0.000468926,18.9260000000001,1,1,1010,1,1,0,3,0,5,post_shed
36,0.000469408,19.4080000000001,2,3,1010,1,1,0,0,1,5,post_shed
37,0.00046989,19.8900000000001,1,1,1010,1,1,0,1,2,5,post_shed
38,0.000470372,20.3720000000001,2,3,1010,1,1,0,2,3,5,post_shed
39,0.000470854,20.8540000000001,1,1,1010,1,1,0,3,0,5,post_shed
40,0.000471336,21.3360000000001,2,3,1010,1,1,0,0,1,5,post_shed
41,0.000471818,21.8180000000001,1,1,1010,1,1,0,1,2,5,post_shed
42,0.0004723,22.3000000000001,2,3,1010,1,1,0,2,3,5,post_shed
43,0.000472782,22.7820000000001,1,1,1010,1,1,0,3,0,5,post_shed
44,0.000473264,23.2640000000001,2,3,1010,1,1,0,0,1,5,post_shed
45,0.000473746,23.7460000000001,1,1,1010,1,1,0,1,2,5,post_shed
46,0.000474228,24.2280000000001,2,3,1010,1,1,0,2,3,5,post_shed
47,0.00047471,24.7100000000001,1,1,1010,1,1,0,3,0,5,post_shed
48,0.000475192,25.1920000000001,2,3,1010,1,1,0,0,1,5,post_shed
49,0.000475674,25.6740000000001,1,1,1010,1,1,0,1,2,5,post_shed
50,0.000476156,26.1560000000001,2,3,1010,1,1,0,2,3,5,post_shed
51,0.000476638,26.6380000000001,1,1,1010,1,1,0,3,0,5,post_shed
52,0.00047712,27.1200000000001,2,3,1010,1,1,0,0,1,5,post_shed
