event_index,time_s,time_after_step_us,logical_slot,physical_phase,active_phase_set,REQ_in,REQ_accept,REQ_reject_reason,phase_idx_before,phase_idx_after,shed_state,window
1,0.00045104,1.04000000000006,3,3,1111,1,1,0,1,2,2,pre_shed
2,0.000451522,1.52200000000006,4,4,1111,1,1,0,2,3,2,pre_shed
3,0.000452004,2.00400000000006,1,1,1111,1,1,0,3,0,2,pre_shed
4,0.00045268,2.68000000000002,2,2,1111,1,1,0,0,1,2,pre_shed
5,0.000453162000000003,3.16200000000349,1,1,1010,1,1,0,1,2,4,during_shed
6,0.000453644000000003,3.64400000000349,2,3,1010,1,1,0,2,3,4,during_shed
7,0.000454126000000003,4.12600000000349,1,1,1010,1,1,0,3,0,4,during_shed
8,0.00045576,5.76000000000005,2,3,1010,1,1,0,0,1,4,post_shed
9,0.000456242,6.24200000000005,1,1,1010,1,1,0,1,2,5,post_shed
10,0.000456724,6.72400000000005,2,3,1010,1,1,0,2,3,5,post_shed
11,0.000457206,7.20600000000005,1,1,1010,1,1,0,3,0,5,post_shed
12,0.00045792,7.92000000000002,2,3,1010,1,1,0,0,1,5,post_shed
13,0.000458402000000003,8.40200000000349,1,1,1010,1,1,0,1,2,5,post_shed
14,0.000458884000000003,8.88400000000349,2,3,1010,1,1,0,2,3,5,post_shed
15,0.000459366000000003,9.36600000000349,1,1,1010,1,1,0,3,0,5,post_shed
16,0.00045996,9.96000000000005,2,3,1010,1,1,0,0,1,5,post_shed
17,0.000460442,10.442,1,1,1010,1,1,0,1,2,5,post_shed
18,0.000460924,10.924,2,3,1010,1,1,0,2,3,5,post_shed
19,0.000461406,11.406,1,1,1010,1,1,0,3,0,5,post_shed
20,0.000461888,11.888,2,3,1010,1,1,0,0,1,5,post_shed
21,0.00046237,12.37,1,1,1010,1,1,0,1,2,5,post_shed
22,0.000462852,12.852,2,3,1010,1,1,0,2,3,5,post_shed
23,0.000463334,13.334,1,1,1010,1,1,0,3,0,5,post_shed
24,0.000463816,13.816,2,3,1010,1,1,0,0,1,5,post_shed
25,0.000464298,14.298,1,1,1010,1,1,0,1,2,5,post_shed
26,0.00046478,14.78,2,3,1010,1,1,0,2,3,5,post_shed
27,0.000465262,15.262,1,1,1010,1,1,0,3,0,5,post_shed
28,0.000465744,15.744,2,3,1010,1,1,0,0,1,5,post_shed
29,0.000466226,16.226,1,1,1010,1,1,0,1,2,5,post_shed
30,0.000466708,16.708,2,3,1010,1,1,0,2,3,5,post_shed
31,0.00046719,17.19,1,1,1010,1,1,0,3,0,5,post_shed
32,0.000467672,17.672,2,3,1010,1,1,0,0,1,5,post_shed
33,0.000468154,18.154,1,1,1010,1,1,0,1,2,5,post_shed
34,0.000468636,18.636,2,3,1010,1,1,0,2,3,5,post_shed
35,0.000469118,19.118,1,1,1010,1,1,0,3,0,5,post_shed
36,0.0004696,19.6,2,3,1010,1,1,0,0,1,5,post_shed
37,0.000470082,20.082,1,1,1010,1,1,0,1,2,5,post_shed
38,0.000470564,20.564,2,3,1010,1,1,0,2,3,5,post_shed
39,0.000471046,21.046,1,1,1010,1,1,0,3,0,5,post_shed
40,0.000471528,21.528,2,3,1010,1,1,0,0,1,5,post_shed
41,0.00047201,22.01,3,3,1111,1,1,0,1,2,1,post_shed
42,0.000472492,22.492,4,4,1111,1,1,0,2,3,1,post_shed
43,0.000472974,22.974,1,1,1010,1,1,0,3,0,5,post_shed
44,0.000473456,23.456,2,2,1111,1,1,0,0,1,1,post_shed
45,0.000473938,23.938,3,3,1111,1,1,0,1,2,1,post_shed
