event_index,time_s,time_after_step_us,logical_slot,physical_phase,active_phase_set,REQ_in,REQ_accept,REQ_reject_reason,phase_idx_before,phase_idx_after,shed_state,window
1,0.00045104,1.04000000000006,3,3,1111,1,1,0,1,2,2,pre_shed
2,0.000451522,1.52200000000006,4,4,1111,1,1,0,2,3,2,pre_shed
3,0.000452004,2.00400000000006,1,1,1111,1,1,0,3,0,2,pre_shed
4,0.00045268,2.68000000000002,2,2,1111,1,1,0,0,1,2,pre_shed
5,0.000453162000000003,3.16200000000349,1,1,1010,1,1,0,1,2,4,during_shed
6,0.000453644000000003,3.64400000000349,2,3,1010,1,1,0,2,3,4,during_shed
7,0.000454126000000003,4.12600000000349,1,1,1010,1,1,0,3,0,4,during_shed
8,0.00045576,5.76000000000005,2,3,1010,1,1,0,0,1,4,post_shed
9,0.000456242,6.24200000000005,3,3,1111,1,1,0,1,2,3,post_shed
10,0.000456724,6.72400000000005,4,4,1111,1,1,0,2,3,3,post_shed
11,0.000457206,7.20600000000005,1,1,1111,1,1,0,3,0,3,post_shed
12,0.000457688,7.68800000000005,2,2,1111,1,1,0,0,1,3,post_shed
13,0.00045817,8.17000000000005,3,3,1111,1,1,0,1,2,3,post_shed
14,0.000458652,8.65200000000005,4,4,1111,1,1,0,2,3,3,post_shed
15,0.000459134,9.13400000000005,1,1,1111,1,1,0,3,0,3,post_shed
16,0.000459616,9.61600000000005,2,2,1111,1,1,0,0,1,3,post_shed
17,0.000460098,10.0980000000001,3,3,1111,1,1,0,1,2,3,post_shed
18,0.00046058,10.5800000000001,4,4,1111,1,1,0,2,3,3,post_shed
19,0.000461062,11.0620000000001,1,1,1111,1,1,0,3,0,3,post_shed
20,0.000461544,11.5440000000001,2,2,1111,1,1,0,0,1,3,post_shed
21,0.000462026,12.0260000000001,3,3,1111,1,1,0,1,2,3,post_shed
22,0.000462508,12.5080000000001,4,4,1111,1,1,0,2,3,3,post_shed
23,0.00046299,12.99,1,1,1111,1,1,0,3,0,3,post_shed
24,0.000463472,13.472,2,2,1111,1,1,0,0,1,3,post_shed
25,0.000463954,13.9540000000001,3,3,1111,1,1,0,1,2,3,post_shed
26,0.000464436,14.436,4,4,1111,1,1,0,2,3,3,post_shed
27,0.000464918,14.918,1,1,1111,1,1,0,3,0,3,post_shed
28,0.0004654,15.4,2,2,1111,1,1,0,0,1,3,post_shed
29,0.000465882,15.882,3,3,1111,1,1,0,1,2,3,post_shed
30,0.000466364,16.364,4,4,1111,1,1,0,2,3,3,post_shed
31,0.000466846,16.846,1,1,1111,1,1,0,3,0,3,post_shed
32,0.000467328,17.328,2,2,1111,1,1,0,0,1,3,post_shed
33,0.00046781,17.81,3,3,1111,1,1,0,1,2,3,post_shed
34,0.000468292,18.292,4,4,1111,1,1,0,2,3,3,post_shed
35,0.000468774,18.774,1,1,1111,1,1,0,3,0,3,post_shed
36,0.000469256,19.256,2,2,1111,1,1,0,0,1,3,post_shed
37,0.000469738,19.738,3,3,1111,1,1,0,1,2,3,post_shed
38,0.00047022,20.22,4,4,1111,1,1,0,2,3,3,post_shed
39,0.000470702,20.702,1,1,1111,1,1,0,3,0,3,post_shed
40,0.000471184,21.184,2,2,1111,1,1,0,0,1,3,post_shed
41,0.000471666,21.666,3,3,1111,1,1,0,1,2,3,post_shed
42,0.000472148,22.148,4,4,1111,1,1,0,2,3,3,post_shed
43,0.00047263,22.63,1,1,1111,1,1,0,3,0,3,post_shed
44,0.000473112,23.112,2,2,1111,1,1,0,0,1,3,post_shed
