event_index,time_us,shed_state,active_phase_set,N_active,logical_slot,physical_phase_selected,REQ_in_phase,REQ_accept_phase,REQ_reject_reason,phase_idx_before,phase_idx_after,commit_armed,commit_done,fallback_4ph_triggered,fallback_reason
1,1.04000000000006,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
2,1.52200000000006,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
3,2.00400000000006,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
4,2.68000000000002,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
5,3.16200000000349,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
6,3.76000000000006,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
7,4.24200000000006,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
8,4.72400000000006,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
9,5.36000000000004,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
10,5.84200000000004,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
11,6.36000000000001,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
12,6.92000000000005,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
13,7.44000000000005,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
14,7.96000000000005,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
15,8.48000000000005,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
16,9.00000000000006,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
17,9.56000000000004,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
18,10.12,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
19,10.6020000000035,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
20,11.12,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
21,11.68,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
22,12.2,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
23,12.72,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
24,13.24,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
25,13.76,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
26,14.36,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
27,14.842,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
28,15.324,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
29,15.88,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
30,16.4400000000001,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
31,16.9600000000001,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
32,17.4800000000001,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
33,18.0000000000001,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
34,18.5200000000001,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
35,19.12,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
36,19.6020000000035,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
37,20.0840000000035,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
38,20.68,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
39,21.2,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
40,21.72,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
41,22.24,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
42,22.76,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
43,23.3200000000001,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
44,23.84,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
45,24.3220000000035,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
46,24.88,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
47,25.4,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
48,25.9600000000001,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
49,26.4800000000001,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
50,27.0000000000001,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
51,27.5200000000001,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
52,28.0400000000001,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
53,28.6,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
54,29.12,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
55,29.64,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
56,30.16,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
57,30.6800000000001,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
58,31.24,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
59,31.7220000000035,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
60,32.28,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
61,32.8,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
62,33.36,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
63,33.8420000000035,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
64,34.36,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
65,34.9600000000001,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
66,35.4420000000001,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
67,35.96,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
68,36.48,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
69,37.0400000000001,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
70,37.6,0,1111,4,4,4,4,4,0,2,3,0,0,0,0
71,38.082,0,1111,4,1,1,1,1,0,3,0,0,0,0,0
72,38.6000000000001,0,1111,4,2,2,2,2,0,0,1,0,0,0,0
73,39.16,0,1111,4,3,3,3,3,0,1,2,0,0,0,0
