event_index,time_us,shed_state,active_phase_set,N_active,logical_slot,physical_phase_selected,REQ_in_phase,REQ_accept_phase,REQ_reject_reason,phase_idx_before,phase_idx_after,commit_armed,commit_done,fallback_4ph_triggered,fallback_reason
1,1.04000000000006,2,1111,4,3,3,3,3,0,1,2,0,0,0,0
2,1.52200000000006,2,1111,4,4,4,4,4,0,2,3,0,0,0,0
3,2.00400000000006,2,1111,4,1,1,1,1,0,3,0,0,0,0,0
4,2.92000000000006,2,1111,4,2,2,2,2,0,0,1,0,0,0,0
5,3.40200000000006,2,1111,4,3,3,3,3,0,1,2,0,0,0,0
6,3.88400000000006,2,1111,4,3,3,4,3,0,2,3,0,0,0,0
7,4.36600000000006,2,1111,4,1,1,1,1,0,3,0,0,0,0,0
8,5.96000000000006,2,1111,4,3,3,2,3,0,0,1,0,0,0,0
9,6.44200000000006,3,1111,4,1,1,3,1,0,1,2,0,0,0,0
10,9.64000000000005,3,1111,4,3,3,4,3,0,2,3,0,0,0,0
11,10.122,3,1111,4,1,1,1,1,0,3,0,0,0,0,0
12,11.68,3,1111,4,3,3,2,3,0,0,1,0,0,0,0
13,12.1620000000035,3,1111,4,1,1,3,1,0,1,2,0,0,0,0
14,14.7600000000001,3,1111,4,3,3,4,3,0,2,3,0,0,0,0
15,15.2420000000001,3,1111,4,1,1,1,1,0,3,0,0,0,0,0
16,17.12,3,1111,4,3,3,2,3,0,0,1,0,0,0,0
17,17.6020000000035,3,1111,4,1,1,3,1,0,1,2,0,0,0,0
18,19.92,3,1111,4,3,3,4,3,0,2,3,0,0,0,0
19,20.402,3,1111,4,1,1,1,1,0,3,0,0,0,0,0
20,22.48,3,1111,4,3,3,2,3,0,0,1,0,0,0,0
21,22.9620000000035,3,1111,4,1,1,3,1,0,1,2,0,0,0,0
22,25.1200000000001,3,1111,4,3,3,4,3,0,2,3,0,0,0,0
23,25.6020000000001,3,1111,4,1,1,1,1,0,3,0,0,0,0,0
24,27.8,3,1111,4,3,3,2,3,0,0,1,0,0,0,0
25,28.2820000000035,3,1111,4,1,1,3,1,0,1,2,0,0,0,0
26,30.32,3,1111,4,3,3,4,3,0,2,3,0,0,0,0
27,30.8020000000035,3,1111,4,1,1,1,1,0,3,0,0,0,0,0
28,33.12,3,1111,4,3,3,2,3,0,0,1,0,0,0,0
29,33.6020000000035,3,1111,4,1,1,3,1,0,1,2,0,0,0,0
30,35.56,3,1111,4,3,3,4,3,0,2,3,0,0,0,0
31,36.0420000000035,3,1111,4,1,1,1,1,0,3,0,0,0,0,0
32,38.4000000000001,3,1111,4,3,3,2,3,0,0,1,0,0,0,0
33,38.8820000000001,3,1111,4,1,1,3,1,0,1,2,0,0,0,0
34,40.8,3,1111,4,3,3,4,3,0,2,3,0,0,0,0
35,41.282000000007,3,1111,4,1,1,1,1,0,3,0,0,0,0,0
36,43.76,3,1111,4,3,3,2,3,0,0,1,0,0,0,0
37,44.2420000000069,3,1111,4,1,1,3,1,0,1,2,0,0,0,0
38,46.1200000000001,3,1111,4,3,3,4,3,0,2,3,0,0,0,0
39,46.6020000000001,3,1111,4,1,1,1,1,0,3,0,0,0,0,0
40,49.0800000000001,3,1111,4,3,3,2,3,0,0,1,0,0,0,0
41,49.562000000007,3,1111,4,1,1,3,1,0,1,2,0,0,0,0
42,51.3600000000001,3,1111,4,3,3,4,3,0,2,3,0,0,0,0
43,51.8420000000001,3,1111,4,1,1,1,1,0,3,0,0,0,0,0
44,54.36,3,1111,4,3,3,2,3,0,0,1,0,0,0,0
45,54.842000000007,3,1111,4,1,1,3,1,0,1,2,0,0,0,0
46,56.68,3,1111,4,3,3,4,3,0,2,3,0,0,0,0
47,57.162000000007,3,1111,4,1,1,1,1,0,3,0,0,0,0,0
48,59.64,3,1111,4,3,3,2,3,0,0,1,0,0,0,0
49,60.122000000007,3,1111,4,1,1,3,1,0,1,2,0,0,0,0
50,61.92,3,1111,4,3,3,4,3,0,2,3,0,0,0,0
51,62.402000000007,3,1111,4,1,1,1,1,0,3,0,0,0,0,0
52,64.92,3,1111,4,3,3,2,3,0,0,1,0,0,0,0
53,65.4020000000069,3,1111,4,1,1,3,1,0,1,2,0,0,0,0
54,67.2,3,1111,4,3,3,4,3,0,2,3,0,0,0,0
55,67.682000000007,3,1111,4,1,1,1,1,0,3,0,0,0,0,0
