signal_name,is_available
Vout,1
Iload,1
IL1,1
IL2,1
IL3,1
IL4,1
IL_sense1,1
IL_sense2,1
IL_sense3,1
IL_sense4,1
REQ1,1
REQ2,1
REQ3,1
REQ4,1
REQ_raw1,1
REQ_raw2,1
REQ_raw3,1
REQ_raw4,1
REQ_accept1,1
REQ_accept2,1
REQ_accept3,1
REQ_accept4,1
REQ_reject_reason,1
QH1,1
QH2,1
QH3,1
QH4,1
QL1,1
QL2,1
QL3,1
QL4,1
phase_idx,1
logical_slot,1
physical_phase_selected,1
active_phase_set,1
N_active,1
phase_shed_request,1
phase_shed_accept,1
phase_shed_reject,1
phase_shed_reject_reason,1
shed_state,1
shed_transfer_progress,1
disabled_phase_current_sum,1
commit_armed,1
commit_done,1
shed_commit_count,1
fallback_4ph_triggered,1
fallback_reason,1
fallback_count,1
fallback_4ph_count,1
phase_gate_enable1,1
phase_gate_enable2,1
phase_gate_enable3,1
phase_gate_enable4,1
residual_current_phase2_A,1
residual_current_phase4_A,1
residual_current_threshold,1
residual_current_check,1
dwell_timer,1
post_reentry_shed_delay_timer,1
order_relock_state,1
order_relock_window_done,1
phase_order_error_rate_window,1
protect_state,1
reentry_state,1
balance_recovery_state,1
a_S_enable_after_shed,1
a_S_mode,1
Ton_cmd1,1
Ton_cmd2,1
Ton_cmd3,1
Ton_cmd4,1
Ton_actual1,1
Ton_actual2,1
Ton_actual3,1
Ton_actual4,1
Ton_trim1,1
Ton_trim2,1
Ton_trim3,1
Ton_trim4,1
Ton_trim_usage,1
Lambda_i,1
Lambda_trim_usage,1
area_int_i,1
current_limit_hit,1
guard_clamp_count,1
