event_index,time_us,shed_state,active_phase_set,N_active,logical_slot,physical_phase_selected,REQ_in_phase,REQ_accept_phase,REQ_reject_reason,phase_idx_before,phase_idx_after,commit_armed,commit_done,fallback_4ph_triggered,fallback_reason
1,1.04000000000006,2,1111,4,3,3,3,3,0,1,2,0,0,0,0
2,1.52200000000006,2,1111,4,4,4,4,4,0,2,3,0,0,0,0
3,2.00400000000006,2,1111,4,1,1,1,1,0,3,0,0,0,0,0
4,2.92000000000006,2,1111,4,2,2,2,2,0,0,1,0,0,0,0
5,3.40200000000006,2,1111,4,3,3,3,3,0,1,2,0,0,0,0
6,3.88400000000006,2,1111,4,3,3,4,3,0,2,3,0,0,0,0
7,4.36600000000006,2,1111,4,1,1,1,1,0,3,0,0,0,0,0
8,5.96000000000006,2,1111,4,3,3,2,3,0,0,1,0,0,0,0
9,6.44200000000006,6,1010,2,1,1,3,1,0,1,2,1,1,0,0
10,8.76000000000002,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
11,9.24200000000349,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
12,10.1600000000001,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
13,10.6420000000001,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
14,12.64,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
15,13.1220000000035,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
16,14.2,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
17,14.6820000000035,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
18,16.5200000000001,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
19,17.0020000000001,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
20,18.28,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
21,18.7620000000035,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
22,20.4000000000001,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
23,20.8820000000001,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
24,22.32,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
25,22.802,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
26,24.32,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
27,24.802,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
28,26.3600000000001,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
29,26.8420000000001,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
30,28.28,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
31,28.762,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
32,30.3600000000001,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
33,30.8420000000001,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
34,32.2400000000001,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
35,32.7220000000001,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
36,34.36,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
37,34.842,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
38,36.16,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
39,36.6420000000035,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
40,38.3600000000001,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
41,38.8420000000001,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
42,40.16,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
43,40.642000000007,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
44,42.4000000000001,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
45,42.882000000007,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
46,44.0800000000001,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
47,44.562000000007,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
48,46.3600000000001,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
49,46.842000000007,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
50,48.08,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
51,48.562000000007,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
52,50.3600000000001,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
53,50.842000000007,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
54,52.0000000000001,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
55,52.4820000000001,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
56,54.4,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
57,54.882000000007,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
58,56.0000000000001,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
59,56.482000000007,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
60,58.36,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
61,58.842000000007,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
62,59.9600000000001,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
63,60.4420000000001,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
64,62.36,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
65,62.842000000007,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
66,64,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
67,64.482000000007,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
68,66.32,8,1010,2,2,3,2,3,0,0,1,1,1,0,0
69,66.802000000007,8,1010,2,1,1,3,1,0,1,2,1,1,0,0
70,67.9600000000001,8,1010,2,2,3,4,3,0,2,3,1,1,0,0
71,68.442000000007,8,1010,2,1,1,1,1,0,3,0,1,1,0,0
