time_after_step_us,Vout,Iload,N_active,IL1,QH1,IL2,QH2,IL3,QH3,IL4,QH4,phase_add_request,phase_add_accept,phase_add_reject,new_phase_ramp_state,balance_recovery_state,a_S_mode
-450,0.998197245192011,20,2,3.5911443204724e-08,0,3.59114432046961e-08,0,3.59114432046817e-08,0,3.59114432046403e-08,0,0,0,0,0,0,0
-449.99,0.998169763573482,20,2,0.000100036276715348,0,0.000100036276717768,0,0.000100036276715753,0,0.000100036276717068,0,0,0,0,0,0,0
-449.97,0.9980800501491,20,2,-0.0946717493330563,0,-0.0946717493330574,0,-0.0946717493330558,0,-0.0946717493330548,0,0,0,0,0,0,0
-449.95,0.997987489411338,20,2,-0.194316168875019,0,-0.194316168875021,0,-0.194316168875019,0,-0.19431616887502,0,0,0,0,0,0,0
-449.928,0.997884454623311,20,2,-0.303787756935496,0,-0.303787756935499,0,-0.303787756935497,0,-0.3037877569355,0,0,0,0,0,0,0
-449.908,0.99778968079377,20,2,-0.403182615903112,0,-0.403182615903118,0,-0.403182615903115,0,-0.403182615903122,0,0,0,0,0,0,0
-449.886,0.997684214758479,20,2,-0.512379748918514,0,-0.512379748918523,0,-0.512379748918518,0,-0.512379748918531,0,0,0,0,0,0,0
-449.866,0.997587233570422,20,2,-0.611525159520062,0,-0.611525159520076,0,-0.611525159520069,0,-0.611525159520088,0,0,0,0,0,0,0
-449.844,0.99747934259284,20,2,-0.720447961438736,0,-0.720447961438754,0,-0.720447961438746,0,-0.720447961438774,0,0,0,0,0,0,0
-449.824,0.997380159776584,20,2,-0.819344036825877,0,-0.8193440368259,0,-0.81934403682589,0,-0.819344036825926,0,0,0,0,0,0,0
-449.802,0.997269850158428,20,2,-0.927992632632351,0,-0.92799263263238,0,-0.927992632632368,0,-0.927992632632414,0,0,0,0,0,0,0
-449.782,0.997168471441324,20,2,-1.02663948689733,0,-1.02663948689737,0,-1.02663948689735,0,-1.02663948689741,0,0,0,0,0,0,0
-449.76,0.997055749481037,20,2,-1.13501400260924,0,-1.13501400260929,0,-1.13501400260927,0,-1.13501400260934,0,0,0,0,0,0,0
-449.74,0.996952180587444,20,2,-1.2334117507821,0,-1.23341175078215,0,-1.23341175078213,0,-1.23341175078222,0,0,0,0,0,0,0
-449.718,0.996837052580171,20,2,-1.34151231344712,0,-1.34151231344718,0,-1.34151231344716,0,-1.34151231344726,0,0,0,0,0,0,0
-449.698,0.996731299231441,20,2,-1.43966107149291,0,-1.43966107149298,0,-1.43966107149296,0,-1.43966107149307,0,0,0,0,0,0,0
-449.676,0.996613771469005,20,2,-1.54748780918568,0,-1.54748780918577,0,-1.54748780918574,0,-1.54748780918587,0,0,0,0,0,0,0
-449.656,0.996505839383457,20,2,-1.64538769400165,0,-1.64538769400175,0,-1.64538769400171,0,-1.64538769400186,0,0,0,0,0,0,0
