run,target,offset_us,controller,action_class,artifact_note,window,window_start_us,window_end_us,samples,max_mV,max_time_us,min_mV,min_time_us,pp_mV,initial_vout_error_mV,final_error_mV,qh1_at_step,qh2_at_step,qh3_at_step,qh4_at_step,global_trunc_duration_us,wave_csv
R049C,near0,0.050,A0,baseline,,early_local_peak,0.000,2.000,1000,6.258599,1.400000,3.197890,0.000000,3.060709,3.197890,-1.048606,0,0,0,1,0.000000,output\data\r049c_near0_off0p050_a0_r049c_tontrunc_wave.csv
R049C,near0,0.050,A0,baseline,,recovery_peak,2.000,12.000,5000,5.762640,2.000000,-8.293447,8.114000,14.056086,3.197890,-1.048606,0,0,0,1,0.000000,output\data\r049c_near0_off0p050_a0_r049c_tontrunc_wave.csv
R049C,near0,0.050,A0,baseline,,late_settling,12.000,80.000,34001,3.293627,16.526000,-3.906348,12.000000,7.199975,3.197890,-1.048606,0,0,0,1,0.000000,output\data\r049c_near0_off0p050_a0_r049c_tontrunc_wave.csv
R049C,near0,0.050,A2,ov_triggered_ton_trunc,,early_local_peak,0.000,2.000,1000,5.492555,1.268000,3.197890,0.000000,2.294665,3.197890,-0.378879,0,0,0,1,2.000000,output\data\r049c_near0_off0p050_a2_tontrunc_r049c_tontrunc_wave.csv
R049C,near0,0.050,A2,ov_triggered_ton_trunc,,recovery_peak,2.000,12.000,5000,4.757929,2.000000,0.507306,5.256000,4.250623,3.197890,-0.378879,0,0,0,1,2.000000,output\data\r049c_near0_off0p050_a2_tontrunc_r049c_tontrunc_wave.csv
R049C,near0,0.050,A2,ov_triggered_ton_trunc,,late_settling,12.000,80.000,34001,3.741629,16.386000,-1.166896,63.274000,4.908525,3.197890,-0.378879,0,0,0,1,2.000000,output\data\r049c_near0_off0p050_a2_tontrunc_r049c_tontrunc_wave.csv
R049C,near0,0.105,A0,baseline,,early_local_peak,0.000,2.000,1000,5.960288,1.345000,3.392847,0.001000,2.567441,3.392847,-0.126564,0,0,0,0,0.000000,output\data\r049c_near0_off0p105_a0_r049c_tontrunc_wave.csv
R049C,near0,0.105,A0,baseline,,recovery_peak,2.000,12.000,5000,5.369705,2.001000,-7.248192,7.933000,12.617898,3.392847,-0.126564,0,0,0,0,0.000000,output\data\r049c_near0_off0p105_a0_r049c_tontrunc_wave.csv
R049C,near0,0.105,A0,baseline,,late_settling,12.000,80.000,34000,3.417292,17.159000,-1.563827,12.001000,4.981119,3.392847,-0.126564,0,0,0,0,0.000000,output\data\r049c_near0_off0p105_a0_r049c_tontrunc_wave.csv
R049C,near0,0.105,A2,ov_triggered_ton_trunc,,early_local_peak,0.000,2.000,1000,5.960288,1.345000,3.392847,0.001000,2.567441,3.392847,-0.126564,0,0,0,0,2.000000,output\data\r049c_near0_off0p105_a2_tontrunc_r049c_tontrunc_wave.csv
R049C,near0,0.105,A2,ov_triggered_ton_trunc,,recovery_peak,2.000,12.000,5000,5.369705,2.001000,-7.248192,7.933000,12.617898,3.392847,-0.126564,0,0,0,0,2.000000,output\data\r049c_near0_off0p105_a2_tontrunc_r049c_tontrunc_wave.csv
R049C,near0,0.105,A2,ov_triggered_ton_trunc,,late_settling,12.000,80.000,34000,3.417292,17.159000,-1.563827,12.001000,4.981119,3.392847,-0.126564,0,0,0,0,2.000000,output\data\r049c_near0_off0p105_a2_tontrunc_r049c_tontrunc_wave.csv
R049D,10A,0.050,A0,baseline,,early_local_peak,0.000,2.000,1000,3.990838,0.962000,2.386652,0.000000,1.604186,2.386652,-0.584936,0,0,0,1,0.000000,output\data\r049d_10A_off0p050_a0_r049d_tontrunc_holdout_wave.csv
R049D,10A,0.050,A0,baseline,,recovery_peak,2.000,12.000,5000,2.616131,10.686000,-3.182095,6.064000,5.798226,2.386652,-0.584936,0,0,0,1,0.000000,output\data\r049d_10A_off0p050_a0_r049d_tontrunc_holdout_wave.csv
R049D,10A,0.050,A0,baseline,,late_settling,12.000,80.000,34001,2.624522,13.848000,-1.064116,68.126000,3.688639,2.386652,-0.584936,0,0,0,1,0.000000,output\data\r049d_10A_off0p050_a0_r049d_tontrunc_holdout_wave.csv
R049D,10A,0.050,A2,ov_triggered_ton_trunc,,early_local_peak,0.000,2.000,1000,3.387263,0.828000,1.629005,1.998000,1.758258,2.386652,-0.824434,0,0,0,1,1.870000,output\data\r049d_10A_off0p050_a2_tontrunc_r049d_tontrunc_holdout_wave.csv
R049D,10A,0.050,A2,ov_triggered_ton_trunc,,recovery_peak,2.000,12.000,5000,2.648463,10.894000,0.351747,3.628000,2.296716,2.386652,-0.824434,0,0,0,1,1.870000,output\data\r049d_10A_off0p050_a2_tontrunc_r049d_tontrunc_holdout_wave.csv
R049D,10A,0.050,A2,ov_triggered_ton_trunc,,late_settling,12.000,80.000,34001,2.628987,13.204000,-1.154213,70.358000,3.783200,2.386652,-0.824434,0,0,0,1,1.870000,output\data\r049d_10A_off0p050_a2_tontrunc_r049d_tontrunc_holdout_wave.csv
R049D,10A,0.105,A0,baseline,,early_local_peak,0.000,2.000,1000,3.760722,0.907000,2.100928,1.999000,1.659794,2.581609,-0.763667,0,0,0,0,0.000000,output\data\r049d_10A_off0p105_a0_r049d_tontrunc_holdout_wave.csv
R049D,10A,0.105,A0,baseline,,recovery_peak,2.000,12.000,5000,2.698854,10.971000,-2.113590,5.413000,4.812444,2.581609,-0.763667,0,0,0,0,0.000000,output\data\r049d_10A_off0p105_a0_r049d_tontrunc_holdout_wave.csv
R049D,10A,0.105,A0,baseline,,late_settling,12.000,80.000,34000,3.015344,12.673000,-1.186136,74.461000,4.201480,2.581609,-0.763667,0,0,0,0,0.000000,output\data\r049d_10A_off0p105_a0_r049d_tontrunc_holdout_wave.csv
R049D,10A,0.105,A2,ov_triggered_ton_trunc,,early_local_peak,0.000,2.000,1000,3.760722,0.907000,2.100928,1.999000,1.659794,2.581609,-0.763667,0,0,0,0,2.000000,output\data\r049d_10A_off0p105_a2_tontrunc_r049d_tontrunc_holdout_wave.csv
R049D,10A,0.105,A2,ov_triggered_ton_trunc,,recovery_peak,2.000,12.000,5000,2.698854,10.971000,-2.113590,5.413000,4.812444,2.581609,-0.763667,0,0,0,0,2.000000,output\data\r049d_10A_off0p105_a2_tontrunc_r049d_tontrunc_holdout_wave.csv
R049D,10A,0.105,A2,ov_triggered_ton_trunc,,late_settling,12.000,80.000,34000,3.015344,12.673000,-1.186136,74.461000,4.201480,2.581609,-0.763667,0,0,0,0,2.000000,output\data\r049d_10A_off0p105_a2_tontrunc_r049d_tontrunc_holdout_wave.csv
R049E,20A,0.050,A0,baseline,,early_local_peak,0.000,2.000,1000,2.097722,0.484000,0.070403,1.678000,2.027319,1.485276,-0.319189,0,0,0,1,0.000000,output\data\r049e_20A_off0p050_a0_r049e_tontrunc_holdout_wave.csv
R049E,20A,0.050,A0,baseline,,recovery_peak,2.000,12.000,5000,2.110330,9.454000,-0.402608,3.124000,2.512938,1.485276,-0.319189,0,0,0,1,0.000000,output\data\r049e_20A_off0p050_a0_r049e_tontrunc_holdout_wave.csv
R049E,20A,0.050,A0,baseline,,late_settling,12.000,80.000,34001,1.939154,12.716000,-0.890949,72.442000,2.830103,1.485276,-0.319189,0,0,0,1,0.000000,output\data\r049e_20A_off0p050_a0_r049e_tontrunc_holdout_wave.csv
R049E,20A,0.050,A2,late_ov_triggered_ton_trunc,,early_local_peak,0.000,2.000,1000,2.097722,0.484000,0.070403,1.678000,2.027319,1.485276,-0.319189,0,0,0,1,0.518000,output\data\r049e_20A_off0p050_a2_tontrunc_r049e_tontrunc_holdout_wave.csv
R049E,20A,0.050,A2,late_ov_triggered_ton_trunc,,recovery_peak,2.000,12.000,5000,2.110330,9.454000,-0.402608,3.124000,2.512938,1.485276,-0.319189,0,0,0,1,0.518000,output\data\r049e_20A_off0p050_a2_tontrunc_r049e_tontrunc_holdout_wave.csv
R049E,20A,0.050,A2,late_ov_triggered_ton_trunc,,late_settling,12.000,80.000,34001,1.939154,12.716000,-0.890949,72.442000,2.830103,1.485276,-0.319189,0,0,0,1,0.518000,output\data\r049e_20A_off0p050_a2_tontrunc_r049e_tontrunc_holdout_wave.csv
R049E,20A,0.105,A0,baseline,,early_local_peak,0.000,2.000,1000,1.943923,0.429000,0.094972,1.999000,1.848951,1.680233,-0.720196,0,0,0,0,0.000000,output\data\r049e_20A_off0p105_a0_r049e_tontrunc_holdout_wave.csv
R049E,20A,0.105,A0,baseline,,recovery_peak,2.000,12.000,5000,2.093565,8.389000,-0.003014,2.499000,2.096579,1.680233,-0.720196,0,0,0,0,0.000000,output\data\r049e_20A_off0p105_a0_r049e_tontrunc_holdout_wave.csv
R049E,20A,0.105,A0,baseline,,late_settling,12.000,80.000,34000,2.009318,12.209000,-0.899134,69.391000,2.908452,1.680233,-0.720196,0,0,0,0,0.000000,output\data\r049e_20A_off0p105_a0_r049e_tontrunc_holdout_wave.csv
R049E,20A,0.105,A2,late_ov_triggered_ton_trunc,,early_local_peak,0.000,2.000,1000,1.943923,0.429000,0.094972,1.999000,1.848951,1.680233,-0.720196,0,0,0,0,0.000000,output\data\r049e_20A_off0p105_a2_tontrunc_r049e_tontrunc_holdout_wave.csv
R049E,20A,0.105,A2,late_ov_triggered_ton_trunc,,recovery_peak,2.000,12.000,5000,2.093565,8.389000,-0.003014,2.499000,2.096579,1.680233,-0.720196,0,0,0,0,0.000000,output\data\r049e_20A_off0p105_a2_tontrunc_r049e_tontrunc_holdout_wave.csv
R049E,20A,0.105,A2,late_ov_triggered_ton_trunc,,late_settling,12.000,80.000,34000,2.009318,12.209000,-0.899134,69.391000,2.908452,1.680233,-0.720196,0,0,0,0,0.000000,output\data\r049e_20A_off0p105_a2_tontrunc_r049e_tontrunc_holdout_wave.csv
R049F,20A,0.050,A0,baseline,timing_artifact_reference,early_local_peak,0.000,2.000,1000,2.097722,0.484000,0.070403,1.678000,2.027319,1.485276,-0.319189,0,0,0,1,0.000000,output\data\r049f_20A_off0p050_a0_r049f_early_tontrunc_wave.csv
R049F,20A,0.050,A0,baseline,timing_artifact_reference,recovery_peak,2.000,12.000,5000,2.110330,9.454000,-0.402608,3.124000,2.512938,1.485276,-0.319189,0,0,0,1,0.000000,output\data\r049f_20A_off0p050_a0_r049f_early_tontrunc_wave.csv
R049F,20A,0.050,A0,baseline,timing_artifact_reference,late_settling,12.000,80.000,34001,1.939154,12.716000,-0.890949,72.442000,2.830103,1.485276,-0.319189,0,0,0,1,0.000000,output\data\r049f_20A_off0p050_a0_r049f_early_tontrunc_wave.csv
R049F,20A,0.050,A2,global_early_ton_trunc,timing_artifact_early_window_started_at_t0,early_local_peak,0.000,2.000,1000,-1102.084511,1.998000,-1117.366994,0.000000,15.282483,-1117.366994,-184.103012,0,0,0,0,0.080000,output\data\r049f_20A_off0p050_a2_early_r049f_early_tontrunc_wave.csv
R049F,20A,0.050,A2,global_early_ton_trunc,timing_artifact_early_window_started_at_t0,recovery_peak,2.000,12.000,5000,-972.621475,11.998000,-1102.067997,2.000000,129.446522,-1117.366994,-184.103012,0,0,0,0,0.080000,output\data\r049f_20A_off0p050_a2_early_r049f_early_tontrunc_wave.csv
R049F,20A,0.050,A2,global_early_ton_trunc,timing_artifact_early_window_started_at_t0,late_settling,12.000,80.000,34001,-184.103012,80.000000,-972.596661,12.000000,788.493649,-1117.366994,-184.103012,0,0,0,0,0.080000,output\data\r049f_20A_off0p050_a2_early_r049f_early_tontrunc_wave.csv
R049F,20A,0.105,A0,baseline,timing_artifact_reference,early_local_peak,0.000,2.000,1000,1.943923,0.429000,0.094972,1.999000,1.848951,1.680233,-0.720196,0,0,0,0,0.000000,output\data\r049f_20A_off0p105_a0_r049f_early_tontrunc_wave.csv
R049F,20A,0.105,A0,baseline,timing_artifact_reference,recovery_peak,2.000,12.000,5000,2.093565,8.389000,-0.003014,2.499000,2.096579,1.680233,-0.720196,0,0,0,0,0.000000,output\data\r049f_20A_off0p105_a0_r049f_early_tontrunc_wave.csv
R049F,20A,0.105,A0,baseline,timing_artifact_reference,late_settling,12.000,80.000,34000,2.009318,12.209000,-0.899134,69.391000,2.908452,1.680233,-0.720196,0,0,0,0,0.000000,output\data\r049f_20A_off0p105_a0_r049f_early_tontrunc_wave.csv
R049F,20A,0.105,A2,global_early_ton_trunc,timing_artifact_early_window_started_at_t0,early_local_peak,0.000,2.000,1000,-1101.760694,1.999000,-1117.365870,0.001000,15.605176,-1117.365870,-189.308868,0,0,0,0,0.080000,output\data\r049f_20A_off0p105_a2_early_r049f_early_tontrunc_wave.csv
R049F,20A,0.105,A2,global_early_ton_trunc,timing_artifact_early_window_started_at_t0,recovery_peak,2.000,12.000,5000,-972.023055,11.999000,-1101.744214,2.001000,129.721159,-1117.365870,-189.308868,0,0,0,0,0.080000,output\data\r049f_20A_off0p105_a2_early_r049f_early_tontrunc_wave.csv
R049F,20A,0.105,A2,global_early_ton_trunc,timing_artifact_early_window_started_at_t0,late_settling,12.000,80.000,34000,-189.308868,79.999000,-971.998340,12.001000,782.689473,-1117.365870,-189.308868,0,0,0,0,0.080000,output\data\r049f_20A_off0p105_a2_early_r049f_early_tontrunc_wave.csv
R049G,20A,0.050,A0,baseline,,early_local_peak,0.000,2.000,1000,2.097722,0.484000,0.070403,1.678000,2.027319,1.485276,-0.319189,0,0,0,1,0.000000,output\data\r049g_20A_off0p050_a0_r049g_phase_selective_tontrunc_wave.csv
R049G,20A,0.050,A0,baseline,,recovery_peak,2.000,12.000,5000,2.110330,9.454000,-0.402608,3.124000,2.512938,1.485276,-0.319189,0,0,0,1,0.000000,output\data\r049g_20A_off0p050_a0_r049g_phase_selective_tontrunc_wave.csv
R049G,20A,0.050,A0,baseline,,late_settling,12.000,80.000,34001,1.939154,12.716000,-0.890949,72.442000,2.830103,1.485276,-0.319189,0,0,0,1,0.000000,output\data\r049g_20A_off0p050_a0_r049g_phase_selective_tontrunc_wave.csv
R049G,20A,0.050,A2,repaired_phase_selective_ton_trunc,,early_local_peak,0.000,2.000,1000,2.387907,0.898000,0.542903,1.998000,1.845004,1.485276,-0.727873,0,0,0,1,0.080000,output\data\r049g_20A_off0p050_a2_phase_select_r049g_phase_selective_tontrunc_wave.csv
R049G,20A,0.050,A2,repaired_phase_selective_ton_trunc,,recovery_peak,2.000,12.000,5000,2.157963,7.602000,-0.422662,4.034000,2.580625,1.485276,-0.727873,0,0,0,1,0.080000,output\data\r049g_20A_off0p050_a2_phase_select_r049g_phase_selective_tontrunc_wave.csv
R049G,20A,0.050,A2,repaired_phase_selective_ton_trunc,,late_settling,12.000,80.000,34001,2.025770,12.042000,-0.856151,73.634000,2.881922,1.485276,-0.727873,0,0,0,1,0.080000,output\data\r049g_20A_off0p050_a2_phase_select_r049g_phase_selective_tontrunc_wave.csv
R049G,20A,0.105,A0,baseline,,early_local_peak,0.000,2.000,1000,1.943923,0.429000,0.094972,1.999000,1.848951,1.680233,-0.720196,0,0,0,0,0.000000,output\data\r049g_20A_off0p105_a0_r049g_phase_selective_tontrunc_wave.csv
R049G,20A,0.105,A0,baseline,,recovery_peak,2.000,12.000,5000,2.093565,8.389000,-0.003014,2.499000,2.096579,1.680233,-0.720196,0,0,0,0,0.000000,output\data\r049g_20A_off0p105_a0_r049g_phase_selective_tontrunc_wave.csv
R049G,20A,0.105,A0,baseline,,late_settling,12.000,80.000,34000,2.009318,12.209000,-0.899134,69.391000,2.908452,1.680233,-0.720196,0,0,0,0,0.000000,output\data\r049g_20A_off0p105_a0_r049g_phase_selective_tontrunc_wave.csv
R049G,20A,0.105,A2,repaired_phase_selective_ton_trunc,,early_local_peak,0.000,2.000,1000,1.943923,0.429000,0.094972,1.999000,1.848951,1.680233,-0.720196,0,0,0,0,0.080000,output\data\r049g_20A_off0p105_a2_phase_select_r049g_phase_selective_tontrunc_wave.csv
