run,target,offset_us,window,a0_max_mV,a2_max_mV,a2_minus_a0_max_mV,peak_improvement_mV,a0_max_time_us,a2_max_time_us,a0_min_mV,a2_min_mV,a2_minus_a0_min_mV,undershoot_improvement_mV,a0_initial_vout_error_mV,a2_initial_vout_error_mV,a2_action_class,artifact_note,a2_global_trunc_duration_us
R049C,near0,0.050,early_local_peak,6.258599,5.492555,-0.766044,0.766044,1.400000,1.268000,3.197890,3.197890,0.000000,0.000000,3.197890,3.197890,ov_triggered_ton_trunc,,2.000000
R049C,near0,0.050,late_settling,3.293627,3.741629,0.448002,-0.448002,16.526000,16.386000,-3.906348,-1.166896,2.739452,2.739452,3.197890,3.197890,ov_triggered_ton_trunc,,2.000000
R049C,near0,0.050,recovery_peak,5.762640,4.757929,-1.004711,1.004711,2.000000,2.000000,-8.293447,0.507306,8.800753,8.800753,3.197890,3.197890,ov_triggered_ton_trunc,,2.000000
R049C,near0,0.105,early_local_peak,5.960288,5.960288,0.000000,-0.000000,1.345000,1.345000,3.392847,3.392847,0.000000,0.000000,3.392847,3.392847,ov_triggered_ton_trunc,,2.000000
R049C,near0,0.105,late_settling,3.417292,3.417292,0.000000,-0.000000,17.159000,17.159000,-1.563827,-1.563827,0.000000,0.000000,3.392847,3.392847,ov_triggered_ton_trunc,,2.000000
R049C,near0,0.105,recovery_peak,5.369705,5.369705,0.000000,-0.000000,2.001000,2.001000,-7.248192,-7.248192,0.000000,0.000000,3.392847,3.392847,ov_triggered_ton_trunc,,2.000000
R049D,10A,0.050,early_local_peak,3.990838,3.387263,-0.603575,0.603575,0.962000,0.828000,2.386652,1.629005,-0.757647,-0.757647,2.386652,2.386652,ov_triggered_ton_trunc,,1.870000
R049D,10A,0.050,late_settling,2.624522,2.628987,0.004465,-0.004465,13.848000,13.204000,-1.064116,-1.154213,-0.090097,-0.090097,2.386652,2.386652,ov_triggered_ton_trunc,,1.870000
R049D,10A,0.050,recovery_peak,2.616131,2.648463,0.032332,-0.032332,10.686000,10.894000,-3.182095,0.351747,3.533842,3.533842,2.386652,2.386652,ov_triggered_ton_trunc,,1.870000
R049D,10A,0.105,early_local_peak,3.760722,3.760722,0.000000,-0.000000,0.907000,0.907000,2.100928,2.100928,0.000000,0.000000,2.581609,2.581609,ov_triggered_ton_trunc,,2.000000
R049D,10A,0.105,late_settling,3.015344,3.015344,0.000000,-0.000000,12.673000,12.673000,-1.186136,-1.186136,0.000000,0.000000,2.581609,2.581609,ov_triggered_ton_trunc,,2.000000
R049D,10A,0.105,recovery_peak,2.698854,2.698854,0.000000,-0.000000,10.971000,10.971000,-2.113590,-2.113590,0.000000,0.000000,2.581609,2.581609,ov_triggered_ton_trunc,,2.000000
R049E,20A,0.050,early_local_peak,2.097722,2.097722,0.000000,-0.000000,0.484000,0.484000,0.070403,0.070403,0.000000,0.000000,1.485276,1.485276,late_ov_triggered_ton_trunc,,0.518000
R049E,20A,0.050,late_settling,1.939154,1.939154,0.000000,-0.000000,12.716000,12.716000,-0.890949,-0.890949,0.000000,0.000000,1.485276,1.485276,late_ov_triggered_ton_trunc,,0.518000
R049E,20A,0.050,recovery_peak,2.110330,2.110330,0.000000,-0.000000,9.454000,9.454000,-0.402608,-0.402608,0.000000,0.000000,1.485276,1.485276,late_ov_triggered_ton_trunc,,0.518000
R049E,20A,0.105,early_local_peak,1.943923,1.943923,0.000000,-0.000000,0.429000,0.429000,0.094972,0.094972,0.000000,0.000000,1.680233,1.680233,late_ov_triggered_ton_trunc,,0.000000
R049E,20A,0.105,late_settling,2.009318,2.009318,0.000000,-0.000000,12.209000,12.209000,-0.899134,-0.899134,0.000000,0.000000,1.680233,1.680233,late_ov_triggered_ton_trunc,,0.000000
R049E,20A,0.105,recovery_peak,2.093565,2.093565,0.000000,-0.000000,8.389000,8.389000,-0.003014,-0.003014,0.000000,0.000000,1.680233,1.680233,late_ov_triggered_ton_trunc,,0.000000
R049F,20A,0.050,early_local_peak,2.097722,-1102.084511,-1104.182233,1104.182233,0.484000,1.998000,0.070403,-1117.366994,-1117.437397,-1117.437397,1.485276,-1117.366994,global_early_ton_trunc,timing_artifact_early_window_started_at_t0,0.080000
R049F,20A,0.050,late_settling,1.939154,-184.103012,-186.042166,186.042166,12.716000,80.000000,-0.890949,-972.596661,-971.705712,-971.705712,1.485276,-1117.366994,global_early_ton_trunc,timing_artifact_early_window_started_at_t0,0.080000
R049F,20A,0.050,recovery_peak,2.110330,-972.621475,-974.731805,974.731805,9.454000,11.998000,-0.402608,-1102.067997,-1101.665389,-1101.665389,1.485276,-1117.366994,global_early_ton_trunc,timing_artifact_early_window_started_at_t0,0.080000
R049F,20A,0.105,early_local_peak,1.943923,-1101.760694,-1103.704617,1103.704617,0.429000,1.999000,0.094972,-1117.365870,-1117.460842,-1117.460842,1.680233,-1117.365870,global_early_ton_trunc,timing_artifact_early_window_started_at_t0,0.080000
R049F,20A,0.105,late_settling,2.009318,-189.308868,-191.318186,191.318186,12.209000,79.999000,-0.899134,-971.998340,-971.099206,-971.099206,1.680233,-1117.365870,global_early_ton_trunc,timing_artifact_early_window_started_at_t0,0.080000
R049F,20A,0.105,recovery_peak,2.093565,-972.023055,-974.116620,974.116620,8.389000,11.999000,-0.003014,-1101.744214,-1101.741200,-1101.741200,1.680233,-1117.365870,global_early_ton_trunc,timing_artifact_early_window_started_at_t0,0.080000
R049G,20A,0.050,early_local_peak,2.097722,2.387907,0.290185,-0.290185,0.484000,0.898000,0.070403,0.542903,0.472500,0.472500,1.485276,1.485276,repaired_phase_selective_ton_trunc,,0.080000
R049G,20A,0.050,late_settling,1.939154,2.025770,0.086616,-0.086616,12.716000,12.042000,-0.890949,-0.856151,0.034798,0.034798,1.485276,1.485276,repaired_phase_selective_ton_trunc,,0.080000
R049G,20A,0.050,recovery_peak,2.110330,2.157963,0.047633,-0.047633,9.454000,7.602000,-0.402608,-0.422662,-0.020054,-0.020054,1.485276,1.485276,repaired_phase_selective_ton_trunc,,0.080000
R049G,20A,0.105,early_local_peak,1.943923,1.943923,0.000000,-0.000000,0.429000,0.429000,0.094972,0.094972,0.000000,0.000000,1.680233,1.680233,repaired_phase_selective_ton_trunc,,0.080000
R049G,20A,0.105,late_settling,2.009318,2.009318,0.000000,-0.000000,12.209000,12.209000,-0.899134,-0.899134,0.000000,0.000000,1.680233,1.680233,repaired_phase_selective_ton_trunc,,0.080000
R049G,20A,0.105,recovery_peak,2.093565,2.093565,0.000000,-0.000000,8.389000,8.389000,-0.003014,-0.003014,0.000000,0.000000,1.680233,1.680233,repaired_phase_selective_ton_trunc,,0.080000
