run,target,offset_us,controller,action_class,window,window_lo_us,window_hi_us,count,max_mV,max_time_us,min_mV,min_time_us,pp_mV,initial_error_mV,final_error_mV,ton_cmd4_ns_first_sample,wave_csv
R049I,20A,0.050,A0,baseline_same_model,early_local_peak,0.0,2.0,1000,2.097721737160052,0.484000000000085,0.07040286945003693,1.67800000000007,2.027318867710015,1.4852761471699782,-0.4396748817909432,196.5,E:\Desktop\codex\output\data\r049i_20A_off0p050_a0_r049i_gentle_tontrim_wave.csv
R049I,20A,0.050,A0,baseline_same_model,recovery_peak,2.0,12.0,5000,2.1103300494300647,9.45400000000005,-0.4026078355210405,3.12400000000007,2.5129378849511053,1.4852761471699782,-0.4396748817909432,196.5,E:\Desktop\codex\output\data\r049i_20A_off0p050_a0_r049i_gentle_tontrim_wave.csv
R049I,20A,0.050,A0,baseline_same_model,late_settling,12.0,80.0,34001,1.9391535433499474,12.7160000000001,-0.8909491406640102,72.4420000000001,2.8301026840139576,1.4852761471699782,-0.4396748817909432,196.5,E:\Desktop\codex\output\data\r049i_20A_off0p050_a0_r049i_gentle_tontrim_wave.csv
R049I,20A,0.050,A2,gentle_phase_selective_ton_trim_120ns,early_local_peak,0.0,2.0,1000,2.387906688990027,0.898000000000045,0.5429031822699049,1.99800000000007,1.845003506720122,1.4852761471699782,-0.435080526611963,196.5,E:\Desktop\codex\output\data\r049i_20A_off0p050_a2_gentle_trim_r049i_gentle_tontrim_wave.csv
R049I,20A,0.050,A2,gentle_phase_selective_ton_trim_120ns,recovery_peak,2.0,12.0,5000,2.1579631655699316,7.60200000000005,-0.4226618621799849,4.03400000000009,2.5806250277499165,1.4852761471699782,-0.435080526611963,196.5,E:\Desktop\codex\output\data\r049i_20A_off0p050_a2_gentle_trim_r049i_gentle_tontrim_wave.csv
R049I,20A,0.050,A2,gentle_phase_selective_ton_trim_120ns,late_settling,12.0,80.0,34001,2.025770355889911,12.0420000000001,-0.8561513264599974,73.6340000000001,2.8819216823499083,1.4852761471699782,-0.435080526611963,196.5,E:\Desktop\codex\output\data\r049i_20A_off0p050_a2_gentle_trim_r049i_gentle_tontrim_wave.csv
R049I,20A,0.105,A0,baseline_same_model,early_local_peak,0.0,2.0,1000,1.9439226308799462,0.429000000000033,0.09497206043995732,1.99900000000003,1.848950570439989,1.6802328638501063,-0.43436215648255927,196.5,E:\Desktop\codex\output\data\r049i_20A_off0p105_a0_r049i_gentle_tontrim_wave.csv
R049I,20A,0.105,A0,baseline_same_model,recovery_peak,2.0,12.0,5000,2.093564751320054,8.38900000000003,-0.0030137685369524547,2.49899999999999,2.0965785198570064,1.6802328638501063,-0.43436215648255927,196.5,E:\Desktop\codex\output\data\r049i_20A_off0p105_a0_r049i_gentle_tontrim_wave.csv
R049I,20A,0.105,A0,baseline_same_model,late_settling,12.0,80.0,34000,2.0093183535299097,12.209,-0.8991337973940361,69.391,2.908452150923946,1.6802328638501063,-0.43436215648255927,196.5,E:\Desktop\codex\output\data\r049i_20A_off0p105_a0_r049i_gentle_tontrim_wave.csv
R049I,20A,0.105,A2,gentle_phase_selective_ton_trim_120ns,early_local_peak,0.0,2.0,1000,1.9439226308799462,0.429000000000033,0.09497206043995732,1.99900000000003,1.848950570439989,1.6802328638501063,-0.43436215648255927,196.5,E:\Desktop\codex\output\data\r049i_20A_off0p105_a2_gentle_trim_r049i_gentle_tontrim_wave.csv
R049I,20A,0.105,A2,gentle_phase_selective_ton_trim_120ns,recovery_peak,2.0,12.0,5000,2.093564751320054,8.38900000000003,-0.0030137685369524547,2.49899999999999,2.0965785198570064,1.6802328638501063,-0.43436215648255927,196.5,E:\Desktop\codex\output\data\r049i_20A_off0p105_a2_gentle_trim_r049i_gentle_tontrim_wave.csv
R049I,20A,0.105,A2,gentle_phase_selective_ton_trim_120ns,late_settling,12.0,80.0,34000,2.0093183535299097,12.209,-0.8991337973940361,69.391,2.908452150923946,1.6802328638501063,-0.43436215648255927,196.5,E:\Desktop\codex\output\data\r049i_20A_off0p105_a2_gentle_trim_r049i_gentle_tontrim_wave.csv
