run,target,offset_us,controller,action_class,window,window_lo_us,window_hi_us,count,max_mV,max_time_us,min_mV,min_time_us,pp_mV,initial_error_mV,final_error_mV,inhibit_duration_us,first_inhibit_us,wave_csv
R049K,20A,0.050,A0,baseline_same_model,early_local_peak,0.0,2.0,1000,2.097721737160052,0.484000000000085,0.07040286945003693,1.67800000000007,2.027318867710015,1.4852761471699782,-0.4396748817909432,0.0,nan,E:\Desktop\codex\output\data\r049k_20A_off0p050_a0_r049k_soft_reentry_wave.csv
R049K,20A,0.050,A0,baseline_same_model,recovery_peak,2.0,12.0,5000,2.1103300494300647,9.45400000000005,-0.4026078355210405,3.12400000000007,2.5129378849511053,1.4852761471699782,-0.4396748817909432,0.0,nan,E:\Desktop\codex\output\data\r049k_20A_off0p050_a0_r049k_soft_reentry_wave.csv
R049K,20A,0.050,A0,baseline_same_model,late_settling,12.0,80.0,34001,1.9391535433499474,12.7160000000001,-0.8909491406640102,72.4420000000001,2.8301026840139576,1.4852761471699782,-0.4396748817909432,0.0,nan,E:\Desktop\codex\output\data\r049k_20A_off0p050_a0_r049k_soft_reentry_wave.csv
R049K,20A,0.050,A2,deferred_soft_reentry,early_local_peak,0.0,2.0,1000,2.097721737160052,0.484000000000085,-0.22125046177301488,1.76200000000004,2.318972198933067,1.4852761471699782,-0.4422423926659423,1.6900000000000492,0.0700000000000722,E:\Desktop\codex\output\data\r049k_20A_off0p050_a2_soft_reentry_r049k_soft_reentry_wave.csv
R049K,20A,0.050,A2,deferred_soft_reentry,recovery_peak,2.0,12.0,5000,1.9307054383599365,11.654,-1.0413736806910157,3.70000000000009,2.972079119050952,1.4852761471699782,-0.4422423926659423,1.6900000000000492,0.0700000000000722,E:\Desktop\codex\output\data\r049k_20A_off0p050_a2_soft_reentry_r049k_soft_reentry_wave.csv
R049K,20A,0.050,A2,deferred_soft_reentry,late_settling,12.0,80.0,34001,2.070973432140022,12.1580000000001,-0.9170011152009883,74.1840000000001,2.98797454734101,1.4852761471699782,-0.4422423926659423,1.6900000000000492,0.0700000000000722,E:\Desktop\codex\output\data\r049k_20A_off0p050_a2_soft_reentry_r049k_soft_reentry_wave.csv
R049K,20A,0.105,A0,baseline_same_model,early_local_peak,0.0,2.0,1000,1.9439226308799462,0.429000000000033,0.09497206043995732,1.99900000000003,1.848950570439989,1.6802328638501063,-0.43436215648255927,0.0,nan,E:\Desktop\codex\output\data\r049k_20A_off0p105_a0_r049k_soft_reentry_wave.csv
R049K,20A,0.105,A0,baseline_same_model,recovery_peak,2.0,12.0,5000,2.093564751320054,8.38900000000003,-0.0030137685369524547,2.49899999999999,2.0965785198570064,1.6802328638501063,-0.43436215648255927,0.0,nan,E:\Desktop\codex\output\data\r049k_20A_off0p105_a0_r049k_soft_reentry_wave.csv
R049K,20A,0.105,A0,baseline_same_model,late_settling,12.0,80.0,34000,2.0093183535299097,12.209,-0.8991337973940361,69.391,2.908452150923946,1.6802328638501063,-0.43436215648255927,0.0,nan,E:\Desktop\codex\output\data\r049k_20A_off0p105_a0_r049k_soft_reentry_wave.csv
R049K,20A,0.105,A2,deferred_soft_reentry,early_local_peak,0.0,2.0,1000,1.9439226308799462,0.429000000000033,-0.5713229949819709,1.76100000000003,2.515245625861917,1.6802328638501063,-0.4306219701642675,1.6899999999999875,0.0710000000000337,E:\Desktop\codex\output\data\r049k_20A_off0p105_a2_soft_reentry_r049k_soft_reentry_wave.csv
R049K,20A,0.105,A2,deferred_soft_reentry,recovery_peak,2.0,12.0,5000,1.89814480025996,11.059,-1.661856367104031,4.17100000000003,3.560001167363991,1.6802328638501063,-0.4306219701642675,1.6899999999999875,0.0710000000000337,E:\Desktop\codex\output\data\r049k_20A_off0p105_a2_soft_reentry_r049k_soft_reentry_wave.csv
R049K,20A,0.105,A2,deferred_soft_reentry,late_settling,12.0,80.0,34000,2.031570155829998,12.115,-0.844408709871014,69.891,2.875978865701012,1.6802328638501063,-0.4306219701642675,1.6899999999999875,0.0710000000000337,E:\Desktop\codex\output\data\r049k_20A_off0p105_a2_soft_reentry_r049k_soft_reentry_wave.csv
