run,target,offset_us,controller,action_class,window,window_lo_us,window_hi_us,count,max_mV,max_time_us,min_mV,min_time_us,pp_mV,initial_error_mV,final_error_mV,inhibit_raw_duration_us,effective_inhibit_duration_us,first_inhibit_us,release_clock_time_us,oneshot_time_us,wave_csv
R049N,20A,0.050,A0,baseline_same_model,early_local_peak,0.0,2.0,1000,2.097721737160052,0.484000000000085,0.07040286945003693,1.67800000000007,2.027318867710015,1.4852761471699782,-0.4396748817909432,0.0,0.0,nan,1.68600000000009,nan,E:\Desktop\codex\output\data\r049n_20A_off0p050_a0_r049n_independent_clock_reentry_wave.csv
R049N,20A,0.050,A0,baseline_same_model,recovery_peak,2.0,12.0,5000,2.1103300494300647,9.45400000000005,-0.4026078355210405,3.12400000000007,2.5129378849511053,1.4852761471699782,-0.4396748817909432,0.0,0.0,nan,1.68600000000009,nan,E:\Desktop\codex\output\data\r049n_20A_off0p050_a0_r049n_independent_clock_reentry_wave.csv
R049N,20A,0.050,A0,baseline_same_model,late_settling,12.0,80.0,34001,1.9391535433499474,12.7160000000001,-0.8909491406640102,72.4420000000001,2.8301026840139576,1.4852761471699782,-0.4396748817909432,0.0,0.0,nan,1.68600000000009,nan,E:\Desktop\codex\output\data\r049n_20A_off0p050_a0_r049n_independent_clock_reentry_wave.csv
R049N,20A,0.050,A2,independent_clock_one_shot_reentry,early_local_peak,0.0,2.0,1000,2.097721737160052,0.484000000000085,-0.18552817104899866,1.75200000000005,2.2832499082090507,1.4852761471699782,-0.4299861591964243,1.6900000000000492,1.6800000000000492,0.0700000000000722,1.68600000000009,1.75000000000007,E:\Desktop\codex\output\data\r049n_20A_off0p050_a2_independent_clock_r049n_independent_clock_reentry_wave.csv
R049N,20A,0.050,A2,independent_clock_one_shot_reentry,recovery_peak,2.0,12.0,5000,1.9976006828299475,11.6420000000001,-0.9623107097509465,3.69200000000007,2.959911392580894,1.4852761471699782,-0.4299861591964243,1.6900000000000492,1.6800000000000492,0.0700000000000722,1.68600000000009,1.75000000000007,E:\Desktop\codex\output\data\r049n_20A_off0p050_a2_independent_clock_r049n_independent_clock_reentry_wave.csv
R049N,20A,0.050,A2,independent_clock_one_shot_reentry,late_settling,12.0,80.0,34001,2.0087985000400987,12.1820000000001,-0.8993926266289698,67.2040000000001,2.9081911266690685,1.4852761471699782,-0.4299861591964243,1.6900000000000492,1.6800000000000492,0.0700000000000722,1.68600000000009,1.75000000000007,E:\Desktop\codex\output\data\r049n_20A_off0p050_a2_independent_clock_r049n_independent_clock_reentry_wave.csv
R049N,20A,0.105,A0,baseline_same_model,early_local_peak,0.0,2.0,1000,1.9439226308799462,0.429000000000033,0.09497206043995732,1.99900000000003,1.848950570439989,1.6802328638501063,-0.43436215648255927,0.0,0.0,nan,1.68500000000002,nan,E:\Desktop\codex\output\data\r049n_20A_off0p105_a0_r049n_independent_clock_reentry_wave.csv
R049N,20A,0.105,A0,baseline_same_model,recovery_peak,2.0,12.0,5000,2.093564751320054,8.38900000000003,-0.0030137685369524547,2.49899999999999,2.0965785198570064,1.6802328638501063,-0.43436215648255927,0.0,0.0,nan,1.68500000000002,nan,E:\Desktop\codex\output\data\r049n_20A_off0p105_a0_r049n_independent_clock_reentry_wave.csv
R049N,20A,0.105,A0,baseline_same_model,late_settling,12.0,80.0,34000,2.0093183535299097,12.209,-0.8991337973940361,69.391,2.908452150923946,1.6802328638501063,-0.43436215648255927,0.0,0.0,nan,1.68500000000002,nan,E:\Desktop\codex\output\data\r049n_20A_off0p105_a0_r049n_independent_clock_reentry_wave.csv
R049N,20A,0.105,A2,independent_clock_one_shot_reentry,early_local_peak,0.0,2.0,1000,1.9439226308799462,0.429000000000033,-0.48257401535101163,1.73700000000003,2.426496646230958,1.6802328638501063,-0.4347046167785062,1.6899999999999875,1.6640000000000177,0.0710000000000337,1.68500000000002,1.735,E:\Desktop\codex\output\data\r049n_20A_off0p105_a2_independent_clock_r049n_independent_clock_reentry_wave.csv
R049N,20A,0.105,A2,independent_clock_one_shot_reentry,recovery_peak,2.0,12.0,5000,1.9730948729899112,11.041,-1.4459534551279907,4.159,3.419048328117902,1.6802328638501063,-0.4347046167785062,1.6899999999999875,1.6640000000000177,0.0710000000000337,1.68500000000002,1.735,E:\Desktop\codex\output\data\r049n_20A_off0p105_a2_independent_clock_r049n_independent_clock_reentry_wave.csv
R049N,20A,0.105,A2,independent_clock_one_shot_reentry,late_settling,12.0,80.0,34000,2.024144043069942,12.121,-0.9294257373130277,66.747,2.9535697803829697,1.6802328638501063,-0.4347046167785062,1.6899999999999875,1.6640000000000177,0.0710000000000337,1.68500000000002,1.735,E:\Desktop\codex\output\data\r049n_20A_off0p105_a2_independent_clock_r049n_independent_clock_reentry_wave.csv
