run,offset_us,controller,action_class,window,window_lo_us,window_hi_us,count,max_mV,max_time_us,min_mV,min_time_us,pp_mV,final_error_mV,release_clock_time_us,oneshot_time_us,inhibit_raw_duration_us,wave_csv
R049O,0.050,A0,baseline,early_local_peak,0.0,2.0,1000,2.097721737160052,0.484000000000085,0.07040286945003693,1.67800000000007,2.027318867710015,-0.4396748817909432,1.25000000000006,nan,0.0,E:\Desktop\codex\output\data\r049o_20A_off0p050_a0_r049o_release_timing_wave.csv
R049O,0.050,A0,baseline,recovery_peak,2.0,12.0,5000,2.1103300494300647,9.45400000000005,-0.4026078355210405,3.12400000000007,2.5129378849511053,-0.4396748817909432,1.25000000000006,nan,0.0,E:\Desktop\codex\output\data\r049o_20A_off0p050_a0_r049o_release_timing_wave.csv
R049O,0.050,A0,baseline,late_settling,12.0,80.0,34001,1.9391535433499474,12.7160000000001,-0.8909491406640102,72.4420000000001,2.8301026840139576,-0.4396748817909432,1.25000000000006,nan,0.0,E:\Desktop\codex\output\data\r049o_20A_off0p050_a0_r049o_release_timing_wave.csv
R049O,0.050,A2_1p250,release_1p250us,early_local_peak,0.0,2.0,1000,2.097721737160052,0.484000000000085,0.07040286945003693,1.67800000000007,2.027318867710015,-0.4396748817909432,1.25000000000006,1.31000000000008,1.6900000000000492,E:\Desktop\codex\output\data\r049o_20A_off0p050_a2_rel1p250_r049o_release_timing_wave.csv
R049O,0.050,A2_1p250,release_1p250us,recovery_peak,2.0,12.0,5000,2.1103300494300647,9.45400000000005,-0.4026078355210405,3.12400000000007,2.5129378849511053,-0.4396748817909432,1.25000000000006,1.31000000000008,1.6900000000000492,E:\Desktop\codex\output\data\r049o_20A_off0p050_a2_rel1p250_r049o_release_timing_wave.csv
R049O,0.050,A2_1p250,release_1p250us,late_settling,12.0,80.0,34001,1.9391535433499474,12.7160000000001,-0.8909491406640102,72.4420000000001,2.8301026840139576,-0.4396748817909432,1.25000000000006,1.31000000000008,1.6900000000000492,E:\Desktop\codex\output\data\r049o_20A_off0p050_a2_rel1p250_r049o_release_timing_wave.csv
R049O,0.050,A2_1p450,release_1p450us,early_local_peak,0.0,2.0,1000,2.097721737160052,0.484000000000085,0.07040286945003693,1.67800000000007,2.027318867710015,-0.4396748817909432,1.45000000000006,1.51000000000009,1.6900000000000492,E:\Desktop\codex\output\data\r049o_20A_off0p050_a2_rel1p450_r049o_release_timing_wave.csv
R049O,0.050,A2_1p450,release_1p450us,recovery_peak,2.0,12.0,5000,2.1103300494300647,9.45400000000005,-0.4026078355210405,3.12400000000007,2.5129378849511053,-0.4396748817909432,1.45000000000006,1.51000000000009,1.6900000000000492,E:\Desktop\codex\output\data\r049o_20A_off0p050_a2_rel1p450_r049o_release_timing_wave.csv
R049O,0.050,A2_1p450,release_1p450us,late_settling,12.0,80.0,34001,1.9391535433499474,12.7160000000001,-0.8909491406640102,72.4420000000001,2.8301026840139576,-0.4396748817909432,1.45000000000006,1.51000000000009,1.6900000000000492,E:\Desktop\codex\output\data\r049o_20A_off0p050_a2_rel1p450_r049o_release_timing_wave.csv
R049O,0.105,A0,baseline,early_local_peak,0.0,2.0,1000,1.9439226308799462,0.429000000000033,0.09497206043995732,1.99900000000003,1.848950570439989,-0.43436215648255927,1.25100000000002,nan,0.0,E:\Desktop\codex\output\data\r049o_20A_off0p105_a0_r049o_release_timing_wave.csv
R049O,0.105,A0,baseline,recovery_peak,2.0,12.0,5000,2.093564751320054,8.38900000000003,-0.0030137685369524547,2.49899999999999,2.0965785198570064,-0.43436215648255927,1.25100000000002,nan,0.0,E:\Desktop\codex\output\data\r049o_20A_off0p105_a0_r049o_release_timing_wave.csv
R049O,0.105,A0,baseline,late_settling,12.0,80.0,34000,2.0093183535299097,12.209,-0.8991337973940361,69.391,2.908452150923946,-0.43436215648255927,1.25100000000002,nan,0.0,E:\Desktop\codex\output\data\r049o_20A_off0p105_a0_r049o_release_timing_wave.csv
R049O,0.105,A2_1p250,release_1p250us,early_local_peak,0.0,2.0,1000,1.9439226308799462,0.429000000000033,0.09497206043995732,1.99900000000003,1.848950570439989,-0.43436215648255927,1.25100000000002,1.29500000000001,1.6899999999999875,E:\Desktop\codex\output\data\r049o_20A_off0p105_a2_rel1p250_r049o_release_timing_wave.csv
R049O,0.105,A2_1p250,release_1p250us,recovery_peak,2.0,12.0,5000,2.093564751320054,8.38900000000003,-0.0030137685369524547,2.49899999999999,2.0965785198570064,-0.43436215648255927,1.25100000000002,1.29500000000001,1.6899999999999875,E:\Desktop\codex\output\data\r049o_20A_off0p105_a2_rel1p250_r049o_release_timing_wave.csv
R049O,0.105,A2_1p250,release_1p250us,late_settling,12.0,80.0,34000,2.0093183535299097,12.209,-0.8991337973940361,69.391,2.908452150923946,-0.43436215648255927,1.25100000000002,1.29500000000001,1.6899999999999875,E:\Desktop\codex\output\data\r049o_20A_off0p105_a2_rel1p250_r049o_release_timing_wave.csv
R049O,0.105,A2_1p450,release_1p450us,early_local_peak,0.0,2.0,1000,1.9439226308799462,0.429000000000033,0.09497206043995732,1.99900000000003,1.848950570439989,-0.43436215648255927,1.45100000000002,1.49500000000001,1.6899999999999875,E:\Desktop\codex\output\data\r049o_20A_off0p105_a2_rel1p450_r049o_release_timing_wave.csv
R049O,0.105,A2_1p450,release_1p450us,recovery_peak,2.0,12.0,5000,2.093564751320054,8.38900000000003,-0.0030137685369524547,2.49899999999999,2.0965785198570064,-0.43436215648255927,1.45100000000002,1.49500000000001,1.6899999999999875,E:\Desktop\codex\output\data\r049o_20A_off0p105_a2_rel1p450_r049o_release_timing_wave.csv
R049O,0.105,A2_1p450,release_1p450us,late_settling,12.0,80.0,34000,2.0093183535299097,12.209,-0.8991337973940361,69.391,2.908452150923946,-0.43436215648255927,1.45100000000002,1.49500000000001,1.6899999999999875,E:\Desktop\codex\output\data\r049o_20A_off0p105_a2_rel1p450_r049o_release_timing_wave.csv
