run,offset_us,controller,action_class,window,window_lo_us,window_hi_us,count,max_mV,max_time_us,min_mV,min_time_us,pp_mV,release_clock_time_us,oneshot_time_us,inhibit_raw_duration_us,wave_csv
R049Q,0.050,A0,baseline,early_local_peak,0.0,2.0,1000,2.097721737160052,0.484000000000085,0.07040286945003693,1.67800000000007,2.027318867710015,1.63000000000008,nan,0.0,E:\Desktop\codex\output\data\r049q_20A_off0p050_a0_r049q_release_later_point_wave.csv
R049Q,0.050,A0,baseline,recovery_peak,2.0,12.0,5000,2.1103300494300647,9.45400000000005,-0.4026078355210405,3.12400000000007,2.5129378849511053,1.63000000000008,nan,0.0,E:\Desktop\codex\output\data\r049q_20A_off0p050_a0_r049q_release_later_point_wave.csv
R049Q,0.050,A0,baseline,late_settling,12.0,80.0,34001,1.9391535433499474,12.7160000000001,-0.8909491406640102,72.4420000000001,2.8301026840139576,1.63000000000008,nan,0.0,E:\Desktop\codex\output\data\r049q_20A_off0p050_a0_r049q_release_later_point_wave.csv
R049Q,0.050,A2_1p630,release_1p630us,early_local_peak,0.0,2.0,1000,2.097721737160052,0.484000000000085,0.07040286945003693,1.67800000000007,2.027318867710015,1.63000000000008,1.67000000000006,1.6900000000000492,E:\Desktop\codex\output\data\r049q_20A_off0p050_a2_rel1p630_r049q_release_later_point_wave.csv
R049Q,0.050,A2_1p630,release_1p630us,recovery_peak,2.0,12.0,5000,2.1103300494300647,9.45400000000005,-0.4026078355210405,3.12400000000007,2.5129378849511053,1.63000000000008,1.67000000000006,1.6900000000000492,E:\Desktop\codex\output\data\r049q_20A_off0p050_a2_rel1p630_r049q_release_later_point_wave.csv
R049Q,0.050,A2_1p630,release_1p630us,late_settling,12.0,80.0,34001,1.9391535433499474,12.7160000000001,-0.8909491406640102,72.4420000000001,2.8301026840139576,1.63000000000008,1.67000000000006,1.6900000000000492,E:\Desktop\codex\output\data\r049q_20A_off0p050_a2_rel1p630_r049q_release_later_point_wave.csv
R049Q,0.105,A0,baseline,early_local_peak,0.0,2.0,1000,1.9439226308799462,0.429000000000033,0.09497206043995732,1.99900000000003,1.848950570439989,1.63100000000004,nan,0.0,E:\Desktop\codex\output\data\r049q_20A_off0p105_a0_r049q_release_later_point_wave.csv
R049Q,0.105,A0,baseline,recovery_peak,2.0,12.0,5000,2.093564751320054,8.38900000000003,-0.0030137685369524547,2.49899999999999,2.0965785198570064,1.63100000000004,nan,0.0,E:\Desktop\codex\output\data\r049q_20A_off0p105_a0_r049q_release_later_point_wave.csv
R049Q,0.105,A0,baseline,late_settling,12.0,80.0,34000,2.0093183535299097,12.209,-0.8991337973940361,69.391,2.908452150923946,1.63100000000004,nan,0.0,E:\Desktop\codex\output\data\r049q_20A_off0p105_a0_r049q_release_later_point_wave.csv
R049Q,0.105,A2_1p630,release_1p630us,early_local_peak,0.0,2.0,1000,1.9439226308799462,0.429000000000033,-0.3381120845069585,1.69699999999999,2.2820347153869047,1.63100000000004,1.69500000000002,1.6899999999999875,E:\Desktop\codex\output\data\r049q_20A_off0p105_a2_rel1p630_r049q_release_later_point_wave.csv
R049Q,0.105,A2_1p630,release_1p630us,recovery_peak,2.0,12.0,5000,1.9570150827799004,9.94900000000004,-1.1138665519979662,3.63700000000002,3.0708816347778667,1.63100000000004,1.69500000000002,1.6899999999999875,E:\Desktop\codex\output\data\r049q_20A_off0p105_a2_rel1p630_r049q_release_later_point_wave.csv
R049Q,0.105,A2_1p630,release_1p630us,late_settling,12.0,80.0,34000,2.075932842179995,12.069,-0.8395664991960317,74.5990000000001,2.9154993413760266,1.63100000000004,1.69500000000002,1.6899999999999875,E:\Desktop\codex\output\data\r049q_20A_off0p105_a2_rel1p630_r049q_release_later_point_wave.csv
