event_index,event_time,phase_idx,A_before_tr,Lambda_i,A_minus_Lambda,h_mean_since_last_event,period
1.0,4.8e-07,0.0,5.64826488033187e-09,3e-10,5.3482648803318695e-09,-0.09240423108107801,nan
2.0,9.62e-07,1.0,1.09257240889919e-08,3e-10,1.06257240889919e-08,0.01114550243271143,4.820000000000001e-07
3.0,1.926e-06,3.0,7.95462862759709e-09,3e-10,7.65462862759709e-09,0.016234508692874402,9.639999999999998e-07
4.0,2.408e-06,0.0,9.42804947675802e-09,3e-10,9.128049476758021e-09,0.021425330148144114,4.820000000000002e-07
5.0,2.89e-06,1.0,8.58883088217182e-09,3e-10,8.28883088217182e-09,0.019891939909779124,4.819999999999998e-07
6.0,3.372e-06,2.0,9.85597098448651e-09,3e-10,9.555970984486511e-09,0.022460558663632547,4.820000000000002e-07
7.0,3.85400000000005e-06,3.0,1.10984822799081e-08,3e-10,1.07984822799081e-08,0.025304392840191807,4.820000000000498e-07
8.0,4.81800000000005e-06,1.0,1.15504485286098e-08,3e-10,1.12504485286098e-08,0.027302381610770966,9.640000000000004e-07
9.0,5.30000000000005e-06,2.0,1.24505743995032e-08,3e-10,1.2150574399503201e-08,0.028471266724954356,4.819999999999998e-07
10.0,5.782e-06,3.0,1.33737272409154e-08,3e-10,1.3073727240915401e-08,0.03059104710808462,4.819999999999498e-07
11.0,6.264e-06,0.0,1.42775039829153e-08,3e-10,1.3977503982915301e-08,0.03264208516144374,4.819999999999998e-07
12.0,6.74600000000005e-06,1.0,1.36691769093716e-08,3e-10,1.3369176909371601e-08,0.031392985065691846,4.820000000000506e-07
13.0,7.71e-06,3.0,1.50604479736772e-08,3e-10,1.4760447973677202e-08,0.03370260397252939,9.639999999999505e-07
14.0,8.192e-06,0.0,1.56340886704799e-08,3e-10,1.53340886704799e-08,0.03583346639741702,4.819999999999998e-07
15.0,8.674e-06,1.0,1.51425304799929e-08,3e-10,1.48425304799929e-08,0.03475771127235847,4.819999999999998e-07
16.0,9.15600000000011e-06,2.0,1.56523477253956e-08,3e-10,1.53523477253956e-08,0.03587415564387137,4.820000000001099e-07
17.0,9.63800000000011e-06,3.0,1.61770844854577e-08,3e-10,1.58770844854577e-08,0.03707113530205774,4.819999999999998e-07
18.0,1.012e-05,0.0,1.81386731729471e-08,3e-10,1.78386731729471e-08,0.03808698540468676,4.819999999998897e-07
19.0,1.0602e-05,1.0,1.59776901667771e-08,3e-10,1.5677690166777102e-08,0.03668125249900183,4.819999999999998e-07
20.0,1.1084e-05,2.0,1.63451345596573e-08,3e-10,1.6045134559657302e-08,0.037375728586581614,4.819999999999998e-07
21.0,1.1566e-05,3.0,1.67255973788822e-08,3e-10,1.64255973788822e-08,0.0382247836558674,4.820000000000015e-07
22.0,1.2048e-05,0.0,1.70339601000313e-08,3e-10,1.6733960100031302e-08,0.038945045420556094,4.819999999999998e-07
23.0,1.25300000000001e-05,1.0,1.64873111321859e-08,3e-10,1.61873111321859e-08,0.03786219689529591,4.820000000000997e-07
24.0,1.30120000000001e-05,2.0,1.6730442795506e-08,3e-10,1.6430442795506e-08,0.03829549934578866,4.819999999999998e-07
25.0,1.3494e-05,3.0,1.69852559234685e-08,3e-10,1.66852559234685e-08,0.03887446326145783,4.819999999998998e-07
26.0,1.3976e-05,0.0,1.71761150897377e-08,3e-10,1.68761150897377e-08,0.039319883408292865,4.819999999999998e-07
27.0,1.4458e-05,1.0,1.66068660671661e-08,3e-10,1.63068660671661e-08,0.03813005651087013,4.819999999999998e-07
28.0,1.494e-05,2.0,1.6740178614672e-08,3e-10,1.6440178614672e-08,0.038357979627715685,4.819999999999998e-07
29.0,1.5422e-05,3.0,1.68841943287318e-08,3e-10,1.65841943287318e-08,0.03868255636586088,4.819999999999998e-07
30.0,1.5904e-05,0.0,1.69361142086924e-08,3e-10,1.6636114208692402e-08,0.03883231422764693,4.819999999999998e-07
31.0,1.6386e-05,1.0,1.63362365487838e-08,3e-10,1.60362365487838e-08,0.03752853491347755,4.819999999999998e-07
32.0,1.6868e-05,2.0,1.63589394909609e-08,3e-10,1.6058939490960902e-08,0.037540946014664484,4.819999999999998e-07
