case,severity,tau_ai_us,delay_events,update_us,update_events,policy,seed,reward,max_abs_v_mV,max_abs_phase_ns,max_abs_i_mA,violations,skip_events,projected_count,control_energy,tail_state_cost_mean,tail_abs_phase_ns_mean,tail_abs_i_mA_mean,settle_us,final_abs_v_mV,final_abs_phase_ns,final_abs_i_mA
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,0,-32.357658303476356,4.854227157512064,49.389232334610256,332.41479276551485,0,0,0,0.0,0.121469634684852,6.909459539385255,16.242228355201526,41.0,0.05678725288099705,0.44469911202515416,1.620636836092348
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,1,-33.22408763236037,4.935504549513162,54.10809071750579,321.56529766641853,0,0,0,0.0,0.12408847448965574,6.8950844574267265,16.55848741560779,40.0,0.18760558566491553,0.7868084213092771,7.459510448962055
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,2,-28.39054651482406,4.510868890243423,47.52177668418311,295.54277598128374,0,0,0,0.0,0.1065732114312245,6.448111216209036,14.573458629163841,40.0,0.005676594864955541,0.6429702179310144,2.176362026627051
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,3,-34.715254035542245,5.4378658396033455,38.08672818766802,324.63345963540223,0,0,0,0.0,0.13155691971957362,5.733450705808116,14.854046363192417,43.0,0.16465327163705745,0.6190677953063499,1.251241113831803
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,4,-33.610071652264146,4.738763070501645,49.4125924941619,368.23033969869186,0,0,0,0.0,0.12602565440733768,7.140083990890708,16.437363027417987,44.5,0.004017470748379222,0.2786417887096359,6.642410907859672
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,5,-22.99358171839655,3.8933655087923684,43.63683377709144,301.3073432266663,0,0,0,0.0,0.08543644873435399,5.962296068317949,12.56151498114188,38.0,0.07533203937239162,0.1362805551548938,1.508351919516413
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,6,-29.835701081872408,4.819245260009246,58.88245651908497,220.63478565400453,0,0,0,0.0,0.11132608602113245,6.62784436870091,10.063276890217963,40.0,0.10875468366973202,0.2136399371407791,2.481016064560879
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,7,-27.342710263100926,4.383437274881778,51.493727687542346,300.40517506232237,0,0,0,0.0,0.1013181037921706,6.574551967344686,12.544343570525939,36.5,0.01270122570625379,0.4974912125623126,2.324324991951415
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,8,-18.403833169992367,3.4491036000228696,43.316786034094335,262.36126520022543,0,0,0,0.0,0.06831784058713117,5.93138270704893,12.6552539959384,33.0,0.0467490846049551,0.5228056173701539,0.252358946117888
40A_to_20A,0.5,0.0,0,2.0,4,no_ai,9,-22.95659493496629,3.8706368499182604,51.21424953539501,252.02791005352185,0,0,0,0.0,0.08542300440625322,6.402011260757874,10.76258850869331,36.0,0.04086578309972713,0.8135586146389897,1.440118407575336
