context_id,tau_ai_us,delay_events,target_load_A,target_label,load_drop_norm,objective,objective_alpha_settle,n_candidate_policies,best_policy,best_selected_ref_slew_us,best_objective_score,second_best_policy,second_best_score,decision_margin
tau0.5_targetnear0A_base,0.5,1,0.001,near0A,0.9999750000000001,base,0.0,5,oracle_base_table,60.0,16.60718088135,table_settle005,16.60718088135,0.0
tau0.5_targetnear0A_score_settle005,0.5,1,0.001,near0A,0.9999750000000001,score_settle005,0.05,5,table_settle010,30.0,18.0631436397149,oracle_base_table,18.37548088135,0.3123372416350989
tau0.5_targetnear0A_score_settle010,0.5,1,0.001,near0A,0.9999750000000001,score_settle010,0.1,5,table_settle010,30.0,18.7810436397149,fixed_40us_precommitted,19.8657575226316,1.0847138829167022
tau0.5_target10A_base,0.5,1,10.0,10A,0.75,base,0.0,5,oracle_base_table,80.0,8.7489406073792,fixed_80us_precommitted,8.82504576097426,0.07610515359506032
tau0.5_target10A_score_settle005,0.5,1,10.0,10A,0.75,score_settle005,0.05,5,table_settle010,30.0,9.78909977614065,table_settle005,9.97895863160984,0.1898588554691898
tau0.5_target10A_score_settle010,0.5,1,10.0,10A,0.75,score_settle010,0.1,5,table_settle010,30.0,10.2768997761406,table_settle005,11.0608586316098,0.7839588554692014
tau0.5_target20A_base,0.5,1,20.0,20A,0.5,base,0.0,5,oracle_base_table,80.0,2.04163672310345,fixed_80us_precommitted,2.27271123170482,0.2310745086013699
tau0.5_target20A_score_settle005,0.5,1,20.0,20A,0.5,score_settle005,0.05,5,fixed_40us_precommitted,40.0,2.54681606393003,oracle_base_table,2.76173672310345,0.21492065917342007
tau0.5_target20A_score_settle010,0.5,1,20.0,20A,0.5,score_settle010,0.1,5,fixed_40us_precommitted,40.0,2.59371606393003,table_settle005,2.83164769188035,0.2379316279503203
tau1_targetnear0A_base,1.0,2,0.001,near0A,0.9999750000000001,base,0.0,5,oracle_base_table,60.0,14.4299733822094,table_settle005,14.4299733822094,0.0
tau1_targetnear0A_score_settle005,1.0,2,0.001,near0A,0.9999750000000001,score_settle005,0.05,5,table_settle010,30.0,15.9827429400467,oracle_base_table,16.2307733822094,0.24803044216269932
tau1_targetnear0A_score_settle010,1.0,2,0.001,near0A,0.9999750000000001,score_settle010,0.1,5,table_settle010,30.0,16.6888429400467,oracle_base_table,18.0315733822094,1.3427304421627007
tau1_target10A_base,1.0,2,10.0,10A,0.75,base,0.0,5,table_settle005,50.0,8.5144486343165,oracle_base_table,8.75328885093995,0.23884021662344956
tau1_target10A_score_settle005,1.0,2,10.0,10A,0.75,score_settle005,0.05,5,table_settle010,30.0,9.43234183158927,table_settle005,9.6825486343165,0.25020680272723084
tau1_target10A_score_settle010,1.0,2,10.0,10A,0.75,score_settle010,0.1,5,table_settle010,30.0,9.91554183158928,table_settle005,10.8506486343165,0.9351068027272191
tau1_target20A_base,1.0,2,20.0,20A,0.5,base,0.0,5,fixed_80us_precommitted,80.0,2.27271123170482,fixed_40us_precommitted,2.49991606393003,0.22720483222521004
tau1_target20A_score_settle005,1.0,2,20.0,20A,0.5,score_settle005,0.05,5,fixed_40us_precommitted,40.0,2.54681606393003,fixed_80us_precommitted,2.99321123170482,0.44639516777478994
tau1_target20A_score_settle010,1.0,2,20.0,20A,0.5,score_settle010,0.1,5,fixed_40us_precommitted,40.0,2.59371606393003,fixed_80us_precommitted,3.71371123170482,1.1199951677747904
tau2_targetnear0A_base,2.0,4,0.001,near0A,0.9999750000000001,base,0.0,5,oracle_base_table,60.0,14.0868641395692,table_settle005,14.0868641395692,0.0
tau2_targetnear0A_score_settle005,2.0,4,0.001,near0A,0.9999750000000001,score_settle005,0.05,5,oracle_base_table,60.0,15.8608641395692,table_settle005,15.8608641395692,0.0
tau2_targetnear0A_score_settle010,2.0,4,0.001,near0A,0.9999750000000001,score_settle010,0.1,5,oracle_base_table,60.0,17.6348641395692,table_settle005,17.6348641395692,0.0
tau2_target10A_base,2.0,4,10.0,10A,0.75,base,0.0,5,table_settle005,50.0,8.18030156788186,table_settle010,8.81147368514153,0.6311721172596698
