controller_mode,base_load_A,target_load_A,time_us,vout_V
hold,40,20,0,1.00156823121042
hold,40,20,0.03,1.00159529855016
hold,40,20,0.06,1.00162156905035
hold,40,20,0.09,1.00164517992125
hold,40,20,0.12,1.00166613584425
hold,40,20,0.15,1.00168444149932
hold,40,20,0.18,1.00170010156497
hold,40,20,0.21,1.00171312071831
hold,40,20,0.24,1.00172350363497
hold,40,20,0.27,1.00173125498911
hold,40,20,0.3,1.00173637945345
hold,40,20,0.33,1.0017388816992
hold,40,20,0.36,1.00173876639611
hold,40,20,0.39,1.0017360382124
hold,40,20,0.42,1.00173070181479
hold,40,20,0.45,1.00172276186849
hold,40,20,0.48,1.00171222303719
hold,40,20,0.51,1.00169908998301
hold,40,20,0.54,1.00168336736656
hold,40,20,0.57,1.00166505984686
hold,40,20,0.6,1.00164417208139
hold,40,20,0.63,1.00162070872605
hold,40,20,0.66,1.00159467443514
hold,40,20,0.69,1.00156607386138
hold,40,20,0.72,1.0015349116559
hold,40,20,0.75,1.00150119246818
hold,40,20,0.78,1.00146492094611
hold,40,20,0.81,1.00142610173595
hold,40,20,0.84,1.00138473948229
hold,40,20,0.87,1.00134083882811
hold,40,20,0.9,1.0012944044147
hold,40,20,0.93,1.0012454408817
hold,40,20,0.96,1.00119395286707
hold,40,20,0.99,1.00113994500708
hold,40,20,1.02,1.00108342193631
hold,40,20,1.05,1.00102438828763
hold,40,20,1.08,1.00104419600279
hold,40,20,1.11,1.00114897521291
hold,40,20,1.14,1.00125837380882
hold,40,20,1.17,1.00137238325758
hold,40,20,1.2,1.0014909950295
hold,40,20,1.23,1.00161420059808
hold,40,20,1.26,1.0017005862716
hold,40,20,1.29,1.00166432801818
hold,40,20,1.32,1.00162699137833
hold,40,20,1.35,1.00158710852705
hold,40,20,1.38,1.00154468410911
hold,40,20,1.41,1.00149972276759
hold,40,20,1.44,1.00145222914394
hold,40,20,1.47,1.00140220787792
hold,40,20,1.5,1.0013496636076
hold,40,20,1.53,1.0012946009694
hold,40,20,1.56,1.00129628683961
hold,40,20,1.59,1.00140406680464
hold,40,20,1.62,1.0015164601397
hold,40,20,1.65,1.00163345831479
hold,40,20,1.68,1.00175505280311
hold,40,20,1.71,1.00188123508113
hold,40,20,1.74,1.00198247259183
hold,40,20,1.77,1.00194868872396
hold,40,20,1.8,1.00191478606016
hold,40,20,1.83,1.00187833031034
hold,40,20,1.86,1.00183932612255
hold,40,20,1.89,1.00179777814323
hold,40,20,1.92,1.00175369101716
hold,40,20,1.95,1.00170706938746
hold,40,20,1.98,1.00165791789558
hold,40,20,2.01,1.00160624118128
hold,40,20,2.04,1.00155204388267
hold,40,20,2.07,1.00149533063612
hold,40,20,2.1,1.00144394203884
hold,40,20,2.13,1.00154500284178
hold,40,20,2.16,1.00165339200764
hold,40,20,2.19,1.00176639280223
hold,40,20,2.22,1.00188399669707
hold,40,20,2.25,1.00200619516692
hold,40,20,2.28,1.00213297968975
hold,40,20,2.31,1.00212123648161
hold,40,20,2.34,1.0020857068987
hold,40,20,2.37,1.00204762668522
hold,40,20,2.4,1.0020070004891
hold,40,20,2.43,1.00196383295663
hold,40,20,2.46,1.00191812873243
hold,40,20,2.49,1.00186989245946
hold,40,20,2.52,1.00181912877901
hold,40,20,2.55,1.00176584233067
hold,40,20,2.58,1.00171003775235
hold,40,20,2.61,1.00165171968026
hold,40,20,2.64,1.0015908927489
hold,40,20,2.67,1.00160913238079
hold,40,20,2.7,1.00171213139658
hold,40,20,2.73,1.00181975150709
hold,40,20,2.76,1.00193198418099
hold,40,20,2.79,1.00204882089014
hold,40,20,2.82,1.00217025310963
hold,40,20,2.85,1.00224323182297
hold,40,20,2.88,1.00220479143799
hold,40,20,2.91,1.00216518474737
hold,40,20,2.94,1.00212303448965
hold,40,20,2.97,1.00207834531079
hold,40,20,3.002,1.0020278836308
hold,40,20,3.032,1.00197796206359
hold,40,20,3.062,1.00192551581242
hold,40,20,3.092,1.00187054951641
hold,40,20,3.122,1.001813067813
hold,40,20,3.152,1.00175307533791
hold,40,20,3.182,1.00169832002147
hold,40,20,3.212,1.00179610283761
hold,40,20,3.242,1.00190122401805
hold,40,20,3.272,1.00201096200733
hold,40,20,3.302,1.00212530827626
hold,40,20,3.332,1.00224425429886
hold,40,20,3.362,1.00236779155234
hold,40,20,3.392,1.0023536736546
hold,40,20,3.422,1.00231494466141
hold,40,20,3.452,1.00227367014526
hold,40,20,3.482,1.00222985475329
hold,40,20,3.512,1.00218350313101
hold,40,20,3.542,1.00213461992223
hold,40,20,3.572,1.00208320976911
hold,40,20,3.602,1.0020292773121
hold,40,20,3.632,1.00197282718997
hold,40,20,3.662,1.00191386403979
hold,40,20,3.692,1.00185239249689
hold,40,20,3.722,1.00178841719491
hold,40,20,3.752,1.00172194276573
hold,40,20,3.782,1.0016529738395
hold,40,20,3.812,1.00158151504463
hold,40,20,3.842,1.00150756826139
hold,40,20,3.872,1.00143114364326
hold,40,20,3.902,1.00140785138434
hold,40,20,3.932,1.00149417874058
hold,40,20,3.962,1.00158515749666
hold,40,20,3.992,1.0016807791106
hold,40,20,4.022,1.00178103504357
hold,40,20,4.052,1.00188591675988
hold,40,20,4.082,1.00199541572703
hold,40,20,4.112,1.00196667349645
hold,40,20,4.142,1.00191393159286
hold,40,20,4.172,1.0018586702019
hold,40,20,4.202,1.00180089396078
hold,40,20,4.232,1.00174060750499
hold,40,20,4.262,1.00167781546831
hold,40,20,4.292,1.00161252248281
hold,40,20,4.322,1.00154473041453
hold,40,20,4.352,1.00147444944933
hold,40,20,4.382,1.00143775662872
hold,40,20,4.412,1.0015242069838
hold,40,20,4.442,1.00162022769491
hold,40,20,4.472,1.00172088218228
hold,40,20,4.502,1.00182616191011
hold,40,20,4.532,1.00193605834582
hold,40,20,4.562,1.00205056296001
hold,40,20,4.592,1.00203805348106
hold,40,20,4.622,1.00199077617037
hold,40,20,4.652,1.00194096942673
hold,40,20,4.682,1.00188863789086
hold,40,20,4.712,1.00183378620177
hold,40,20,4.742,1.00177641899679
hold,40,20,4.772,1.00171654091155
hold,40,20,4.802,1.00165415657996
hold,40,20,4.832,1.00158926786579
hold,40,20,4.862,1.00154598429382
hold,40,20,4.892,1.00162700214265
hold,40,20,4.922,1.00172743389783
hold,40,20,4.952,1.00183249128394
hold,40,20,4.982,1.00194216576826
hold,40,20,5.012,1.00205644882123
hold,40,20,5.042,1.00217533191652
hold,40,20,5.072,1.00217924577539
hold,40,20,5.102,1.00213684471548
hold,40,20,5.132,1.00209190514566
hold,40,20,5.162,1.00204443171014
hold,40,20,5.192,1.00199442905145
hold,40,20,5.222,1.00194190181045
hold,40,20,5.252,1.0018868546263
hold,40,20,5.282,1.00182929213647
hold,40,20,5.312,1.00176921897671
hold,40,20,5.342,1.00170650225417
hold,40,20,5.372,1.0017785659886
hold,40,20,5.402,1.00188218979048
hold,40,20,5.432,1.00199043312552
hold,40,20,5.462,1.00210328746356
hold,40,20,5.492,1.00222074427765
hold,40,20,5.522,1.00234279504402
hold,40,20,5.552,1.00235986821513
hold,40,20,5.582,1.00232104896987
hold,40,20,5.612,1.00227968434668
hold,40,20,5.642,1.00223577899266
hold,40,20,5.672,1.00218933755331
hold,40,20,5.702,1.00214036467241
hold,40,20,5.732,1.0020888649921
hold,40,20,5.762,1.00203484315281
hold,40,20,5.792,1.00197830379327
hold,40,20,5.822,1.00191925155053
hold,40,20,5.852,1.00185769105991
hold,40,20,5.882,1.00179362695499
hold,40,20,5.912,1.00172706386766
hold,40,20,5.942,1.00165800642802
hold,40,20,5.972,1.00162422218422
hold,40,20,6.002,1.00171712028199
hold,40,20,6.032,1.00181465747733
hold,40,20,6.062,1.00191682523313
hold,40,20,6.092,1.0020236150154
hold,40,20,6.122,1.00213501829334
hold,40,20,6.152,1.00224223377652
hold,40,20,6.182,1.00219496742832
hold,40,20,6.212,1.00214728302487
hold,40,20,6.242,1.00209706950619
hold,40,20,6.272,1.00204433151349
hold,40,20,6.302,1.00198907368629
hold,40,20,6.332,1.0019313006624
hold,40,20,6.362,1.00187101707793
hold,40,20,6.392,1.00180822756728
hold,40,20,6.422,1.00174293676311
hold,40,20,6.452,1.00167514929634
hold,40,20,6.482,1.00166460844338
hold,40,20,6.512,1.00175972755132
hold,40,20,6.542,1.0018594816849
hold,40,20,6.572,1.00196386230848
hold,40,20,6.602,1.00207286088957
hold,40,20,6.632,1.00218646889885
hold,40,20,6.662,1.00228708266436
hold,40,20,6.692,1.00223957022565
hold,40,20,6.722,1.00219360651762
hold,40,20,6.752,1.00214511050497
hold,40,20,6.782,1.00209408683012
hold,40,20,6.812,1.00204054013379
hold,40,20,6.842,1.00198447505503
