target_label,target_load_A,load_drop_norm,ref_slew_us,skip_count_est,final_phase_spacing_std_ns,settle_time_us,undershoot_mV,source_grid,baseline_skip_count,excess_skip_count,alpha_settle,proxy_type,deployable_inputs,deployment_boundary
10A,10.0,0.75,20,1,83.5119725209874,10.676,5.74633523237844,dense_long,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,30,1,108.860001837568,10.186,5.25500364116427,dense_long,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,32,1,88.2482723669349,10.158,5.18878165533221,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,34,1,88.0342564174254,15.2280000000001,5.14617078943369,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,35,1,103.153937629081,15.2600000000001,5.11898044713011,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,36,1,100.557235323066,15.314,5.0918022187646,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,38,1,87.5577731351425,17.5560000000001,5.053006358959,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,40,1,91.29556151628,17.534,5.01028636671008,dense_long,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,50,1,79.7841311007952,20.5380000000001,4.84748739227403,dense_long,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,60,1,105.137663265574,29.034,4.76620200153932,dense_long,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,62,1,85.3659235830467,27.3860000000001,4.73912126375797,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,64,1,79.8608638549349,26.806,4.73912126375797,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,66,1,109.754374524763,31.35,4.72731862835063,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,68,1,90.213537699728,29.1340000000001,4.72731862835063,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,70,1,75.9411003028226,30.79,4.67957001179586,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,80,1,82.1829076099372,34.286,4.63087064829415,dense_long,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,84,1,85.3699169914353,37.682,4.63087064829415,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,86,1,82.2236878793438,38.788,4.60382233665269,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,88,1,82.04342139712,38.824,4.60382233665269,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,90,1,97.1049012859554,38.292,4.60382233665269,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,92,1,88.2172335939625,40.572,4.60382233665269,fine,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,100,1,101.157860079421,45.676,4.57679637764241,dense_long,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
10A,10.0,0.75,120,1,90.7097302281097,53.222,4.53410803498733,dense_long,1,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,20,1,31.9413877640801,0.938000000000024,1.43399904411767,dense_long,0,1,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,30,0,37.0921617490197,0.938000000000024,1.26719882798709,dense_long,0,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,32,1,75.2643384023023,0.938000000000024,1.25339265943403,fine,0,1,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,34,0,36.6473855647572,0.938000000000024,1.25339265943403,fine,0,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,35,1,29.4072219417808,0.938000000000024,1.22753887773386,fine,0,1,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,36,1,40.8032056024008,0.938000000000024,1.22753887773386,fine,0,1,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,38,0,36.3447339051344,0.938000000000024,1.21068108454891,fine,0,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,40,0,43.3359485758766,0.938000000000024,1.19940112760242,dense_long,0,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,50,1,36.4937986024832,0.938000000000024,1.16345388449934,dense_long,0,1,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,60,1,36.9127241807925,10.062,1.12582319014076,dense_long,0,1,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,62,1,35.9008776475458,10.0880000000001,1.12582319014076,fine,0,1,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,64,1,37.8563112255317,10.0880000000001,1.12582319014076,fine,0,1,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,66,0,40.007102545006,0.938000000000024,1.11287107294222,fine,0,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,68,0,52.0238557241504,12.2440000000001,1.11287107294222,fine,0,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,70,0,36.8765824996862,14.372,1.11287107294222,fine,0,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,80,0,37.1400221295455,14.41,1.0943598016524,dense_long,0,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,84,0,45.9869637344513,14.3920000000001,1.0943598016524,fine,0,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,86,0,30.0147825435648,14.404,1.0943598016524,fine,0,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,88,1,42.4793605534499,14.398,1.0943598016524,fine,0,1,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,90,0,39.3475357749328,16.512,1.07689752922169,fine,0,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,92,0,43.3520285535658,16.512,1.07689752922169,fine,0,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,100,0,53.2237613167088,16.556,1.07689752922169,dense_long,0,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
20A,20.0,0.5,120,1,43.2618953778815,19.2260000000001,1.05841728359568,dense_long,0,1,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
near0A,0.001,0.999975,20,2,122.687426191699,22.272,12.6631113910947,dense_long,2,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
near0A,0.001,0.999975,30,2,107.601256046834,14.796,11.5919004786901,dense_long,2,0,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
near0A,0.001,0.999975,32,3,86.91105946832,19.3560000000001,11.2555329077273,fine,2,1,0.0,offline_calibrated_grid_table,"target_load_A, load_drop_norm, ref_slew_us; tau_AI used as safety margin",usable as a precomputed supervisor table for measured grid points; interpolation and hardware transfer need separate validation
