pattern,amp_area,phase_current_rms_mA,phase_current_pkpk_mA,wait_pkpk_ns,mean_wait_dev_ns,phase_current_dev_mA
m1_cos,1e-13,5.502596222791671e-05,0.00014378013357685404,0.13333438523103008,0.0666704 -8.91432e-06 -0.0666639 7.92558e-06,-2.97971e-05 -7.18844e-05 2.97858e-05 7.18957e-05
m1_cos,2e-13,0.00011005621457240775,0.0002875790237055753,0.2666687748577372,0.133348 -1.86541e-05 -0.133321 1.50277e-05,-5.95892e-05 -0.000143776 5.95631e-05 0.000143803
m1_cos,4e-13,0.0002201322179847953,0.0005751838187961766,0.5333375627003466,0.266722 -4.06041e-05 -0.266616 2.67623e-05,-0.000119256 -0.00028753 0.000119133 0.000287654
m1_cos,8e-13,0.0004402759235129362,0.0011504125270178633,1.0666753085836316,0.53355 -9.43827e-05 -0.533125 4.03549e-05,-0.000238698 -0.000574885 0.000238055 0.000575527
m2_alt,1e-13,2.65614131496889e-05,5.322073803881722e-05,0.13333081948811265,0.0666683 -0.0666626 0.0666682 -0.0666626,-2.64746e-05 2.655e-05 -2.66481e-05 2.65727e-05
m2_alt,2e-13,5.3110678658492364e-05,0.00010641690995072395,0.26666164225759115,0.133342 -0.133319 0.133342 -0.133319,-5.29372e-05 5.3088e-05 -5.32839e-05 5.3133e-05
m2_alt,4e-13,0.00010621016764072299,0.00021281449757992732,0.5333232918748869,0.266708 -0.266615 0.266708 -0.266615,-0.000105861 0.000106164 -0.000106559 0.000106256
m2_alt,8e-13,0.0002123866104416238,0.00042557352752936595,1.0666466313845313,0.533509 -0.533137 0.533509 -0.533137,-0.000211684 0.000212286 -0.000213088 0.000212486
one_phase,1e-13,3.774926973096322e-05,9.590436977902073e-05,0.0888973432809152,0.06667 -0.0222274 -0.0222229 -0.0222161,-2.86986e-05 -3.91004e-05 1.0995e-05 5.6804e-05
one_phase,2e-13,7.548521713106406e-05,0.00019176312715529775,0.1778013381642594,0.133347 -0.0444544 -0.0444456 -0.044432,-5.74025e-05 -7.81689e-05 2.19772e-05 0.000113594
one_phase,4e-13,0.00015100883818220285,0.000383622173139031,0.3556293066030202,0.266722 -0.0889077 -0.08889 -0.0888628,-0.000114837 -0.000156374 4.39628e-05 0.000227248
one_phase,8e-13,0.00030217905915553157,0.000767550292657404,0.711365167260482,0.533554 -0.177811 -0.177776 -0.177721,-0.000229924 -0.000312843 8.8059e-05 0.000454707
