case,events,burn,max_abs_wait_exact_ns,rms_wait_exact_ns,rms_wait_pred_ns,rms_wait_error_ps,rms_wait_error_pct,max_wait_error_ps,max_wait_error_pct_of_peak,max_state_error,max_current_error_mA,dataset,input_type,input_pattern,amplitude_si,amplitude_label,ton_pattern,lambda_pattern_vector,ton_pattern_vector
lambda_common_2.500e-14,900,120,0.009891841647868872,0.007181315032578157,0.007181249303871044,6.647560322674098e-05,0.0009256745167865952,9.485033368480586e-05,0.0009588743639587145,2.406804843728546e-09,2.433750978525495e-06,amplitude_sweep,Lambda,common,2.5e-14,0.25e-13 V*s,,2.5e-14 2.5e-14 2.5e-14 2.5e-14,0 0 0 0
lambda_common_5.000e-14,900,120,0.019783818513059888,0.01436272468717215,0.014362498607742087,0.00022749384907251856,0.0015839184697016523,0.00032290827927559127,0.001632183792337308,8.950063513230022e-09,8.975832521684879e-06,amplitude_sweep,Lambda,common,5e-14,0.5e-13 V*s,,5e-14 5e-14 5e-14 5e-14,0 0 0 0
lambda_common_1.000e-13,900,120,0.039568278410796506,0.028725890771072682,0.028724997215484174,0.0008999969958087372,0.0031330516535802086,0.0012869550618749544,0.0032524919293021324,3.5688427091221196e-08,3.5711350321321333e-05,amplitude_sweep,Lambda,common,1e-13,1e-13 V*s,,1e-13 1e-13 1e-13 1e-13,0 0 0 0
lambda_common_2.000e-13,900,120,0.07913913971256394,0.05745357094439024,0.05744999443096835,0.003602958098443373,0.006271077740199481,0.005156801094674304,0.00651611972710846,1.427754230174218e-07,0.00014289325189764668,amplitude_sweep,Lambda,common,2e-13,2e-13 V*s,,2e-13 2e-13 2e-13 2e-13,0 0 0 0
lambda_common_4.000e-13,900,120,0.15828861896229152,0.11491430851843418,0.1148999888619367,0.014426038567129566,0.012553735694989965,0.020653139352997372,0.013047772788969427,5.711745005405281e-07,0.000571767535539891,amplitude_sweep,Lambda,common,4e-13,4e-13 V*s,,4e-13 4e-13 4e-13 4e-13,0 0 0 0
lambda_common_8.000e-13,900,120,0.3166185983875434,0.2298572905410956,0.2297999777238734,0.05773917365444042,0.025119574636296948,0.08266674166635994,0.026109250084284455,2.2843913302307735e-06,0.002286882320845507,amplitude_sweep,Lambda,common,8e-13,8e-13 V*s,,8e-13 8e-13 8e-13 8e-13,0 0 0 0
lambda_common_1.600e-12,900,120,0.6334026592632979,0.4598293071322096,0.4595999554477468,0.2310579926357103,0.05024864423643114,0.33079597154375373,0.052225226197897254,9.133080837207298e-06,0.00914315781130881,amplitude_sweep,Lambda,common,1.6e-12,16e-13 V*s,,1.6e-12 1.6e-12 1.6e-12 1.6e-12,0 0 0 0
lambda_m1_cos_2.500e-14,900,120,0.016490749051136202,0.011113655338690808,0.011113658233405732,7.970248433751012e-05,0.0007171581438200251,0.00016152272017264045,0.000979474732601741,7.529189730923615e-10,1.0491048030303318e-06,amplitude_sweep,Lambda,m1_cos,2.5e-14,0.25e-13 V*s,,2.5e-14 0 -2.5e-14 0,0 0 0 0
lambda_m1_cos_5.000e-14,900,120,0.03298118760286383,0.022227309689572282,0.022227316466811465,0.0003193830996513711,0.0014368949913952315,0.0006335448489191315,0.0019209279439777343,3.0111081271877883e-09,3.927231873035453e-06,amplitude_sweep,Lambda,m1_cos,5e-14,0.5e-13 V*s,,5e-14 0 -5e-14 0,0 0 0 0
lambda_m1_cos_1.000e-13,900,120,0.06596113678543114,0.04445461785180125,0.04445463293362293,0.0012797893709087763,0.0028788671070691042,0.0025055099943600556,0.0037984639387134526,1.2068549256087288e-08,1.52698991229272e-05,amplitude_sweep,Lambda,m1_cos,1e-13,1e-13 V*s,,1e-13 0 -1e-13 0,0 0 0 0
