case,omega_over_pi,frequency_domain,events,burn,blocks,burn_blocks,lambda_amp_si,ton_amp_s,wait_exact_amp_ns,wait_pred_amp_ns,wait_amp_abs_error_ns,wait_amp_error_pct,wait_phase_exact_deg,wait_phase_pred_deg,wait_phase_error_deg,wait_rms_error_ps,wait_rms_error_pct,wait_observable,current_exact_amp_mA,current_pred_amp_mA,current_amp_abs_error_mA,current_amp_error_pct,current_phase_error_deg,current_rms_error_mA,current_observable,dataset,input_type,lambda_pattern,ton_pattern,projection_pattern
lambda_common_w0.005,0.005,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.0187768678135771,0.018776841832803398,-2.598077370093496e-08,-0.00013836585504023446,162.55710428676116,162.55699911306752,-0.00010517369363599088,0.00021126297886623428,0.0016202636283556028,1,0.5598055853805303,0.5598061477887813,5.624082510466422e-07,0.00010046492313620092,4.8478413716257195e-05,1.1928037119284863e-05,1,frequency_response,Lambda,common,,common
lambda_common_w0.010,0.01,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.009443167510684082,0.00944315608228268,-1.1428401403162434e-08,-0.00012102296597094053,23.712810593291284,23.712785926042617,-2.466724866788142e-05,7.051816009489283e-05,0.0010432255754509532,1,0.5894918375874393,0.589492790822965,9.532355256698655e-07,0.0001617046182733617,-6.794229042728782e-06,6.252198462130068e-06,1,frequency_response,Lambda,common,,common
lambda_common_w0.020,0.02,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.003383850200388153,0.0033838486278199836,-1.5725681694759532e-09,-4.647274779445709e-05,122.66019393407338,122.66019140859281,-2.5254805657156792e-06,2.5500908087038212e-05,0.0010670138923636477,1,0.5980694167802603,0.598069630276424,2.1349616378171093e-07,3.5697555800240366e-05,2.995100402361317e-06,2.4554811366390565e-06,1,frequency_response,Lambda,common,,common
lambda_common_w0.050,0.05,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.0025954687554812406,0.002595469346656413,5.911751726864457e-10,2.27772024352646e-05,-140.70624800220168,-140.70624443766195,3.564539714935301e-06,2.010890509077158e-05,0.0010939513555332373,1,0.5988691507884343,0.5988692412847942,9.049635997168681e-08,1.51112074853188e-05,-9.32630035385539e-07,1.0904961131742446e-06,1,frequency_response,Lambda,common,,common
lambda_common_w0.100,0.1,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.008158898099489189,0.008158898424122988,3.2463379747535245e-10,3.978892659795008e-06,3.279327156570813,3.2793266742555467,-4.823152663545485e-07,0.00011651664807155594,0.002019547909099116,1,0.5940088166437987,0.5940088602842513,4.3640452688196996e-08,7.346768504667978e-06,-8.662499699339147e-07,3.7682898735781656e-06,1,frequency_response,Lambda,common,,common
lambda_common_w0.200,0.2,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.017062794253324423,0.017062794398537074,1.452126519017608e-10,8.510484761359294e-07,-79.41336931286824,-79.41337003480318,-7.219349347617839e-07,0.0003913288949187682,0.0032434396312237836,1,0.5751931618852602,0.5751931799284993,1.804323910333666e-08,3.1369008279824584e-06,-7.573213281478728e-07,6.924470731478608e-06,1,frequency_response,Lambda,common,,common
lambda_common_w0.350,0.35,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.02734221588824984,0.02734221585763725,-3.061259091504655e-11,-1.1196089610976401e-07,-23.13127144432927,-23.13127196072298,-5.163937130827313e-07,0.0006978899520083348,0.0036096752522545893,1,0.5348602042779587,0.5348602105435482,6.265589501223967e-09,1.1714443193255875e-06,-5.289535199643311e-07,8.80422033876294e-06,1,frequency_response,Lambda,common,,common
lambda_common_w0.500,0.5,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.03432094336932755,0.034320943199136665,-1.7019088591853105e-10,-4.958805588373139e-07,35.222942031156606,35.22294169029231,-3.408643007946089e-07,0.0010366228074952515,0.004271461694247336,1,0.4938256910219564,0.4938256923501909,1.328234505888759e-09,2.68968292083116e-07,-3.5144363352604566e-07,1.199285432104573e-05,1,frequency_response,Lambda,common,,common
lambda_common_w0.700,0.7,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.03970764607852697,0.039707645876619464,-2.01907510919743e-10,-5.084852205960999e-07,-124.16476524593158,-124.16476535606077,-1.1012919940054453e-07,0.00048037864762368753,0.0017108996832564216,1,0.45249065353153306,0.45249065316681064,-3.6472241242771486e-10,-8.060330181081099e-08,-9.808186893365958e-08,9.691112346592982e-06,1,frequency_response,Lambda,common,,common
lambda_common_w0.850,0.85,four_event_lifted_block,6144,1024,1536,256,1e-13,0.0,0.041667944141546225,0.04166794397184711,-1.696991141196712e-10,-4.0726538808044666e-07,-62.34699132938882,-62.346991357486125,-2.80973126670794e-08,0.00021688021285367088,0.0007360932824002351,1,0.4348564077490654,0.43485640691675737,-8.32308072289123e-10,-1.9139836382464637e-07,-3.4070636081023675e-08,9.617772610930085e-06,1,frequency_response,Lambda,common,,common
