seed,area_bits,detect_clock_ns,ton_resolution_ps,comp_delay_sigma_ns,events,burn,q_lambda,q_lambda_over_nominal,wait_jitter_rms_ns,wait_jitter_pkpk_ns,phase_spacing_std_ns,phase_spacing_pkpk_ns,avg_phase_current_A,current_share_rms_mA,current_share_pkpk_mA,current_snapshot_rms_mA,current_m2_projection_mA,vout_event_rms_mV,vout_event_pkpk_mV
0,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.2320512734335423,1.2833009461113194,0.23205537874465712,1.2817156610426665,10.0001377 9.99984732 10.0003466 9.99982732,0.21560494015789333,0.519327399965519,2833.4861579766825,0.20243560630106572,0.004553410467497388,0.021967536598666015
1,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.23579502311199635,1.2015465169345534,0.23570705796680488,1.2013050116992785,10.0001438 9.99981995 9.99999398 10.0001136,0.12723908572285178,0.32380047387370325,2833.485878306227,0.05103571823417141,0.005137889980105442,0.02267844973280475
2,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.23481702613956615,1.3948538572710507,0.23488675356268499,1.3959744778133036,9.99950442 10.0002671 10.0001233 9.99973711,0.30308049474803617,0.7627254016604468,2833.4851763006363,-0.09412727990154579,0.0037333412161006155,0.02048135716570254
3,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.22643038353926642,1.4099463485686428,0.22653593431364125,1.414097278749222,10.0002536 10.0001817 10.0000768 9.99975448,0.19088559027412427,0.49915077195095137,2833.48571367778,0.0985578082386418,0.008167713206620244,0.03264086074405981
4,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.22966531110769386,1.4272878936587086,0.22962227709440444,1.4265825572613573,9.99996107 10.0002353 10.0000272 9.99974539,0.174797706592873,0.4899322934281969,2833.485069441766,0.0018855473182810556,0.003674158066373383,0.0165248646381011
5,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.2399875849523379,1.2914615169736283,0.24004494735981718,1.293801525270387,9.99988474 10.0001639 10.0003309 10.0000872,0.16028700942966184,0.4461193907605576,2833.4842495261723,-0.00886966590440963,0.008466524322716936,0.041534174022861414
6,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.23452046634908663,1.3439227917721177,0.23453013442353174,1.34138414060268,9.99979623 9.9998589 10.000311 10.0001739,0.2141786922577864,0.5147522970876395,2833.4840943069034,0.018596000976423,0.005727427029334369,0.02382638557529848
7,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.24221576639008988,1.3338429090054642,0.24216491146236302,1.3308449927623887,9.99967691 9.99984073 10.0000242 10.0003261,0.24101390968668732,0.649230230676423,2833.4840967185064,-0.11643836140118324,0.004749989350012309,0.02124322725194361
8,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.2356893244743297,1.3083251938088827,0.23572132683231187,1.3062214101823812,10.0001102 10.0006121 10.0000388 9.99981963,0.29007605356982336,0.792517821105676,2833.4837969945293,-0.07068752381167442,0.01253686589677868,0.04291029989589301
9,10,0.5,5,0.0,720,120,1.2390513629646364e-12,0.001953125,0.23485055286962364,1.2056827971728314,0.23495540048503205,1.2071902206561258,9.99984749 10.0001167 9.99981792 9.99979236,0.13024960346900416,0.3243029214861082,2833.485994325564,-0.06090243213385804,0.008125235221027741,0.0312715420028864
