r027_case_id,target_label,target_load_A,load_drop_A,objective,objective_alpha_settle,tau_ai_us,delay_events,event_period_us_assumed,policy,source_policy,policy_kind,policy_role,selected_ref_slew_us,realized_ref_slew_us_in_offline_grid,ref_start_delay_us_for_simulink,delay_mode,offline_objective_score,offline_regret_vs_oracle,offline_undershoot_mV,offline_settle_time_us,offline_skip_count_est,offline_phase_std_ns,online_available_inputs_only,selection_basis,boundary,include_in_priority_run
R027_0001,10A,10.0,30.0,base,0.0,0.0,0,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,9.38514006278445,0.6474187032397101,5.01028636671008,17.534,1.0,91.29556151628,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0002,10A,10.0,30.0,base,0.0,0.0,0,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,8.82504576097426,0.08732440142952136,4.63087064829415,34.286,1.0,82.1829076099372,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0003,10A,10.0,30.0,base,0.0,0.0,0,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,80.0,80.0,0.0,commit_after_tau_ai,8.82504576097426,0.08732440142952136,4.63087064829415,34.286,1.0,82.1829076099372,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0004,10A,10.0,30.0,base,0.0,0.0,0,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,84.0,84.0,0.0,commit_after_tau_ai,8.90139622925991,0.1636748697151713,4.63087064829415,37.682,1.0,85.3699169914353,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False
R027_0005,10A,10.0,30.0,base,0.0,0.0,0,0.5,near_opt_band_clipping,near_opt_band_clipping,band_projection,offline_comparator,92.0,92.0,0.0,commit_after_tau_ai,8.92023820038568,0.18251684084094144,4.60382233665269,40.572,1.0,88.2172335939625,False,clip naked candidate to empirical best+0.25 band,R027 plan only; switching evidence requires derived Simulink run,False
R027_0006,10A,10.0,30.0,base,0.0,0.0,0,0.5,posterior_mode_aware_projection,posterior_mode_aware_projection,posterior_projection,posterior_upper_bound,70.0,70.0,0.0,commit_after_tau_ai,8.73772135954474,0.0,4.67957001179586,30.79,1.0,75.9411003028226,False,best+0.50 band; skip=min in band; phase<=q75/120ns; settle<=q75 for settling-aware objectives,R027 plan only; switching evidence requires derived Simulink run,False
R027_0007,10A,10.0,30.0,base,0.0,0.0,0,0.5,naked_smooth_continuous,naked_smooth_continuous,smooth_continuous,negative_control,92.0,92.0,0.0,commit_after_tau_ai,8.92023820038568,0.18251684084094144,4.60382233665269,40.572,1.0,88.2172335939625,True,quadratic_vertex; realized by nearest measured point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0008,10A,10.0,30.0,base,0.0,0.5,1,0.5,fixed_40us_precommitted,fixed,fixed,baseline,40.0,40.0,0.0,precommitted,9.38514006278445,0.6474187032397101,5.01028636671008,17.534,1.0,91.29556151628,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0009,10A,10.0,30.0,base,0.0,0.5,1,0.5,fixed_80us_precommitted,fixed,fixed,baseline,80.0,80.0,0.0,precommitted,8.82504576097426,0.08732440142952136,4.63087064829415,34.286,1.0,82.1829076099372,True,fixed precommitted baseline; realized by nearest measured grid point,R027 plan only; switching evidence requires derived Simulink run,False
R027_0010,10A,10.0,30.0,base,0.0,0.5,1,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,80.0,80.0,0.5,commit_after_tau_ai,8.82504576097426,0.08732440142952136,4.63087064829415,34.286,1.0,82.1829076099372,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False
