r027_case_id,target_label,target_load_A,load_drop_A,objective,objective_alpha_settle,tau_ai_us,delay_events,event_period_us_assumed,policy,source_policy,policy_kind,policy_role,selected_ref_slew_us,realized_ref_slew_us_in_offline_grid,ref_start_delay_us_for_simulink,delay_mode,offline_objective_score,offline_regret_vs_oracle,offline_undershoot_mV,offline_settle_time_us,offline_skip_count_est,offline_phase_std_ns,online_available_inputs_only,selection_basis,boundary,include_in_priority_run,r030_case_id,r030_plan_role,r030_reason
R027_0074,10A,10,30,score_settle010,0.1,0,0,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,32,32,0,commit_after_tau_ai,10.5320658368993,0,5.18878165533221,10.158,1,88.2482723669349,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False,R030_0001,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0073,10A,10,30,score_settle010,0.1,0,0,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30,30,0,commit_after_tau_ai,11.0217091468132,0.489643309913879,5.25500364116427,10.186,1,108.860001837568,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False,R030_0002,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0081,10A,10,30,score_settle010,0.1,0.5,1,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,32,32,0.5,commit_after_tau_ai,10.5320658368993,0,5.18878165533221,10.158,1,88.2482723669349,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False,R030_0003,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0080,10A,10,30,score_settle010,0.1,0.5,1,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30,30,0.5,commit_after_tau_ai,11.0217091468132,0.489643309913879,5.25500364116427,10.186,1,108.860001837568,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False,R030_0004,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0088,10A,10,30,score_settle010,0.1,1,2,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,32,32,1,commit_after_tau_ai,10.5320658368993,0,5.18878165533221,10.158,1,88.2482723669349,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False,R030_0005,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0087,10A,10,30,score_settle010,0.1,1,2,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30,30,1,commit_after_tau_ai,11.0217091468132,0.489643309913879,5.25500364116427,10.186,1,108.860001837568,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False,R030_0006,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0095,10A,10,30,score_settle010,0.1,2,4,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,32,32,2,commit_after_tau_ai,10.5320658368993,0,5.18878165533221,10.158,1,88.2482723669349,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False,R030_0007,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0094,10A,10,30,score_settle010,0.1,2,4,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30,30,2,commit_after_tau_ai,11.0217091468132,0.489643309913879,5.25500364116427,10.186,1,108.860001837568,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False,R030_0008,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0102,10A,10,30,score_settle010,0.1,5,10,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,proxy_projection,deployable_candidate,32,32,5,commit_after_tau_ai,10.5320658368993,0,5.18878165533221,10.158,1,88.2482723669349,True,deployable calibrated risk table + smooth score surrogate,R027 plan only; switching evidence requires derived Simulink run,False,R030_0009,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
R027_0101,10A,10,30,score_settle010,0.1,5,10,0.5,discrete_dense_long_table,discrete_dense_long_table,lookup_table,deployable_baseline,30,30,5,commit_after_tau_ai,11.0217091468132,0.489643309913879,5.25500364116427,10.186,1,108.860001837568,True,best prior dense+long simulated point,R027 plan only; switching evidence requires derived Simulink run,False,R030_0010,dense_anchor_challenge_pair,R030 challenge: proxy and dense differ outside R027 priority; run pair to test whether dense-anchor projection is over-conservative.
