r027_case_id,target_label,objective,policy,source_policy,policy_kind,policy_role,online_available_inputs_only,objective_alpha_settle,target_load_A,load_drop_A,selected_ref_slew_us,realized_ref_slew_us_in_offline_grid,tau_ai_us,delay_events,ref_start_delay_us_for_simulink,delay_mode,offline_objective_score,offline_regret_vs_oracle,offline_undershoot_mV,offline_settle_time_us,offline_skip_count_est,offline_phase_std_ns
R032_0001,10A,score_settle010,r032_delay_band_candidate,r032_delay_aware_bepsilon_sw,boundary_validation_candidate,candidate,1,0.1,10,30,30,30,2,4,2,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN
R032_0002,10A,score_settle010,r032_delay_band_candidate,r032_delay_aware_bepsilon_sw,boundary_validation_candidate,candidate,1,0.1,10,30,32,32,2,4,2,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN
R032_0003,10A,score_settle010,r032_delay_band_candidate,r032_delay_aware_bepsilon_sw,boundary_validation_candidate,candidate,1,0.1,10,30,33,33,2,4,2,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN
R032_0004,10A,score_settle010,r032_delay_band_candidate,r032_delay_aware_bepsilon_sw,boundary_validation_candidate,candidate,1,0.1,10,30,34,34,2,4,2,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN
R032_0005,10A,score_settle010,r032_delay_band_candidate,r032_delay_aware_bepsilon_sw,boundary_validation_candidate,candidate,1,0.1,10,30,30,30,3,6,3,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN
R032_0006,10A,score_settle010,r032_delay_band_candidate,r032_delay_aware_bepsilon_sw,boundary_validation_candidate,candidate,1,0.1,10,30,32,32,3,6,3,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN
R032_0007,10A,score_settle010,r032_delay_band_candidate,r032_delay_aware_bepsilon_sw,boundary_validation_candidate,candidate,1,0.1,10,30,33,33,3,6,3,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN
R032_0008,10A,score_settle010,r032_delay_band_candidate,r032_delay_aware_bepsilon_sw,boundary_validation_candidate,candidate,1,0.1,10,30,34,34,3,6,3,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN
R032_0009,20A,base,r032_delay_band_candidate,r032_delay_aware_bepsilon_sw,boundary_validation_candidate,candidate,1,0,20,20,80,80,1,2,1,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN
R032_0010,20A,base,r032_delay_band_candidate,r032_delay_aware_bepsilon_sw,boundary_validation_candidate,candidate,1,0,20,20,82,82,1,2,1,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN
R032_0011,20A,base,r032_delay_band_candidate,r032_delay_aware_bepsilon_sw,boundary_validation_candidate,candidate,1,0,20,20,84,84,1,2,1,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN
R032_0012,20A,base,r032_delay_band_candidate,r032_delay_aware_bepsilon_sw,boundary_validation_candidate,candidate,1,0,20,20,86,86,1,2,1,delayed_reference,NaN,NaN,NaN,NaN,NaN,NaN
