target_label,objective,tau_AI_us,policy,source_policy,selected_ref_slew_us,objective_score,regret_vs_combined_oracle,selection_basis,boundary
20A,base,0.0,combined_grid_oracle,combined_grid_oracle,86.0,2.13279592581763,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,base,0.0,discrete_dense_long_table,discrete_dense_long_table,80.0,2.27271123170482,0.13991530588719003,deployable table baseline,offline R026 grid replay only; not switching re-simulation
20A,base,0.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,base,0.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,base,0.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,base,0.0,near_opt_band_clipping,near_opt_band_clipping,80.0,2.27271123170482,0.13991530588719003,offline comparator,offline R026 grid replay only; not switching re-simulation
20A,base,0.5,combined_grid_oracle,combined_grid_oracle,86.0,2.13279592581763,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,base,0.5,discrete_dense_long_table,discrete_dense_long_table,80.0,2.27271123170482,0.13991530588719003,deployable table baseline,offline R026 grid replay only; not switching re-simulation
20A,base,0.5,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,base,0.5,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,base,0.5,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,base,0.5,near_opt_band_clipping,near_opt_band_clipping,80.0,2.27271123170482,0.13991530588719003,offline comparator,offline R026 grid replay only; not switching re-simulation
20A,base,1.0,combined_grid_oracle,combined_grid_oracle,86.0,2.13279592581763,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,base,1.0,discrete_dense_long_table,discrete_dense_long_table,80.0,2.27271123170482,0.13991530588719003,deployable table baseline,offline R026 grid replay only; not switching re-simulation
20A,base,1.0,calibrated_risk_proxy_projection,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,old R026 calibrated proxy,offline R026 grid replay only; not switching re-simulation
20A,base,1.0,r028_dense_anchor_proxy,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,R028 dense-anchor proxy replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,base,1.0,r028_switching_guarded_proxy,calibrated_risk_proxy_projection,86.0,2.13279592581763,0.0,R028 stress-fitted candidate replay on R026 grid,offline R026 grid replay only; not switching re-simulation
20A,base,1.0,near_opt_band_clipping,near_opt_band_clipping,80.0,2.27271123170482,0.13991530588719003,offline comparator,offline R026 grid replay only; not switching re-simulation
20A,base,2.0,combined_grid_oracle,combined_grid_oracle,86.0,2.13279592581763,0.0,offline lower-bound comparator,offline R026 grid replay only; not switching re-simulation
20A,base,2.0,discrete_dense_long_table,discrete_dense_long_table,80.0,2.27271123170482,0.13991530588719003,deployable table baseline,offline R026 grid replay only; not switching re-simulation
