r029_case_id,target_label,target_load_A,load_drop_A,objective,objective_alpha_settle,tau_ai_us,delay_events_at_0p5us,selected_ref_slew_us,ref_start_delay_us_for_simulink,policy,policy_family,selection_basis,heldout_reason,online_available_inputs_only,boundary
R029_0001,10A,10.0,30.0,score_settle005,0.05,1.5,3,34.0,1.5,short_slew_probe_34us,heldout_probe,short-slew probe below the R028 delay threshold,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,True,R029 plan only until derived Simulink runner is executed
R029_0002,10A,10.0,30.0,score_settle005,0.05,1.5,3,40.0,1.5,fixed_40us_probe,fixed_probe,intermediate fixed-slew comparator,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,True,R029 plan only until derived Simulink runner is executed
R029_0003,10A,10.0,30.0,score_settle005,0.05,1.5,3,50.0,1.5,r028_dense_anchor,dense_anchor,conservative dense-anchor action,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,True,R029 plan only until derived Simulink runner is executed
R029_0004,10A,10.0,30.0,score_settle005,0.05,1.5,3,62.0,1.5,old_proxy_62us,old_proxy_failure_probe,old R026 proxy action that failed in R027,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,True,R029 plan only until derived Simulink runner is executed
R029_0005,10A,10.0,30.0,score_settle005,0.05,2.5,5,34.0,2.5,r028_guarded_candidate,guarded_candidate,R028 delay guard action for tau>=2us,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,True,R029 plan only until derived Simulink runner is executed
R029_0006,10A,10.0,30.0,score_settle005,0.05,2.5,5,40.0,2.5,fixed_40us_probe,fixed_probe,intermediate fixed-slew comparator,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,True,R029 plan only until derived Simulink runner is executed
R029_0007,10A,10.0,30.0,score_settle005,0.05,2.5,5,50.0,2.5,r028_dense_anchor,dense_anchor,conservative dense-anchor action,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,True,R029 plan only until derived Simulink runner is executed
R029_0008,10A,10.0,30.0,score_settle005,0.05,2.5,5,62.0,2.5,old_proxy_62us,old_proxy_failure_probe,old R026 proxy action that failed in R027,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,True,R029 plan only until derived Simulink runner is executed
R029_0009,10A,10.0,30.0,score_settle005,0.05,3.0,6,34.0,3.0,r028_guarded_candidate,guarded_candidate,R028 delay guard action for tau>=2us,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,True,R029 plan only until derived Simulink runner is executed
R029_0010,10A,10.0,30.0,score_settle005,0.05,3.0,6,40.0,3.0,fixed_40us_probe,fixed_probe,intermediate fixed-slew comparator,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,True,R029 plan only until derived Simulink runner is executed
R029_0011,10A,10.0,30.0,score_settle005,0.05,3.0,6,50.0,3.0,r028_dense_anchor,dense_anchor,conservative dense-anchor action,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,True,R029 plan only until derived Simulink runner is executed
R029_0012,10A,10.0,30.0,score_settle005,0.05,3.0,6,62.0,3.0,old_proxy_62us,old_proxy_failure_probe,old R026 proxy action that failed in R027,interpolates/extrapolates R027 delay guard boundary; not used to fit R028,True,R029 plan only until derived Simulink runner is executed
R029_0013,near0A,0.001,39.999,score_settle010,0.1,0.0,0,30.0,0.0,r028_dense_anchor,dense_anchor,dense/proxy action; R028 guard keeps this once delay exists,tests whether the near0A zero-delay 35us guard persists under small delay,True,R029 plan only until derived Simulink runner is executed
R029_0014,near0A,0.001,39.999,score_settle010,0.1,0.0,0,35.0,0.0,r028_guarded_candidate,guarded_candidate,R028 zero-delay recovery guard action,tests whether the near0A zero-delay 35us guard persists under small delay,True,R029 plan only until derived Simulink runner is executed
R029_0015,near0A,0.001,39.999,score_settle010,0.1,0.0,0,38.0,0.0,fine_sweep_38us_probe,heldout_probe,R024 fine-sweep local comparator,tests whether the near0A zero-delay 35us guard persists under small delay,True,R029 plan only until derived Simulink runner is executed
R029_0016,near0A,0.001,39.999,score_settle010,0.1,0.25,0,30.0,0.25,r028_dense_anchor,dense_anchor,dense/proxy action; R028 guard keeps this once delay exists,tests whether the near0A zero-delay 35us guard persists under small delay,True,R029 plan only until derived Simulink runner is executed
R029_0017,near0A,0.001,39.999,score_settle010,0.1,0.25,0,35.0,0.25,near_opt_35us_probe,heldout_probe,near-opt comparator near the zero-delay guard,tests whether the near0A zero-delay 35us guard persists under small delay,True,R029 plan only until derived Simulink runner is executed
R029_0018,near0A,0.001,39.999,score_settle010,0.1,0.25,0,38.0,0.25,fine_sweep_38us_probe,heldout_probe,R024 fine-sweep local comparator,tests whether the near0A zero-delay 35us guard persists under small delay,True,R029 plan only until derived Simulink runner is executed
R029_0019,near0A,0.001,39.999,score_settle010,0.1,0.5,1,30.0,0.5,r028_dense_anchor,dense_anchor,dense/proxy action; R028 guard keeps this once delay exists,tests whether the near0A zero-delay 35us guard persists under small delay,True,R029 plan only until derived Simulink runner is executed
R029_0020,near0A,0.001,39.999,score_settle010,0.1,0.5,1,35.0,0.5,near_opt_35us_probe,heldout_probe,near-opt comparator near the zero-delay guard,tests whether the near0A zero-delay 35us guard persists under small delay,True,R029 plan only until derived Simulink runner is executed
R029_0021,near0A,0.001,39.999,score_settle010,0.1,0.5,1,38.0,0.5,fine_sweep_38us_probe,heldout_probe,R024 fine-sweep local comparator,tests whether the near0A zero-delay 35us guard persists under small delay,True,R029 plan only until derived Simulink runner is executed
