target_label,objective,tau_ai_us,dense_slew_us,proxy_slew_us,dense_score,proxy_score,proxy_minus_dense_score,winner,switching_best_policy,switching_best_slew_us,switching_best_score,offline_pair_best_policy,offline_pair_best_slew_us,offline_pair_ranking_preserved,dense_regret,proxy_regret,dense_skip,proxy_skip,dense_settle_us,proxy_settle_us,dense_phase_std_ns,proxy_phase_std_ns,dense_undershoot_mV,proxy_undershoot_mV
10A,score_settle010,0.0,30,32,11.0217091468132,10.5320658368993,-0.4896433099138999,proxy,calibrated_risk_proxy_projection,32,10.5320658368993,calibrated_risk_proxy_projection,32,True,0.4896433099138999,0.0,1,1,10.186,10.158,108.860001837568,88.2482723669349,5.25500364116427,5.18878165533221
10A,score_settle010,0.5,30,32,10.2768997761406,10.0214129598486,-0.25548681629199876,proxy,calibrated_risk_proxy_projection,32,10.0214129598486,calibrated_risk_proxy_projection,32,True,0.25548681629199876,0.0,1,1,9.75600000000003,9.74600000000004,90.9120129608897,79.8589915891913,4.92885188349479,4.90171937620998
10A,score_settle010,1.0,30,32,9.91554183158928,10.6073002790377,0.6917584474484197,dense,discrete_dense_long_table,30,9.91554183158928,calibrated_risk_proxy_projection,32,False,0.0,0.6917584474484197,1,1,9.66400000000005,14.7120000000001,85.5707024315886,95.9302935055217,4.67957001179586,4.65792608214066
10A,score_settle010,2.0,30,32,10.1646736851415,10.1064340768477,-0.058239608293799705,proxy,calibrated_risk_proxy_projection,32,10.1064340768477,calibrated_risk_proxy_projection,32,True,0.058239608293799705,0.0,1,1,13.532,14.8260000000001,94.7435533909618,85.228303025467,4.35787635570972,4.35787635570972
10A,score_settle010,5.0,30,32,10.5198408279676,10.677949608175,0.1581087802073995,dense,discrete_dense_long_table,30,10.5198408279676,calibrated_risk_proxy_projection,32,False,0.0,0.1581087802073995,1,1,18.164,19.342,92.7543186944456,94.0965815887071,4.29231243924144,4.29231243924144
20A,base,0.0,80,86,2.27271123170482,2.13279592581763,-0.13991530588719003,proxy,calibrated_risk_proxy_projection,86,2.13279592581763,calibrated_risk_proxy_projection,86,True,0.13991530588719003,0.0,0,0,14.41,14.404,37.1400221295455,30.0147825435648,1.0943598016524,1.0943598016524
20A,base,0.5,80,86,2.04163672310345,2.32105692218938,0.27942019908592997,dense,discrete_dense_long_table,80,2.04163672310345,calibrated_risk_proxy_projection,86,False,0.0,0.27942019908592997,0,0,14.4020000000001,16.5160000000001,28.3602945386385,41.8546031877443,1.03994639868477,1.03994639868477
20A,base,1.0,80,86,2.61090171800424,2.54983760917198,-0.0610641088322601,proxy,calibrated_risk_proxy_projection,86,2.54983760917198,calibrated_risk_proxy_projection,86,True,0.0610641088322601,0.0,0,0,14.404,16.532,57.4784301354536,54.7705012578306,1.00107392878601,1.00107392878601
20A,base,2.0,80,86,1.98859649972039,2.17626498373689,0.18766848401649994,dense,discrete_dense_long_table,80,1.98859649972039,calibrated_risk_proxy_projection,86,False,0.0,0.18766848401649994,0,0,14.4120000000001,16.524,27.9612632901993,37.3568951511573,0.991779598240816,0.991779598240816
20A,base,5.0,80,86,4.06742981026684,4.21353294792564,0.1461031376588,dense,discrete_dense_long_table,80,4.06742981026684,calibrated_risk_proxy_projection,86,False,0.0,0.1461031376588,1,1,19.262,19.7840000000001,32.0194385410796,39.2301922489596,0.991779598240816,0.991779598240816
20A,score_settle005,0.0,30,66,2.49270700467968,2.39820696270275,-0.09450004197692996,proxy,calibrated_risk_proxy_projection,66,2.39820696270275,calibrated_risk_proxy_projection,66,True,0.09450004197692996,0.0,0,0,0.938000000000024,0.938000000000024,37.0921617490197,40.007102545006,1.26719882798709,1.11287107294222
20A,score_settle005,0.5,30,66,2.78474769188034,4.84634670296979,2.0615990110894504,dense,discrete_dense_long_table,30,2.78474769188034,calibrated_risk_proxy_projection,66,False,0.0,2.0615990110894504,0,1,0.938000000000024,12.804,57.0395574250314,35.7285622272592,1.1459824486415,1.05841728359568
20A,score_settle005,1.0,30,66,4.55941532061638,2.87127449305964,-1.6881408275567402,proxy,calibrated_risk_proxy_projection,66,2.87127449305964,calibrated_risk_proxy_projection,66,True,1.6881408275567402,0.0,1,0,0.938000000000024,11.69,51.3919537194274,41.9267916246662,1.03994639868477,1.00107392878601
20A,score_settle005,2.0,30,66,2.09256629605036,4.88551818189707,2.79295188584671,dense,discrete_dense_long_table,30,2.09256629605036,calibrated_risk_proxy_projection,66,False,0.0,2.79295188584671,0,1,0.938000000000024,14.384,31.1333126564203,36.6356953557532,0.991779598240816,0.991779598240816
20A,score_settle005,5.0,30,66,2.73882913105384,5.03429093425979,2.2954618032059497,dense,discrete_dense_long_table,30,2.73882913105384,calibrated_risk_proxy_projection,66,False,0.0,2.2954618032059497,0,1,9.49800000000004,16.532,39.5540455903371,38.9769273030537,1.03132774202785,0.991779598240816
