target_label,objective,tau_ai_us,selected_ref_slew_us,band_low_us,band_high_us,rule,evidence,boundary,regret_vs_combined_oracle
20A,base,0.0,86.0,86.0,86.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.0
20A,base,0.5,86.0,86.0,86.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.0
20A,base,1.0,86.0,86.0,86.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.0
20A,base,2.0,86.0,86.0,86.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.0
20A,base,5.0,86.0,86.0,86.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.0
20A,score_settle005,0.0,30.0,30.0,30.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.09450004197691841
20A,score_settle005,0.5,30.0,30.0,30.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.09450004197691841
20A,score_settle005,1.0,30.0,30.0,30.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.09450004197691841
20A,score_settle005,2.0,30.0,30.0,30.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.09450004197691841
20A,score_settle005,5.0,30.0,30.0,30.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.09450004197691841
20A,score_settle010,0.0,30.0,30.0,30.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.09450004197691753
20A,score_settle010,0.5,30.0,30.0,30.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.09450004197691753
20A,score_settle010,1.0,30.0,30.0,30.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.09450004197691753
20A,score_settle010,2.0,30.0,30.0,30.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.09450004197691753
20A,score_settle010,5.0,30.0,30.0,30.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.09450004197691753
10A,base,0.0,84.0,84.0,84.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.1636748697151713
10A,base,0.5,84.0,84.0,84.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.1636748697151713
10A,base,1.0,84.0,84.0,84.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.1636748697151713
10A,base,2.0,84.0,84.0,84.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.1636748697151713
10A,base,5.0,80.0,80.0,80.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.08732440142952136
10A,score_settle005,0.0,50.0,50.0,50.0,10A low-delay dense-anchor fallback,R027 tau=0/0.5/1us priority replay favored dense-anchor over old proxy,Conservative fallback; may be revisited if future low-delay fine probes are run.,0.0
10A,score_settle005,0.5,50.0,50.0,50.0,10A low-delay dense-anchor fallback,R027 tau=0/0.5/1us priority replay favored dense-anchor over old proxy,Conservative fallback; may be revisited if future low-delay fine probes are run.,0.0
10A,score_settle005,1.0,50.0,50.0,50.0,10A low-delay dense-anchor fallback,R027 tau=0/0.5/1us priority replay favored dense-anchor over old proxy,Conservative fallback; may be revisited if future low-delay fine probes are run.,0.0
10A,score_settle005,2.0,34.0,34.0,40.0,10A settling-aware delay guard: tau_AI >= 2us selects the short-slew edge,R027 tau=2us priority replay plus R029 tau=2.5/3us held-out rows,Do not extrapolate below 2us; not a global T_slew optimum.,0.20888690820421552
10A,score_settle005,5.0,34.0,34.0,40.0,10A settling-aware delay guard: tau_AI >= 2us selects the short-slew edge,R027 tau=2us priority replay plus R029 tau=2.5/3us held-out rows,Do not extrapolate below 2us; not a global T_slew optimum.,0.20888690820421552
10A,score_settle010,0.0,32.0,32.0,32.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.0
10A,score_settle010,0.5,32.0,32.0,32.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.0
10A,score_settle010,1.0,32.0,32.0,32.0,default dense-anchor projection,R028 conservative switching-calibrated dense-anchor rule,Default action outside R029-refined local guard contexts.,0.0
