target_label,target_load_A,objective,objective_alpha_settle,tau_ai_us,delay_events,dense_slew_us,proxy_slew_us,slew_delta_us,abs_slew_delta_us,offline_proxy_advantage_score,switching_proxy_minus_dense_score,proxy_wins_switching,offline_pair_ranking_preserved,proxy_regret,dense_regret,proxy_extra_skip,proxy_extra_settle_us,proxy_extra_phase_std_ns,proxy_undershoot_delta_mV,motif_proxy_win_rate,motif_mean_proxy_minus_dense_score,motif_max_abs_proxy_minus_dense_score,large_slew_jump_flag,delay_sensitive_motif_flag,near_tie_motif_flag,unsafe_proxy_override_label
10A,10.0,score_settle010,0.1,0.0,0,30.0,32.0,2.0,2.0,0.4896433099138999,-0.4896433099138999,True,True,0.0,0.4896433099138999,0.0,-0.02800000000000047,-20.611729470633108,-0.06622198583206007,0.6,0.0092994986312241,0.6917584474484197,False,True,True,False
10A,10.0,score_settle010,0.1,0.5,1,30.0,32.0,2.0,2.0,0.4896433099138999,-0.2554868162919987,True,True,0.0,0.2554868162919987,0.0,-0.009999999999990905,-11.053021371698392,-0.027132507284809648,0.6,0.0092994986312241,0.6917584474484197,False,True,True,False
10A,10.0,score_settle010,0.1,1.0,2,30.0,32.0,2.0,2.0,0.4896433099138999,0.6917584474484197,False,False,0.6917584474484197,0.0,0.0,5.04800000000005,10.359591073933103,-0.02164392965520001,0.6,0.0092994986312241,0.6917584474484197,False,True,True,True
10A,10.0,score_settle010,0.1,2.0,4,30.0,32.0,2.0,2.0,0.4896433099138999,-0.0582396082937997,True,True,0.0,0.0582396082937997,0.0,1.2940000000001,-9.515250365494794,0.0,0.6,0.0092994986312241,0.6917584474484197,False,True,True,False
10A,10.0,score_settle010,0.1,5.0,10,30.0,32.0,2.0,2.0,0.4896433099138999,0.1581087802073995,False,False,0.1581087802073995,0.0,0.0,1.1779999999999973,1.342262894261495,0.0,0.6,0.0092994986312241,0.6917584474484197,False,True,True,False
20A,20.0,base,0.0,0.0,0,80.0,86.0,6.0,6.0,0.13991530588719003,-0.13991530588719,True,True,0.0,0.13991530588719,0.0,-0.006000000000000227,-7.125239585980701,0.0,0.4,0.0824424812083559,0.2794201990859299,False,True,False,False
20A,20.0,base,0.0,0.5,1,80.0,86.0,6.0,6.0,0.13991530588719003,0.2794201990859299,False,False,0.2794201990859299,0.0,0.0,2.1140000000000008,13.494308649105804,0.0,0.4,0.0824424812083559,0.2794201990859299,False,True,False,False
20A,20.0,base,0.0,1.0,2,80.0,86.0,6.0,6.0,0.13991530588719003,-0.0610641088322601,True,True,0.0,0.0610641088322601,0.0,2.128,-2.7079288776229973,0.0,0.4,0.0824424812083559,0.2794201990859299,False,True,False,False
20A,20.0,base,0.0,2.0,4,80.0,86.0,6.0,6.0,0.13991530588719003,0.1876684840164999,False,False,0.1876684840164999,0.0,0.0,2.1119999999999006,9.395631860958002,0.0,0.4,0.0824424812083559,0.2794201990859299,False,True,False,False
20A,20.0,base,0.0,5.0,10,80.0,86.0,6.0,6.0,0.13991530588719003,0.1461031376588,False,False,0.1461031376588,0.0,0.0,0.5220000000000979,7.210753707879995,0.0,0.4,0.0824424812083559,0.2794201990859299,False,True,False,False
20A,20.0,score_settle005,0.05,0.0,0,30.0,66.0,36.0,36.0,0.09450004197692019,-0.0945000419769299,True,True,0.0,0.0945000419769299,0.0,0.0,2.914940795986297,-0.15432775504487006,0.4,1.073474366121688,2.79295188584671,True,True,False,False
20A,20.0,score_settle005,0.05,0.5,1,30.0,66.0,36.0,36.0,0.09450004197692019,2.0615990110894504,False,False,2.0615990110894504,0.0,1.0,11.865999999999977,-21.3109951977722,-0.08756516504582001,0.4,1.073474366121688,2.79295188584671,True,True,False,True
20A,20.0,score_settle005,0.05,1.0,2,30.0,66.0,36.0,36.0,0.09450004197692019,-1.6881408275567402,True,True,0.0,1.6881408275567402,-1.0,10.751999999999976,-9.465162094761197,-0.03887246989875992,0.4,1.073474366121688,2.79295188584671,True,True,False,True
20A,20.0,score_settle005,0.05,2.0,4,30.0,66.0,36.0,36.0,0.09450004197692019,2.79295188584671,False,False,2.79295188584671,0.0,1.0,13.445999999999977,5.502382699332898,0.0,0.4,1.073474366121688,2.79295188584671,True,True,False,True
20A,20.0,score_settle005,0.05,5.0,10,30.0,66.0,36.0,36.0,0.09450004197692019,2.2954618032059497,False,False,2.2954618032059497,0.0,1.0,7.03399999999996,-0.5771182872833975,-0.039548143787033974,0.4,1.073474366121688,2.79295188584671,True,True,False,True
