success,error_message,r027_case_id,target_label,objective,policy,candidate_family,objective_alpha_settle,target_load_A,load_drop_A,selected_ref_slew_us,tau_ai_us,delay_events,ref_start_delay_us,selected_objective_score,base_score,score_settle005,score_settle010,undershoot_mV,settle_time_us,skip_count_est,final_phase_spacing_std_ns,final_vout_error_mV,final_il_phase_imbalance_A,dense_success,dense_error_message,dense_r027_case_id,dense_policy,dense_candidate_family,dense_objective_alpha_settle,dense_target_load_A,dense_load_drop_A,dense_selected_ref_slew_us,dense_delay_events,dense_ref_start_delay_us,dense_selected_objective_score,dense_base_score,dense_score_settle005,dense_score_settle010,dense_undershoot_mV,dense_settle_time_us,dense_skip_count_est,dense_final_phase_spacing_std_ns,dense_final_vout_error_mV,dense_final_il_phase_imbalance_A,context_best_slew_us,context_best_score,context_best_family,delta_from_dense_us,abs_delta_from_dense_us,score_margin_vs_dense,regret,skip_extra_vs_dense,settle_extra_vs_dense_us,phase_extra_vs_dense_ns,undershoot_delta_vs_dense_mV,score_safe_eps025,observed_bad_candidate,r032_band_decision,r032_band_reason,r_hat_skip_risk,r_hat_settle_risk,r_hat_phase_risk,r_hat_total_risk,predicted_block,predicted_plant_admissible
1,,R027_0087,10A,score_settle010,discrete_dense_long_table,r030_dense_baseline,0.1,10,30,30.0,1.0,2,1.0,9.91554183158928,8.94914183158927,9.43234183158927,9.91554183158928,4.67957001179586,9.66400000000005,1,85.5707024315886,-0.558157771161638,0.321035538742375,1,,R027_0087,discrete_dense_long_table,r030_dense_baseline,0.1,10,30,30.0,2,1.0,9.91554183158928,8.94914183158927,9.43234183158927,9.91554183158928,4.67957001179586,9.66400000000005,1,85.5707024315886,-0.558157771161638,0.321035538742375,30.0,9.91554183158928,r030_dense_baseline,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,plant_admissible,dense fallback anchor,0.05,0.05,0.05,0.05,False,True
1,,R027_0088,10A,score_settle010,calibrated_risk_proxy_projection,r030_original_proxy,0.1,10,30,32.0,1.0,2,1.0,10.6073002790377,9.13610027903771,9.87170027903771,10.6073002790377,4.65792608214066,14.7120000000001,1,95.9302935055217,-0.559568326786608,0.414191311392336,1,,R027_0087,discrete_dense_long_table,r030_dense_baseline,0.1,10,30,30.0,2,1.0,9.91554183158928,8.94914183158927,9.43234183158927,9.91554183158928,4.67957001179586,9.66400000000005,1,85.5707024315886,-0.558157771161638,0.321035538742375,30.0,9.91554183158928,r030_dense_baseline,2.0,2.0,0.6917584474484197,0.6917584474484197,0,5.04800000000005,10.359591073933103,-0.02164392965520001,False,True,candidate_only,32us proxy is near-tie but not final plant command in R032,0.1,0.7,0.35,0.75,False,False
1,,R031_0001,10A,score_settle010,r031_minimal_candidate,r031_intermediate_candidate,0.1,10,30,31.0,1.0,2,1.0,10.4582279002636,8.99282790026364,9.72552790026364,10.4582279002636,4.67957001179586,14.6540000000001,1,88.316879541676,-0.546920297634257,0.212355553671049,1,,R027_0087,discrete_dense_long_table,r030_dense_baseline,0.1,10,30,30.0,2,1.0,9.91554183158928,8.94914183158927,9.43234183158927,9.91554183158928,4.67957001179586,9.66400000000005,1,85.5707024315886,-0.558157771161638,0.321035538742375,30.0,9.91554183158928,r030_dense_baseline,1.0,1.0,0.5426860686743193,0.5426860686743193,0,4.99000000000005,2.7461771100874017,0.0,False,True,candidate_only,"small near-tie perturbation, keep for ranking but default to dense",0.1,0.25,0.35,0.7,False,False
1,,R031_0002,10A,score_settle010,r031_minimal_candidate,r031_intermediate_candidate,0.1,10,30,33.0,1.0,2,1.0,10.4473308279693,8.97113082796927,9.70923082796928,10.4473308279693,4.65792608214066,14.762,1,88.0126692761374,-0.552951360305864,0.472118645462043,1,,R027_0087,discrete_dense_long_table,r030_dense_baseline,0.1,10,30,30.0,2,1.0,9.91554183158928,8.94914183158927,9.43234183158927,9.91554183158928,4.67957001179586,9.66400000000005,1,85.5707024315886,-0.558157771161638,0.321035538742375,30.0,9.91554183158928,r030_dense_baseline,3.0,3.0,0.5317889963800191,0.5317889963800191,0,5.097999999999951,2.4419668445488014,-0.02164392965520001,False,True,blocked,33us worsened tau=1us; require long-delay evidence,0.1,0.7,0.35,0.75,True,False
1,,R027_0101,10A,score_settle010,discrete_dense_long_table,r030_dense_baseline,0.1,10,30,30.0,5.0,10,5.0,10.5198408279676,8.70344082796763,9.61164082796763,10.5198408279676,4.29231243924144,18.164,1,92.7543186944456,-0.556042014837277,0.223892957367057,1,,R027_0101,discrete_dense_long_table,r030_dense_baseline,0.1,10,30,30.0,10,5.0,10.5198408279676,8.70344082796763,9.61164082796763,10.5198408279676,4.29231243924144,18.164,1,92.7543186944456,-0.556042014837277,0.223892957367057,33.0,10.3395326788619,r031_intermediate_candidate,0.0,0.0,0.0,0.18030814910570037,0,0.0,0.0,0.0,True,False,plant_admissible,dense fallback anchor,0.05,0.05,0.05,0.05,False,True
1,,R027_0102,10A,score_settle010,calibrated_risk_proxy_projection,r030_original_proxy,0.1,10,30,32.0,5.0,10,5.0,10.677949608175,8.74374960817498,9.71084960817498,10.677949608175,4.29231243924144,19.342,1,94.0965815887071,-0.569505537159398,0.318486913097387,1,,R027_0101,discrete_dense_long_table,r030_dense_baseline,0.1,10,30,30.0,10,5.0,10.5198408279676,8.70344082796763,9.61164082796763,10.5198408279676,4.29231243924144,18.164,1,92.7543186944456,-0.556042014837277,0.223892957367057,33.0,10.3395326788619,r031_intermediate_candidate,2.0,2.0,0.1581087802073995,0.33841692931309986,0,1.1779999999999973,1.342262894261495,0.0,True,False,candidate_only,32us proxy is near-tie but not final plant command in R032,0.1,0.25,0.35,0.45,False,False
1,,R031_0003,10A,score_settle010,r031_minimal_candidate,r031_intermediate_candidate,0.1,10,30,31.0,5.0,10,5.0,10.347781597216,8.52358159721604,9.43568159721604,10.347781597216,4.29231243924144,18.242,1,84.2526694277058,-0.546215769420488,0.327910585038484,1,,R027_0101,discrete_dense_long_table,r030_dense_baseline,0.1,10,30,30.0,10,5.0,10.5198408279676,8.70344082796763,9.61164082796763,10.5198408279676,4.29231243924144,18.164,1,92.7543186944456,-0.556042014837277,0.223892957367057,33.0,10.3395326788619,r031_intermediate_candidate,1.0,1.0,-0.1720592307516,0.008248918354100354,0,0.0779999999999994,-8.501649266739804,0.0,True,False,candidate_only,"small near-tie perturbation, keep for ranking but default to dense",0.1,0.25,0.35,0.45,False,False
1,,R031_0004,10A,score_settle010,r031_minimal_candidate,r031_intermediate_candidate,0.1,10,30,33.0,5.0,10,5.0,10.3395326788619,8.4591326788619,9.3993326788619,10.3395326788619,4.29231243924144,18.804,1,80.4751486757523,-0.557317266105417,0.211157243780192,1,,R027_0101,discrete_dense_long_table,r030_dense_baseline,0.1,10,30,30.0,10,5.0,10.5198408279676,8.70344082796763,9.61164082796763,10.5198408279676,4.29231243924144,18.164,1,92.7543186944456,-0.556042014837277,0.223892957367057,33.0,10.3395326788619,r031_intermediate_candidate,3.0,3.0,-0.18030814910570037,0.0,0,0.639999999999997,-12.279170018693307,0.0,True,False,plant_admissible,33us is allowed only in long-delay near-tie subband,0.1,0.25,0.35,0.2,False,True
1,,R027_0115,20A,base,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,0.5,1,0.5,2.04163672310345,2.04163672310345,2.76173672310345,3.48183672310345,1.03994639868477,14.4020000000001,0,28.3602945386385,-0.43448443364591,0.138386052779424,1,,R027_0115,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,1,0.5,2.04163672310345,2.04163672310345,2.76173672310345,3.48183672310345,1.03994639868477,14.4020000000001,0,28.3602945386385,-0.43448443364591,0.138386052779424,80.0,2.04163672310345,r030_dense_baseline,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,True,False,plant_admissible,dense fallback anchor,0.05,0.05,0.05,0.05,False,True
1,,R027_0116,20A,base,calibrated_risk_proxy_projection,r030_original_proxy,0.0,20,20,86.0,0.5,1,0.5,2.32105692218938,2.32105692218938,3.14685692218938,3.97265692218939,1.03994639868477,16.5160000000001,0,41.8546031877443,-0.444018459749729,0.290551429825774,1,,R027_0115,discrete_dense_long_table,r030_dense_baseline,0.0,20,20,80.0,1,0.5,2.04163672310345,2.04163672310345,2.76173672310345,3.48183672310345,1.03994639868477,14.4020000000001,0,28.3602945386385,-0.43448443364591,0.138386052779424,80.0,2.04163672310345,r030_dense_baseline,6.0,6.0,0.27942019908592997,0.27942019908592997,0,2.1140000000000008,13.494308649105804,0.0,False,False,blocked,86us direct override remains blocked after R031,0.1,0.3,0.3,0.75,True,False
