target_label,objective,tau_ai_us,policy,selected_family,selected_slew_us,selected_objective_score,context_best_score,dense_score,regret,margin_vs_dense,r_hat_total_risk,band_decision,rationale,deployability
10A,score_settle010,1.0,dense_fallback,r030_dense_baseline,30.0,9.91554183158928,9.91554183158928,9.91554183158928,0.0,0.0,0.05,plant_admissible,always use dense fallback,deployable_baseline
10A,score_settle010,1.0,direct_proxy_override,r030_original_proxy,32.0,10.6073002790377,9.91554183158928,9.91554183158928,0.6917584474484197,0.6917584474484197,0.75,candidate_only,old proxy direct override,negative_control
10A,score_settle010,1.0,r031_best_intermediate_only,r031_intermediate_candidate,33.0,10.4473308279693,9.91554183158928,9.91554183158928,0.5317889963800191,0.5317889963800191,0.75,blocked,best intermediate candidate without dense fallback,nondeployable_upper_candidate
10A,score_settle010,1.0,nearest_tau_loto_predictor,r031_intermediate_candidate,33.0,10.4473308279693,9.91554183158928,9.91554183158928,0.5317889963800191,0.5317889963800191,0.75,blocked,nearest training tau requested 33us,leave_one_tau_stress
10A,score_settle010,1.0,r032_delay_aware_band_projection,r030_dense_baseline,30.0,9.91554183158928,9.91554183158928,9.91554183158928,0.0,0.0,0.05,plant_admissible,dense fallback outside locally verified improvement band,calibrated_candidate
10A,score_settle010,5.0,dense_fallback,r030_dense_baseline,30.0,10.5198408279676,10.3395326788619,10.5198408279676,0.18030814910570037,0.0,0.05,plant_admissible,always use dense fallback,deployable_baseline
10A,score_settle010,5.0,direct_proxy_override,r030_original_proxy,32.0,10.677949608175,10.3395326788619,10.5198408279676,0.33841692931309986,0.1581087802073995,0.45,candidate_only,old proxy direct override,negative_control
10A,score_settle010,5.0,r031_best_intermediate_only,r031_intermediate_candidate,33.0,10.3395326788619,10.3395326788619,10.5198408279676,0.0,-0.18030814910570037,0.2,plant_admissible,best intermediate candidate without dense fallback,nondeployable_upper_candidate
10A,score_settle010,5.0,nearest_tau_loto_predictor,r030_dense_baseline,30.0,10.5198408279676,10.3395326788619,10.5198408279676,0.18030814910570037,0.0,0.05,plant_admissible,nearest training tau requested 30us,leave_one_tau_stress
10A,score_settle010,5.0,r032_delay_aware_band_projection,r031_intermediate_candidate,33.0,10.3395326788619,10.3395326788619,10.5198408279676,0.0,-0.18030814910570037,0.2,plant_admissible,long-delay near-tie band chooses 33us,calibrated_candidate
20A,base,0.5,dense_fallback,r030_dense_baseline,80.0,2.04163672310345,2.04163672310345,2.04163672310345,0.0,0.0,0.05,plant_admissible,always use dense fallback,deployable_baseline
20A,base,0.5,direct_proxy_override,r030_original_proxy,86.0,2.32105692218938,2.04163672310345,2.04163672310345,0.27942019908592997,0.27942019908592997,0.75,blocked,old proxy direct override,negative_control
20A,base,0.5,r031_best_intermediate_only,r031_intermediate_candidate,82.0,2.15667289784683,2.04163672310345,2.04163672310345,0.11503617474338013,0.11503617474338013,0.45,candidate_only,best intermediate candidate without dense fallback,nondeployable_upper_candidate
20A,base,0.5,nearest_tau_loto_predictor,r030_dense_baseline,80.0,2.04163672310345,2.04163672310345,2.04163672310345,0.0,0.0,0.05,plant_admissible,nearest training tau requested 80us,leave_one_tau_stress
20A,base,0.5,r032_delay_aware_band_projection,r030_dense_baseline,80.0,2.04163672310345,2.04163672310345,2.04163672310345,0.0,0.0,0.05,plant_admissible,dense fallback outside locally verified improvement band,calibrated_candidate
20A,base,2.0,dense_fallback,r030_dense_baseline,80.0,1.98859649972039,1.98859649972039,1.98859649972039,0.0,0.0,0.05,plant_admissible,always use dense fallback,deployable_baseline
20A,base,2.0,direct_proxy_override,r030_original_proxy,86.0,2.17626498373689,1.98859649972039,1.98859649972039,0.18766848401649994,0.18766848401649994,0.75,blocked,old proxy direct override,negative_control
20A,base,2.0,r031_best_intermediate_only,r031_intermediate_candidate,84.0,2.1958759343848,1.98859649972039,1.98859649972039,0.20727943466441023,0.20727943466441023,0.45,candidate_only,best intermediate candidate without dense fallback,nondeployable_upper_candidate
20A,base,2.0,nearest_tau_loto_predictor,r030_dense_baseline,80.0,1.98859649972039,1.98859649972039,1.98859649972039,0.0,0.0,0.05,plant_admissible,nearest training tau requested 80us,leave_one_tau_stress
20A,base,2.0,r032_delay_aware_band_projection,r030_dense_baseline,80.0,1.98859649972039,1.98859649972039,1.98859649972039,0.0,0.0,0.05,plant_admissible,dense fallback outside locally verified improvement band,calibrated_candidate
20A,base,5.0,dense_fallback,r030_dense_baseline,80.0,4.06742981026684,4.06742981026684,4.06742981026684,0.0,0.0,0.05,plant_admissible,always use dense fallback,deployable_baseline
20A,base,5.0,direct_proxy_override,r030_original_proxy,86.0,4.21353294792564,4.06742981026684,4.06742981026684,0.1461031376588,0.1461031376588,0.75,blocked,old proxy direct override,negative_control
20A,base,5.0,r031_best_intermediate_only,r031_intermediate_candidate,84.0,4.06889567589001,4.06742981026684,4.06742981026684,0.0014658656231700817,0.0014658656231700817,0.45,candidate_only,best intermediate candidate without dense fallback,nondeployable_upper_candidate
20A,base,5.0,nearest_tau_loto_predictor,r030_dense_baseline,80.0,4.06742981026684,4.06742981026684,4.06742981026684,0.0,0.0,0.05,plant_admissible,nearest training tau requested 80us,leave_one_tau_stress
20A,base,5.0,r032_delay_aware_band_projection,r030_dense_baseline,80.0,4.06742981026684,4.06742981026684,4.06742981026684,0.0,0.0,0.05,plant_admissible,dense fallback outside locally verified improvement band,calibrated_candidate
20A,score_settle005,0.5,dense_fallback,r030_dense_baseline,30.0,2.78474769188034,2.26877971837553,2.78474769188034,0.5159679735048099,0.0,0.05,plant_admissible,always use dense fallback,deployable_baseline
20A,score_settle005,0.5,direct_proxy_override,r030_original_proxy,66.0,4.84634670296979,2.26877971837553,2.78474769188034,2.5775669845942604,2.0615990110894504,0.85,blocked,old proxy direct override,negative_control
20A,score_settle005,0.5,r031_best_intermediate_only,r031_intermediate_candidate,50.0,2.26877971837553,2.26877971837553,2.78474769188034,0.0,-0.5159679735048099,0.2,plant_admissible,best intermediate candidate without dense fallback,nondeployable_upper_candidate
20A,score_settle005,0.5,nearest_tau_loto_predictor,r031_intermediate_candidate,38.0,4.17757679373559,2.26877971837553,2.78474769188034,1.9087970753600603,1.3928291018552503,0.75,candidate_only,nearest training tau requested 38us,leave_one_tau_stress
20A,score_settle005,0.5,r032_delay_aware_band_projection,r031_intermediate_candidate,50.0,2.26877971837553,2.26877971837553,2.78474769188034,0.0,-0.5159679735048099,0.2,plant_admissible,short-delay settling-aware band chooses 50us,calibrated_candidate
20A,score_settle005,1.0,dense_fallback,r030_dense_baseline,30.0,4.55941532061638,2.22102661291168,4.55941532061638,2.3383887077047003,0.0,0.05,plant_admissible,always use dense fallback,deployable_baseline
20A,score_settle005,1.0,direct_proxy_override,r030_original_proxy,66.0,2.87127449305964,2.22102661291168,4.55941532061638,0.6502478801479601,-1.6881408275567402,0.85,blocked,old proxy direct override,negative_control
