target_label,objective,tau_ai_us,candidate_ref_slew_us,selected_objective_score,undershoot_mV,settle_time_us,skip_count_est,phase_std_ns,evidence_source,source_priority,context_best_score_after_r038,regret_after_r038
20A,score_settle005,1.25,30.0,4.98873558845283,1.05338832954927,0.938000000000024,1,70.1019665509665,R036_dense_pair,3,2.1458679818901,2.84286760656273
20A,score_settle005,1.25,38.0,2.33513547839354,1.00107392878601,0.938000000000024,0,42.3724978191609,R036_dense_pair,3,2.1458679818901,0.1892674965034402
20A,score_settle005,1.25,42.0,2.34517641090379,1.00107392878601,0.938000000000024,0,42.6427404718624,R038_minimal_extrapolation,4,2.1458679818901,0.19930842901369017
20A,score_settle005,1.25,44.0,2.42123752691489,1.00107392878601,0.938000000000024,0,46.1435647885606,R038_minimal_extrapolation,4,2.1458679818901,0.27536954502479016
20A,score_settle005,1.25,46.0,2.1458679818901,1.00107392878601,0.938000000000024,0,32.9599564653042,R036_dense_pair,3,2.1458679818901,0.0
20A,score_settle005,1.25,50.0,4.71402088199863,1.00107392878601,10.062,1,38.7730474227931,R036_dense_pair,3,2.1458679818901,2.5681529001085304
20A,score_settle005,1.25,54.0,3.1397379481676,1.00107392878601,10.0600000000001,0,58.7305928777343,R036_dense_pair,3,2.1458679818901,0.9938699662775003
20A,score_settle005,1.25,58.0,2.84642417958964,1.00107392878601,10.0600000000001,0,44.9226495710375,R036_dense_pair,3,2.1458679818901,0.70055619769954
20A,score_settle005,1.5,30.0,4.31207805266154,0.991779598240816,0.938000000000024,1,41.7665469546674,R033_delay_boundary,3,2.14124057585513,2.1708374768064096
20A,score_settle005,1.5,38.0,2.34625758081584,0.991779598240816,0.938000000000024,0,43.3554430450705,R034_full_transition,3,2.14124057585513,0.20501700496070985
20A,score_settle005,1.5,46.0,4.7708392364743,0.991779598240816,10.0400000000001,1,41.9327882478362,R038_minimal_extrapolation,4,2.14124057585513,2.62959866061917
20A,score_settle005,1.5,50.0,2.14124057585513,0.991779598240816,0.938000000000024,0,33.4676816392218,R034_full_transition,3,2.14124057585513,0.0
20A,score_settle005,1.5,54.0,2.86061164028302,0.991779598240816,12.21,0,40.961963233717,R038_minimal_extrapolation,4,2.14124057585513,0.7193710644278899
20A,score_settle005,1.5,58.0,2.95347679866476,0.991779598240816,12.232,0,45.5676019697673,R034_full_transition,3,2.14124057585513,0.8122362228096298
20A,score_settle005,1.5,66.0,2.78479163508632,0.991779598240816,12.27,0,37.0754271946765,R033_delay_boundary,3,2.14124057585513,0.6435510592311902
20A,score_settle005,1.75,30.0,4.31719138789756,0.991779598240816,0.938000000000024,1,41.9226821712128,R036_dense_pair,3,2.14184679648936,2.1753445914081997
20A,score_settle005,1.75,38.0,2.30073671402463,0.991779598240816,0.938000000000024,0,41.3419781723188,R036_dense_pair,3,2.14184679648936,0.15888991753527026
20A,score_settle005,1.75,46.0,4.17839615172919,0.991779598240816,0.938000000000024,1,35.195995034956,R036_dense_pair,3,2.14184679648936,2.0365493552398304
20A,score_settle005,1.75,50.0,2.88593932063923,0.991779598240816,12.2020000000001,0,42.5004201674291,R036_dense_pair,3,2.14184679648936,0.7440925241498699
20A,score_settle005,1.75,52.0,2.97316362778122,0.991779598240816,12.208,0,46.3767867511571,R038_minimal_extrapolation,4,2.14184679648936,0.83131683129186
20A,score_settle005,1.75,54.0,2.14184679648936,1.00803410686667,0.938000000000024,0,32.6242192638823,R036_dense_pair,3,2.14184679648936,0.0
20A,score_settle005,1.75,56.0,2.88487065426133,0.991779598240816,12.228,0,41.8706707297443,R038_minimal_extrapolation,4,2.14184679648936,0.7430238577719699
20A,score_settle005,1.75,58.0,2.99182104466666,0.991779598240816,12.246,0,47.0941376254198,R036_dense_pair,3,2.14184679648936,0.8499742481773
20A,score_settle005,2.0,30.0,2.09256629605036,0.991779598240816,0.938000000000024,0,31.1333126564203,R031_minimal_dense_inclusive,3,2.07238375262604,0.02018254342431991
20A,score_settle005,2.0,38.0,2.5790621856906,0.991779598240816,0.938000000000024,0,54.2581717949389,R034_full_transition,3,2.07238375262604,0.5066784330645602
20A,score_settle005,2.0,42.0,2.5717896664366,0.991779598240816,0.938000000000024,0,53.8413306765128,R038_minimal_extrapolation,4,2.07238375262604,0.49940591381056
20A,score_settle005,2.0,44.0,2.09013525722629,0.991779598240816,0.938000000000024,0,30.7015846761689,R038_minimal_extrapolation,4,2.07238375262604,0.0177515046002501
20A,score_settle005,2.0,46.0,2.27393957181685,0.991779598240816,0.938000000000024,0,39.7220964169689,R034_full_transition,3,2.07238375262604,0.20155581919080978
20A,score_settle005,2.0,48.0,2.07238375262604,0.991779598240816,0.938000000000024,0,30.0823736828782,R038_minimal_extrapolation,4,2.07238375262604,0.0
20A,score_settle005,2.0,50.0,2.30068098631418,0.991779598240816,0.938000000000024,0,40.6779063319901,R034_full_transition,3,2.07238375262604,0.22829723368813992
20A,score_settle005,2.0,54.0,2.77620330047599,0.991779598240816,12.228,0,36.9111423897905,R034_full_transition,3,2.07238375262604,0.70381954784995
20A,score_settle005,2.0,58.0,2.96940301479791,0.991779598240816,12.2260000000001,0,46.1966466189913,R034_full_transition,3,2.07238375262604,0.8970192621718698
20A,score_settle005,2.0,66.0,4.88551818189707,0.991779598240816,14.384,1,36.6356953557532,R031_minimal_dense_inclusive,3,2.07238375262604,2.81313442927103
