case_id,target_label,objective,base_load_A,target_load_A,load_drop_A,load_step_offset_us,tau_ai_us,selected_ref_slew_us,delta_v_allow_mV,role
r042_near0_off0p050,near0,pr_ecb_phase_dense,40,1,39,0.05,1.25,60,10,pre_turnoff_probe
r042_near0_off0p090,near0,pr_ecb_phase_dense,40,1,39,0.09,1.25,60,10,pre_turnoff_probe
r042_near0_off0p105,near0,pr_ecb_phase_dense,40,1,39,0.105,1.25,60,10,turnoff_boundary_probe
r042_near0_off0p125,near0,pr_ecb_phase_dense,40,1,39,0.125,1.25,60,10,post_turnoff_probe
r042_near0_off0p200,near0,pr_ecb_phase_dense,40,1,39,0.2,1.25,60,10,post_turnoff_probe
r042_5A_off0p050,5A,pr_ecb_phase_dense,40,5,35,0.05,1.25,60,10,pre_turnoff_probe
r042_5A_off0p090,5A,pr_ecb_phase_dense,40,5,35,0.09,1.25,60,10,pre_turnoff_probe
r042_5A_off0p105,5A,pr_ecb_phase_dense,40,5,35,0.105,1.25,60,10,turnoff_boundary_probe
r042_5A_off0p125,5A,pr_ecb_phase_dense,40,5,35,0.125,1.25,60,10,post_turnoff_probe
r042_5A_off0p200,5A,pr_ecb_phase_dense,40,5,35,0.2,1.25,60,10,post_turnoff_probe
r042_10A_off0p050,10A,pr_ecb_phase_dense,40,10,30,0.05,1.25,60,10,pre_turnoff_probe
r042_10A_off0p090,10A,pr_ecb_phase_dense,40,10,30,0.09,1.25,60,10,pre_turnoff_probe
r042_10A_off0p105,10A,pr_ecb_phase_dense,40,10,30,0.105,1.25,60,10,turnoff_boundary_probe
r042_10A_off0p125,10A,pr_ecb_phase_dense,40,10,30,0.125,1.25,60,10,post_turnoff_probe
r042_10A_off0p200,10A,pr_ecb_phase_dense,40,10,30,0.2,1.25,60,10,post_turnoff_probe
r042_20A_off0p050,20A,pr_ecb_phase_dense,40,20,20,0.05,1.25,46,10,pre_turnoff_probe
r042_20A_off0p090,20A,pr_ecb_phase_dense,40,20,20,0.09,1.25,46,10,pre_turnoff_probe
r042_20A_off0p105,20A,pr_ecb_phase_dense,40,20,20,0.105,1.25,46,10,turnoff_boundary_probe
r042_20A_off0p125,20A,pr_ecb_phase_dense,40,20,20,0.125,1.25,46,10,post_turnoff_probe
r042_20A_off0p200,20A,pr_ecb_phase_dense,40,20,20,0.2,1.25,46,10,post_turnoff_probe
