case_id,target_label,load_step_offset_us,target_load_A,load_drop_A,active_hsrem_phases,remaining_ton_total_ns,E_HS_rem_uJ,delta_v_energy_mV,delta_v_charge_esr_mV,delta_v_energy_corr_mV,delta_v_max_r042_mV,delta_v_max_corr_mV,delta_v_actual_peak_mV,r_E_energy,r_E_charge_esr,r_E_max_raw,r_E_energy_corr,r_E_max_corr,energy_over_actual,charge_esr_over_actual,max_r042_over_actual,energy_corr_over_actual,max_corr_over_actual,energy_under_actual,energy_corr_under_actual
r042_10A_off0p050,10A,0.050000,10.000000,30.000000,4,52.000000,7.884750,5.968583,6.735914,7.048134,6.735914,7.048134,3.990838,0.596858,0.673591,0.673591,0.704813,0.704813,1.495571,1.687844,1.687844,1.766079,1.766079,0,0
r042_10A_off0p090,10A,0.090000,10.000000,30.000000,4,12.000000,1.960861,6.589310,6.692056,6.857727,6.692056,6.857727,3.826477,0.658931,0.669206,0.669206,0.685773,0.685773,1.722030,1.748882,1.748882,1.792178,1.792178,0,0
r042_10A_off0p105,10A,0.105000,10.000000,30.000000,,0.000000,0.000000,6.831701,6.663028,6.831701,6.831701,6.831701,3.760722,0.683170,0.666303,0.683170,0.683170,0.683170,1.816593,1.771742,1.816593,1.816593,1.816593,0,0
r042_10A_off0p125,10A,0.125000,10.000000,30.000000,,0.000000,0.000000,6.676076,6.526129,6.676076,6.676076,6.676076,3.678520,0.667608,0.652613,0.667608,0.667608,0.667608,1.814881,1.774118,1.814881,1.814881,1.814881,0,0
r042_10A_off0p200,10A,0.200000,10.000000,30.000000,,0.000000,0.000000,6.189537,6.047204,6.189537,6.189537,6.189537,3.374290,0.618954,0.604720,0.618954,0.618954,0.618954,1.834323,1.792141,1.834323,1.834323,1.834323,0,0
r042_20A_off0p050,20A,0.050000,20.000000,20.000000,4,52.000000,7.884750,4.940635,3.928761,6.021289,4.940635,6.021289,2.097722,0.494063,0.392876,0.494063,0.602129,0.602129,2.355238,1.872870,2.355238,2.870394,2.870394,0,0
r042_20A_off0p090,20A,0.090000,20.000000,20.000000,4,12.000000,1.960861,5.561998,3.939380,5.830688,5.561998,5.830688,2.064449,0.556200,0.393938,0.556200,0.583069,0.583069,2.694180,1.908199,2.694180,2.824331,2.824331,0,0
r042_20A_off0p105,20A,0.105000,20.000000,20.000000,,0.000000,0.000000,5.804636,3.932147,5.804636,5.804636,5.804636,2.065414,0.580464,0.393215,0.580464,0.580464,0.580464,2.810399,1.903806,2.810399,2.810399,2.810399,0,0
r042_20A_off0p125,20A,0.125000,20.000000,20.000000,,0.000000,0.000000,5.648852,3.822497,5.648852,5.648852,5.648852,2.134350,0.564885,0.382250,0.564885,0.564885,0.564885,2.646638,1.790942,2.646638,2.646638,2.646638,0,0
r042_20A_off0p200,20A,0.200000,20.000000,20.000000,,0.000000,0.000000,5.161816,3.444431,5.161816,5.161816,5.161816,2.151315,0.516182,0.344443,0.516182,0.516182,0.516182,2.399377,1.601082,2.399377,2.399377,2.399377,0,0
r042_5A_off0p050,5A,0.050000,5.000000,35.000000,4,52.000000,7.884750,6.225406,8.386077,7.304682,8.386077,8.386077,5.184132,0.622541,0.838608,0.838608,0.730468,0.838608,1.200858,1.617643,1.617643,1.409046,1.617643,0,0
r042_5A_off0p090,5A,0.090000,5.000000,35.000000,4,12.000000,1.960861,6.845975,8.315129,7.114322,8.315129,8.315129,4.992665,0.684597,0.831513,0.831513,0.711432,0.831513,1.371207,1.665469,1.665469,1.424955,1.665469,0,0
r042_5A_off0p105,5A,0.105000,5.000000,35.000000,,0.000000,0.000000,7.088304,8.275261,7.088304,8.275261,8.275261,4.916064,0.708830,0.827526,0.827526,0.708830,0.827526,1.441865,1.683310,1.683310,1.441865,1.683310,0,0
r042_5A_off0p125,5A,0.125000,5.000000,35.000000,,0.000000,0.000000,6.932718,8.124812,6.932718,8.124812,8.124812,4.820303,0.693272,0.812481,0.812481,0.693272,0.812481,1.438233,1.685540,1.685540,1.438233,1.685540,0,0
r042_5A_off0p200,5A,0.200000,5.000000,35.000000,,0.000000,0.000000,6.446303,7.595728,6.446303,7.595728,7.595728,4.465881,0.644630,0.759573,0.759573,0.644630,0.759573,1.443456,1.700835,1.700835,1.443456,1.700835,0,0
r042_near0_off0p050,near0,0.050000,1.000000,39.000000,4,52.000000,7.884750,6.307576,9.825971,7.386763,9.825971,9.825971,6.258599,0.630758,0.982597,0.982597,0.738676,0.982597,1.007826,1.569995,1.569995,1.180258,1.569995,0,0
r042_near0_off0p090,near0,0.090000,1.000000,39.000000,4,12.000000,1.960861,6.928094,9.733436,7.196419,9.733436,9.733436,6.045531,0.692809,0.973344,0.973344,0.719642,0.973344,1.145986,1.610022,1.610022,1.190370,1.610022,0,0
r042_near0_off0p105,near0,0.105000,1.000000,39.000000,,0.000000,0.000000,7.170403,9.684930,7.170403,9.684930,9.684930,5.960288,0.717040,0.968493,0.968493,0.717040,0.968493,1.203030,1.624910,1.624910,1.203030,1.624910,0,0
r042_near0_off0p125,near0,0.125000,1.000000,39.000000,,0.000000,0.000000,7.014829,9.523681,7.014829,9.523681,9.523681,5.853720,0.701483,0.952368,0.952368,0.701483,0.952368,1.198354,1.626945,1.626945,1.198354,1.626945,0,0
r042_near0_off0p200,near0,0.200000,1.000000,39.000000,,0.000000,0.000000,6.528455,8.954620,6.528455,8.954620,8.954620,5.459297,0.652845,0.895462,0.895462,0.652845,0.895462,1.195842,1.640251,1.640251,1.195842,1.640251,0,0
