source,case_id,target_label,target_load_A,load_drop_A,load_segment,load_step_offset_us,active_hsrem,active_hsrem_phases,remaining_ton_total_ns,E_HS_rem_uJ,delta_v_energy_mV,delta_v_charge_esr_mV,delta_v_energy_corr_mV,delta_v_max_corr_mV,delta_v_actual_peak_mV,dominant_raw,dominant_corrected,recommended_bound,recommended_bound_mV,recommended_over_actual,r_E_recommended,max_corr_over_actual,r_E_max_corr
r040_r041_corrected,r040_near0_off0p000,near0,1.0,39.0,high_drop_charge_esr,0.0,True,4,102.0,13.957301,5.717379,9.929436,7.628051,9.929436,6.524852,charge_esr,charge_esr,charge_esr,9.929436,1.5217871608428821,0.9929436,1.521787,0.992944
r042_phase_dense,r042_near0_off0p050,near0,1.0,39.0,high_drop_charge_esr,0.05,True,4,52.0,7.88475,6.307576,9.825971,7.386763,9.825971,6.258599,charge_esr,charge_esr,charge_esr,9.825971,1.569995297669654,0.9825970999999999,1.569995,0.982597
r042_phase_dense,r042_near0_off0p090,near0,1.0,39.0,high_drop_charge_esr,0.09,True,4,12.0,1.960861,6.928094,9.733436,7.196419,9.733436,6.045531,charge_esr,charge_esr,charge_esr,9.733436,1.6100216837859236,0.9733436,1.610022,0.973344
r042_phase_dense,r042_near0_off0p105,near0,1.0,39.0,high_drop_charge_esr,0.105,False,,0.0,0.0,7.170403,9.68493,7.170403,9.68493,5.960288,charge_esr,charge_esr,charge_esr,9.68493,1.624909735905379,0.9684929999999999,1.62491,0.968493
r042_phase_dense,r042_near0_off0p125,near0,1.0,39.0,high_drop_charge_esr,0.125,False,,0.0,0.0,7.014829,9.523681,7.014829,9.523681,5.85372,charge_esr,charge_esr,charge_esr,9.523681,1.6269450879099103,0.9523680999999999,1.626945,0.952368
r042_phase_dense,r042_near0_off0p200,near0,1.0,39.0,high_drop_charge_esr,0.2,False,,0.0,0.0,6.528455,8.95462,6.528455,8.95462,5.459297,charge_esr,charge_esr,charge_esr,8.95462,1.6402514829290291,0.895462,1.640251,0.895462
r040_r041_corrected,r040_near0_off0p250,near0,1.0,39.0,high_drop_charge_esr,0.25,False,,0.0,0.0,6.21139,8.579882,6.21139,8.579882,5.192687,charge_esr,charge_esr,charge_esr,8.579882,1.6523010148695654,0.8579882,1.652301,0.857988
r042_phase_dense,r042_5A_off0p050,5A,5.0,35.0,high_drop_charge_esr,0.05,True,4,52.0,7.88475,6.225406,8.386077,7.304682,8.386077,5.184132,charge_esr,charge_esr,charge_esr,8.386077,1.6176434164870803,0.8386077000000001,1.617643,0.838608
r042_phase_dense,r042_5A_off0p090,5A,5.0,35.0,high_drop_charge_esr,0.09,True,4,12.0,1.960861,6.845975,8.315129,7.114322,8.315129,4.992665,charge_esr,charge_esr,charge_esr,8.315129,1.6654690430862078,0.8315129000000001,1.665469,0.831513
r042_phase_dense,r042_5A_off0p105,5A,5.0,35.0,high_drop_charge_esr,0.105,False,,0.0,0.0,7.088304,8.275261,7.088304,8.275261,4.916064,charge_esr,charge_esr,charge_esr,8.275261,1.683310266099058,0.8275261,1.68331,0.827526
r042_phase_dense,r042_5A_off0p125,5A,5.0,35.0,high_drop_charge_esr,0.125,False,,0.0,0.0,6.932718,8.124812,6.932718,8.124812,4.820303,charge_esr,charge_esr,charge_esr,8.124812,1.6855396849534148,0.8124812,1.68554,0.812481
r042_phase_dense,r042_5A_off0p200,5A,5.0,35.0,high_drop_charge_esr,0.2,False,,0.0,0.0,6.446303,7.595728,6.446303,7.595728,4.465881,charge_esr,charge_esr,charge_esr,7.595728,1.7008352887145894,0.7595728,1.700835,0.759573
r040_r041_corrected,r040_10A_off0p000,10A,10.0,30.0,mid_drop_transition,0.0,True,4,102.0,13.957301,5.378187,6.77856,7.289503,7.289503,4.196235,charge_esr,corrected_energy,corrected_energy,7.289503,1.7371531861299476,0.7289502999999999,1.737153,0.72895
r042_phase_dense,r042_10A_off0p050,10A,10.0,30.0,mid_drop_transition,0.05,True,4,52.0,7.88475,5.968583,6.735914,7.048134,7.048134,3.990838,charge_esr,corrected_energy,corrected_energy,7.048134,1.7660787032698395,0.7048134,1.766079,0.704813
r042_phase_dense,r042_10A_off0p090,10A,10.0,30.0,mid_drop_transition,0.09,True,4,12.0,1.960861,6.58931,6.692056,6.857727,6.857727,3.826477,charge_esr,corrected_energy,corrected_energy,6.857727,1.792177765605281,0.6857727,1.792178,0.685773
r042_phase_dense,r042_10A_off0p105,10A,10.0,30.0,mid_drop_transition,0.105,False,,0.0,0.0,6.831701,6.663028,6.831701,6.831701,3.760722,energy,energy,energy,6.831701,1.816592930825517,0.6831701,1.816593,0.68317
