rho,kp_vc,nominal_unconstrained_objective,robust_objective,worst_vmin_mV,worst_vmax_mV,worst_pre_std_ns,worst_high_std_ns,robust_feasible
-0.08,0.04,63.842677610131446,74.47466090814817,-47.40472849868327,41.14628438625423,2.0483055327675714,16.661544991888235,False
-0.08,0.08,34.13264152885067,38.38325531890512,-26.94480831570423,17.970933949168266,2.1256600010193183,6.020625705379647,False
-0.08,0.12,22.932584092855922,25.705574205011246,-18.783841052985363,10.423880404315966,2.0411929085440454,3.566371862893806,True
-0.08,0.16,17.261677427510435,19.627413840733528,-14.451553581825927,7.033453816277069,2.318308457098332,2.778310325445456,False
-0.08,0.24,11.85756070722659,14.065989677986305,-10.172990111472435,4.234081074425466,2.5526559342494486,2.389283927448081,False
-0.08,0.32,9.584700130029834,11.754699552793248,-8.250929784123674,3.3386453278112516,2.457728231892939,2.3849886132953206,False
-0.04,0.04,64.28942355488276,74.97891973994167,-47.93211087384375,40.944635193721936,2.13236204603238,16.715410291332407,False
-0.04,0.08,34.730405974339604,39.06798955416387,-27.700229944022436,17.65318859700793,2.015398509823561,6.16977436398533,False
-0.04,0.12,23.449990808023813,26.19316148511623,-19.445856142617068,10.064645539712425,2.00118870738392,3.5351508573316943,True
-0.04,0.16,17.694272955520198,20.01164238913984,-15.0386930082812,6.658963871013279,2.1830609367381384,2.7574092523864784,True
-0.04,0.24,12.256268278312476,14.380814943766564,-10.690795369067029,3.980210959905417,2.224071102980628,2.3845230997386344,False
-0.04,0.32,9.950536835350189,12.071061862093092,-8.703065775288344,3.1196371560926472,2.4827586206914383,2.292189396933763,False
-0.02,0.04,64.48800088270936,75.15874671313667,-48.16717983072183,40.84597221361452,2.0059364927218413,16.752328415254134,False
-0.02,0.08,35.03739359017444,39.46495429355143,-28.069900113671608,17.487802798322072,2.1917584251133895,6.237342555028294,False
-0.02,0.12,23.71442900161367,26.445604613110124,-19.80005817476571,9.864623222886282,1.8246560765954305,3.5871672103521184,True
-0.02,0.16,17.93182713616246,20.296980894929142,-15.339654179482798,6.4804323916991535,2.3183084570954406,2.782768702730078,False
-0.02,0.24,12.449217126737544,14.64693361291839,-10.920361063683215,3.8340700389563054,2.4108356266135034,2.4494897427810045,False
-0.02,0.32,10.102148775812925,12.304921800624571,-8.90027849763353,3.007103505785036,2.6315564177046515,2.353891625609388,False
0.0,0.04,64.7720376124636,75.54307078719097,-48.489844621582904,40.730064332160424,1.689303270885602,17.09068241913034,False
0.0,0.08,35.360358658076365,39.710390494403285,-28.45285035615719,17.32590866259254,1.8735279596174044,6.275197142206433,False
0.0,0.12,23.979652056527566,26.853294045909806,-20.13916840997576,9.6810194831487,2.189587291915614,3.641402758499802,True
0.0,0.16,18.175639114058928,20.34560026866406,-15.654007302711825,6.304079528367756,1.9012481037378357,2.6659778724729724,True
0.0,0.24,12.662752548982326,14.691164670535462,-11.197654439242367,3.6898526218041017,2.320359150517669,2.202435729026925,False
0.0,0.32,10.321763022616604,12.456239775509362,-9.167517622331257,2.885751156923577,2.442197408222922,2.3362707799029967,False
0.02,0.04,64.96065965023058,75.82116843272813,-48.726897200056854,40.63178244339527,1.8861785284405446,17.126174494634988,False
0.02,0.08,35.68628890862911,40.13119006846602,-28.8478373249772,17.154447140369513,2.0620574327949472,6.33826109583755,False
0.02,0.12,24.271317836254912,27.09244893732093,-20.496109176845636,9.477324633049955,1.9940458337669185,3.6786602618753976,True
0.02,0.16,18.407482994485736,20.793435082375733,-15.966729001892222,6.101884981483785,2.3142016187047174,2.8194860037976333,False
0.02,0.24,12.90139224827036,15.05387254507699,-11.501894204591023,3.5485660261658225,2.4128076806229175,2.347849376387937,False
0.02,0.32,10.47251151790869,12.58676947259733,-9.3784312007007,2.7704711306106855,2.221931543946342,2.3892839274474245,False
0.04,0.04,65.2663684031006,76.12630659658416,-49.07610674336493,40.51795411332382,1.8402295260862225,17.151582250106383,False
0.04,0.08,36.029812664836896,40.43024356443591,-29.247182486898172,16.99810650147482,1.8735279596159593,6.36960014843837,False
0.04,0.12,24.562518710409222,27.44838724018296,-20.8610990048258,9.277942921808613,2.196094252152316,3.6954713183133676,True
0.04,0.16,18.66771670923397,21.043141462379154,-16.30376420667201,5.909881256404903,2.132362046029478,2.8928602322272328,True
0.04,0.24,13.111934721514707,15.118686698943069,-11.771232229463635,3.410700400413136,2.096370228085,2.257105401481132,True
0.04,0.32,10.697707106974196,12.759164187514198,-9.641521080587466,2.6411202616600793,2.369043315491328,2.2508033460255032,False
0.08,0.04,65.75675303928014,76.80167828291509,-49.65465743613628,40.30334802210156,2.149935399547632,17.301168363456476,False
0.08,0.08,36.71195100204652,41.13746691578182,-30.098498683913345,16.632105820489016,1.6275407487648794,6.496439465072339,False
0.08,0.12,25.163691432513513,28.001808016364393,-21.62147289559091,8.866637754987305,1.9275776393050217,3.7590112116450887,True
0.08,0.16,19.19283092378099,21.520849971871485,-16.98560426746476,5.518066640790575,2.10923893594062,2.8254122788471854,True
0.08,0.24,13.605959839777482,15.59271673704412,-12.376591715359542,3.1012970930890393,2.1134489978866737,2.2359524751382667,True
0.08,0.32,11.120952130064165,13.011339896433697,-10.144344383083425,2.467137631855021,1.9724620201481364,2.147336424273037,True
