case_index,actuator,pattern,normalization,load_A,amplitude,success,error_message,G_vout_mean_V,G_vout_ripple_mVpp,G_current_imbalance_A,G_m1_current_A,G_m2_current_A,G_qh_frequency_mean_Hz,G_qh_frequency_spread_Hz,G_phase_spacing_mean_ns,G_phase_spacing_std_ns,baseline_current_imbalance_A,baseline_phase_spacing_std_ns
1,Lambda,m2_alt,per_1e-13_Vs,20,6e-11,1,,2.064961723743e-09,1.6320303771189e-05,3.17650504291585e-05,-1.58825252145793e-05,2.07994881556558e-06,-0.50252493492866,0.14886773375998,0.000948717948717596,0.00149488569024667,0.185554998948562,142.602731988434
2,Ton,m2_alt,per_0p1ns,20,4e-09,1,,-6.71777697407172e-07,0.00259330725383422,0.00140463049505267,-0.00114662955569403,0.00991724930120011,14.6098886218599,-9.82366931831566,-0.0386594742056687,0.0535895098671787,0.185554998948562,142.602731988434
3,Lambda,one_phase,per_1e-13_Vs,20,6e-11,1,,-8.0245831324266e-09,3.27571429064218e-05,-2.38840336202732e-05,1.56461670935933e-05,4.14942408658877e-06,0.118833294570698,0.0933120934760276,0.00110761460752703,0.0198908734793493,0.185554998948562,142.602731988434
4,Ton,one_phase,per_0p1ns,20,4e-09,1,,-1.00204286378192e-06,0.000586384735094814,0.00324197192293973,0.00482681656675518,0.002853924695915,-40.566812677859,-11.1641359575551,0.0278786057692386,0.259076720249836,0.185554998948562,142.602731988434
5,Lambda,m2_alt,per_1e-13_Vs,40,6e-11,1,,-2.91526301143819e-08,0.000122225480372699,6.44357573782362e-05,1.0533050648367e-05,-3.97031051524703e-06,1.14018207935932,0.122941421594733,0.000797101449316671,0.00141028580971246,0.179903257406758,57.3446676877016
6,Ton,m2_alt,per_0p1ns,40,4e-09,1,,-1.78300746050963e-07,-0.00122567126943363,0.000102404975223214,-0.00021419882600151,0.0493950877134435,-1.23051243104637,-4.50005403814866,-0.0152173913043512,0.0217057830979583,0.179903257406758,57.3446676877016
7,Lambda,one_phase,per_1e-13_Vs,40,6e-11,1,,-3.26244532653878e-08,4.60252580777865e-05,-4.16756711837385e-05,-4.26506342915367e-05,-1.89452006251582e-05,-0.0374691632496251,0.748012005063162,0.000628019323671509,0.00642326098103865,0.179903257406758,57.3446676877016
8,Ton,one_phase,per_0p1ns,40,4e-09,1,,-1.86893637379879e-05,0.036408125391485,0.0115151526348497,0.0322390059803905,0.0152487074951361,-45.0527345922579,-3.56530264889152,0.0336128364389225,0.555294556647071,0.179903257406758,57.3446676877016
9,Lambda,m2_alt,per_1e-13_Vs,50,6e-11,1,,-1.63110906134523e-08,0.000141595560213074,-1.6996869620279e-05,1.76728694143528e-05,-9.81315323253629e-06,1.23053866972337,0.208723528925863,-0.00101623630672885,-0.00226687951950875,0.0398983924197456,4.11747603831877e-10
10,Ton,m2_alt,per_0p1ns,50,4e-09,1,,4.87029213208645e-08,-0.00054229855604021,0.000695462822374382,0.000429174699046719,0.0508166082469997,-4.76219785798021,-0.309192803468613,0.00450399967074588,0.00415621558447361,0.0398983924197456,4.11747603831877e-10
11,Lambda,one_phase,per_1e-13_Vs,50,6e-11,1,,-6.66172945982627e-09,-0.000307322205883217,1.94657081089122e-05,6.61356266589882e-06,-9.89464071078324e-06,0.808460843716215,0,-0.000727699530516427,-0.00141143983093892,0.0398983924197456,4.11747603831877e-10
12,Ton,one_phase,per_0p1ns,50,4e-09,1,,-1.60727742208419e-05,0.0219279868193353,0.0121065248965883,0.0320991306111348,0.0157182025607761,-35.6068593518532,0.782618192114751,0.032042253521135,0.219497135591295,0.0398983924197456,4.11747603831877e-10
