case_index,actuator,pattern,load_A,amplitude,sign,Lambda_vec,Ton_trim_vec_ns,success,error_message,vout_mean_V,vout_ripple_pp_mV,il1_mean_A,il2_mean_A,il3_mean_A,il4_mean_A,il_total_mean_A,il_phase_imbalance_A,il_m1_projection_A,il_m2_projection_A,qh_frequency_mean_Hz,qh_frequency_spread_Hz,trigger_frequency_Hz,phase_spacing_mean_ns,phase_spacing_std_ns,phase_sequence_error_fraction
0,baseline,none,20,0,0,0 0 0 0,0 0 0 0,1,,1.0000494658261,1.78253921443738,4.90259130451924,5.01362323455376,4.9933139164698,5.0881463034678,19.9976747590106,0.185554998948562,-0.0453613059752835,-0.0514660792581292,461625.346361537,4343.78702747205,1836758.12191464,545.428571428572,142.602731988434,0
1,Lambda,m2_alt,20,6e-11,1,6.6e-10 5.4e-10 6.6e-10 5.4e-10,0 0 0 0,1,,0.999514798177237,0.883727064416751,4.91653617297566,4.9932083029483,5.06652372136134,4.99905294712549,19.9753211444108,0.149987548385679,-0.0749937741928393,-0.00230033893419845,471233.318359801,514.44079354516,1886613.64397316,530.061538461539,55.4211950863175,0
1,Lambda,m2_alt,20,6e-11,-1,5.4e-10 6.6e-10 5.4e-10 6.6e-10,0 0 0 0,1,,0.999512320223169,0.864142699891324,4.93557892020705,5.03031426028899,5.04744840807774,4.9718981780473,19.9852397666211,0.111869487870688,-0.0559347439353441,-0.00479627751287715,471836.348281715,335.799513033184,1890717.04475322,528.923076923077,53.6273322580215,0
2,Ton,m2_alt,20,4e-09,1,6e-10 6e-10 6e-10 6e-10,4 -4 4 -4,1,,0.99931022955383,1.49069427625426,5.28915347710454,4.67424355215996,5.55628962057065,4.54438174663249,20.0640683964676,1.01190787393816,-0.133568071733055,0.406704449720684,464080.623858945,3150.15767750773,1862739.39111706,536.84375,102.70953449393,0
2,Ton,m2_alt,20,4e-09,-1,6e-10 6e-10 6e-10 6e-10,-4 4 -4 4,1,,0.999363971769622,1.28322969594752,4.58769068538384,5.31853064310627,4.67136609993891,5.48722811971779,20.0648155481468,0.899537434333943,-0.0418377072775327,-0.386675494375325,462911.832769196,3936.05122297298,1852104.92742946,539.936507936454,98.422373704556,0
3,Lambda,one_phase,20,6e-11,1,6.6e-10 5.8e-10 5.8e-10 5.8e-10,0 0 0 0,1,,0.999552812330802,0.938456724486336,5.01621092114054,4.92169687091152,5.02365396354156,5.04776824300535,20.009329998599,0.126071372093831,-0.00372152120050862,0.0175999426913063,472958.688686519,559.079329684144,1888173.76964131,529.606060606008,66.9185789089256,0
3,Lambda,one_phase,20,6e-11,-1,5.4e-10 6.2e-10 6.2e-10 6.2e-10,0 0 0 0,1,,0.999562441830561,0.89914815299863,4.98737098924299,4.90726053716194,5.03236483266863,5.06199274960009,19.9889891086737,0.154732212438159,-0.0224969217128206,0.0126206337873997,472816.088733034,447.104817512911,1893054.94222442,528.276923076976,43.0495307337064,0
4,Ton,one_phase,20,4e-09,1,6e-10 6e-10 6e-10 6e-10,4 -1.33333333 -1.33333333 -1.33333333,1,,0.999431398755789,1.1166948150968,5.41667757994557,4.8644405248247,4.90081732351979,4.81869924613071,20.0006346744208,0.597978333814867,0.257930128212891,0.158588783127489,466733.989684711,2050.93585457315,1869268.06472322,534.96875,87.8043735373382,0
4,Ton,one_phase,20,4e-09,-1,6e-10 6e-10 6e-10 6e-10,-4 1.33333333 1.33333333 1.33333333,1,,0.999511562184892,1.06978403628921,4.79724275446935,4.99395333892755,5.0536731487244,5.13586333444904,19.9807325765703,0.338620579979688,-0.128215197127523,-0.0697251925457107,469979.33469894,2944.06673117756,1877093.68141407,532.738461538461,67.0782359173512,0
0,baseline,none,40,0,0,0 0 0 0,0 0 0 0,1,,0.999757976745176,2.31709637495581,9.95475042859598,9.94759198227519,10.0618548484803,10.1274952396819,40.0916924990334,0.179903257406758,-0.0535522099421666,-0.0146204862202075,503403.926640388,898.133678219689,2016246.85874563,495.971014492804,57.3446676877016,0
5,Lambda,m2_alt,40,6e-11,1,6.6e-10 5.4e-10 6.6e-10 5.4e-10,0 0 0 0,1,,0.999421671869326,0.969681429348945,10.0611251198938,9.89269162967684,9.94702412267091,10.0770901704808,39.9779310427224,0.184398540803965,0.0570504986114573,0.00959186060177464,502661.475404368,1043.69105439459,2004040.18221703,498.985507246426,31.2627828092367,0
5,Lambda,m2_alt,40,6e-11,-1,5.4e-10 6.6e-10 5.4e-10 6.6e-10,0 0 0 0,1,,0.999456655025463,0.823010852901707,10.0563064725472,9.94923084059711,9.96748479688036,10.0171354959502,39.9901576059748,0.107075631950082,0.0444108378334169,0.0143562332200711,501293.256909137,896.161348480906,2007915.26015598,498.028985507246,29.5704398375817,0
6,Ton,m2_alt,40,4e-09,1,6e-10 6e-10 6e-10 6e-10,4 -4 4 -4,1,,0.9985085414785,0.945501776694946,11.8881967178728,7.99417663412576,12.0476159930146,7.99926161096081,39.929250955974,4.05343935888886,-0.0797096375708986,1.98559361645022,501230.561136935,1021.552892885,2007936.26904111,498.028985507246,36.1459342008669,0
6,Ton,m2_alt,40,4e-09,-1,6e-10 6e-10 6e-10 6e-10,-4 4 -4 4,1,,0.998522805538184,1.04355547824964,7.96217319629697,11.9061273009086,8.08732065927853,12.007420157168,39.963041313652,4.04524696087101,-0.0625737314907777,-1.96601340062526,501329.002131419,1381.55721593689,2002985.46532718,499.246376811594,34.4094715530302,0
7,Lambda,one_phase,40,6e-11,1,6.6e-10 5.8e-10 5.8e-10 5.8e-10,0 0 0 0,1,,0.999479298072112,0.893493580129578,9.98209409168859,9.9992398561986,9.9505286203838,10.0344448085678,39.9663073768388,0.0839161881839967,0.0157827356523974,-0.0252654881735017,501974.288224781,1423.63424407708,2006608.88094332,498.376811594203,31.1245606865153,0
7,Lambda,one_phase,40,6e-11,-1,5.4e-10 6.2e-10 6.2e-10 6.2e-10,0 0 0 0,1,,0.999518447416031,0.838263270436235,10.063280098941,9.952122187395,9.92935310533655,10.0506360065758,39.9953913982484,0.133926993604483,0.0669634968022415,-0.0025312474233119,502019.25122068,526.019838001288,2009552.65610438,497.623188405797,23.416647509269,0
8,Ton,one_phase,40,4e-09,1,6e-10 6e-10 6e-10 6e-10,4 -1.33333333 -1.33333333 -1.33333333,1,,0.99778642811738,3.8699534600003,12.1045746573631,9.05385812134665,9.07583802572907,9.16208148475131,39.3963522891901,3.05071653601643,1.51436831581701,0.741118269248547,501017.302409797,1033.60381859326,2007097.56239455,498.231884057971,69.8860721897023,0
8,Ton,one_phase,40,4e-09,-1,6e-10 6e-10 6e-10 6e-10,-4 1.33333333 1.33333333 1.33333333,1,,0.999281577216419,0.9573034286815,8.44007075127685,10.5060103664108,10.5695750765053,10.4187487828207,39.9344049770137,2.12950432522846,-1.06475216261423,-0.478778330362341,504621.521177178,1318.82803050458,2018010.45973961,495.542857142857,25.4625076579367,0
0,baseline,none,50,0,0,0 0 0 0,0 0 0 0,1,,0.998789364999104,3.27993000681825,12.4722256654123,12.4959343022411,12.4560359098213,12.4622029658952,49.88639884337,0.0398983924197456,0.00809487779548945,-0.00746892322566683,518672.199170111,5.48898242413998e-08,2074807.01652337,482.000000000049,4.11747603831877e-10,0
9,Lambda,m2_alt,50,6e-11,1,6.6e-10 5.4e-10 6.6e-10 5.4e-10,0 0 0 0,1,,0.999342169862057,1.040487529824,12.4583137327057,12.4723459187602,12.5021555841989,12.524174227249,49.9569894629138,0.0658604945432213,-0.0219209257465547,-0.00901270727615167,515911.071144938,250.468234711036,2063737.79199016,484.583333333334,9.48873580327411,0
9,Lambda,m2_alt,50,6e-11,-1,5.4e-10 6.6e-10 5.4e-10 6.6e-10,0 0 0 0,1,,0.999361743170793,0.870572857568308,12.4495841898776,12.4677916346144,12.5358409279651,12.5065811768167,49.9597979292739,0.0862567380875561,-0.043128369043778,0.00276307660289188,514434.42474127,0,2058448.33584599,485.802816901409,12.2089912266846,0
10,Ton,m2_alt,50,4e-09,1,6e-10 6e-10 6e-10 6e-10,4 -4 4 -4,1,,0.998489152882317,0.806382908819958,14.549134591741,10.4472925677619,14.5081971951471,10.4167582309404,49.9213825855904,4.13237636080064,0.0204686982969768,2.04832024704644,515057.868266362,5.32600097358227e-08,2060906.28513575,485.239436619719,9.12369722816257,0
10,Ton,m2_alt,50,4e-09,-1,6e-10 6e-10 6e-10 6e-10,-4 4 -4 4,1,,0.998485256648611,0.849766793303175,10.4531867102004,14.4722115812973,10.4809172654539,14.5299260452111,49.9362416021627,4.07673933501069,-0.0138652776267607,-2.01700841271354,515438.844095,24.7354243307491,2062274.89252913,484.879116646059,8.79119998140468,0
11,Lambda,one_phase,50,6e-11,1,6.6e-10 5.8e-10 5.8e-10 5.8e-10,0 0 0 0,1,,0.999428592806275,0.769065401796665,12.4918519775885,12.5250235718225,12.4839153104733,12.4859956951801,49.9867865550643,0.0411082613492226,0.00396833355762372,-0.00881299473520025,516246.583662314,0,2065411.16440475,484.169014084507,7.77355575082225,0
11,Lambda,one_phase,50,6e-11,-1,5.4e-10 6.2e-10 6.2e-10 6.2e-10,0 0 0 0,1,,0.999436586881627,1.13785204885652,12.4727916437978,12.4782987589454,12.4807275270808,12.4629781154622,49.8947960452862,0.0177494116185279,-0.00396794164145486,0.00306057411773963,515276.430649854,0,2061676.05551986,485.042253521127,9.46728354794895,0
12,Ton,one_phase,50,4e-09,1,6e-10 6e-10 6e-10 6e-10,4 -1.33333333 -1.33333333 -1.33333333,1,,0.997673579540458,2.65503776154463,14.6696627272718,11.6300984389604,11.6174712825174,11.6264273786123,49.5436598273619,3.05219144475432,1.52609572237716,0.757652048054132,515823.650421976,62.6094553691801,2063713.52168332,484.563380281691,17.5597708473036,0
12,Ton,one_phase,50,4e-09,-1,6e-10 6e-10 6e-10 6e-10,-4 1.33333333 1.33333333 1.33333333,1,,0.998959401478126,0.900798815997805,10.9575599596709,13.016743668857,13.0412294126982,12.981262330744,49.9967953719701,2.08366945302725,-1.04183472651362,-0.499804156807953,518672.199170125,0,2074688.7966807,482,0,0
