case_tag,variant_code,variant_label,success,base_load_A,target_load_A,peak_overshoot_mV,recovery_peak_2_12us_mV,late_settling_12_80us_abs_mV,undershoot_penalty_mV,final_error_mV,pulse_inhibit_event_est,interpretation
40A_to_1A,a0,A0 original ideal IQCOT,1,40,1,4.06085039477899,3.61172256292042,3.59863494243551,0,2.97792718436692,NaN,candidate
40A_to_1A,a4,A4 table-selected a_O,1,40,1,4.06085039477899,3.61172256292042,3.59863494243551,0,2.97792718436692,0,table_selected_guarded_no_harm
40A_to_10A,a0,A0 original ideal IQCOT,1,40,10,2.37865754509881,2.3693648135612,2.37865754509881,0,1.83447281530897,,candidate
40A_to_10A,a1,A1 Ton truncation only,1,40,10,2.41604300017517,2.14559251262547,2.41604300017517,0,1.84941313042127,,candidate
40A_to_10A,a2,A2 Ton truncation + pulse inhibit,1,40,10,2.35886328344326,1.84342486326372,2.33816495250871,0.863951334053148,1.85154937041826,1,candidate
40A_to_10A,a3,A3 guarded reentry,1,40,10,2.41604300017517,2.14559251262547,2.41604300017517,0,1.84941313042127,0,candidate
40A_to_10A,a4,A4 table-selected a_O,1,40,10,2.35886328344326,1.84342486326372,2.33816495250871,0.863951334053148,1.85154937041826,1,table_selected_protection
40A_to_20A,a0,A0 original ideal IQCOT,1,40,20,1.13166065626613,1.09036348761782,1.13166065626613,0.451249840300871,0.700473835856693,NaN,candidate
40A_to_20A,a1,A1 Ton truncation only,1,40,20,1.18090812962257,1.11390690363744,1.18090812962257,3.58971504171635,0.701140046362388,NaN,candidate
40A_to_20A,a2,A2 Ton truncation + pulse inhibit,1,40,20,1.1607032908636,-3.49920771627954,3.70688925019313,8.51043899474613,0.691300576521481,1,candidate
40A_to_20A,a3,A3 guarded reentry,1,40,20,1.18090812962257,1.11390690363744,1.18090812962257,3.58971504171635,0.701140046362388,0,candidate
40A_to_20A,a4,A4 table-selected a_O,1,40,20,1.13166065626613,1.09036348761782,1.13166065626613,0.451249840300871,0.700473835856693,0,table_selected_noop
120A_to_10A,a0,A0 original ideal IQCOT,1,120,10,5.01831278812492,-847.354117264945,847.32734205294,1012.7076260334,-7.90520489158389,NaN,operating_boundary_check
